cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	8	-46,5351389	-23,4432944	3985	0,2008	1,7316	6467	4740	1727
L04022	5	-46,5189890	-23,4582225	3507	0,1426	1,0823	5353	4100	1253
L04025	4	-46,5313666	-23,4665558	1293	0,3094	0,8658	1907	1463	444
L04026	10	-46,5205382	-23,4200168	3569	0,2802	2,1645	5258	4148	1110
L04027	2	-46,5348867	-23,4617458	3878	0,0516	0,4329	6011	4558	1453
L04028	4	-46,5260028	-23,4506424	2185	0,1831	0,8658	3153	2490	663
L04029	7	-46,5257431	-23,4447767	3469	0,2018	1,5152	5202	4058	1144
L04030	4	-46,5250906	-23,4552952	3134	0,1276	0,8658	4565	3579	986
L04031	9	-46,5178969	-23,4509497	3853	0,2336	1,9481	5561	4379	1182
L04033	4	-46,5221381	-23,4625300	3783	0,1057	0,8658	5585	4358	1227
L04034	3	-46,5200816	-23,4395097	2036	0,1473	0,6494	2776	2341	435
L04035	2	-46,5225666	-23,4292113	1027	0,1947	0,4329	1410	1186	224
L04036	2	-46,5172187	-23,4664313	1839	0,1088	0,4329	2791	2165	626
L04037	1	-46,5347298	-23,4577536	3127	0,032	0,2165	4628	3609	1019
L04038	6	-46,5218442	-23,4280169	5014	0,1197	1,2987	6975	5763	1212
L04039	8	-46,5333820	-23,4320324	4977	0,1607	1,7316	7292	5754	1538
L04040	7	-46,5310324	-23,4403067	3573	0,1959	1,5152	4916	4069	847
L04041	6	-46,5198792	-23,4405254	2510	0,239	1,2987	3908	2965	943
L04042	4	-46,5148130	-23,4615577	3411	0,1173	0,8658	5052	3997	1055
L04044	2	-46,5252840	-23,4499460	879	0,2275	0,4329	1389	1067	322
L04045	2	-46,5182845	-23,4505855	1810	0,1105	0,4329	2690	2149	541
L04047	4	-46,5212409	-23,4239096	3765	0,1062	0,8658	5711	4457	1254
L04048	2	-46,5242122	-23,4573150	826	0,2421	0,4329	1103	941	162
L04049	6	-46,5279042	-23,4569302	1927	0,3114	1,2987	2790	2244	546
L04051	11	-46,5374154	-23,4392016	1523	0,7223	2,381	2253	1802	451
L04054	5	-46,5247111	-23,4230992	2455	0,2037	1,0823	3441	2836	605
L04055	1	-46,5326860	-23,4703600	3025	0,0331	0,2165	4827	3500	1327
L04227	4	-46,4014214	-23,4418594	3279	0,122	0,8658	4547	3765	782
L04228	3	-46,4043279	-23,4619232	3414	0,0879	0,6494	4990	4013	977
L04229	6	-46,4252641	-23,4654680	2476	0,2423	1,2987	3655	2957	698
L04230	4	-46,4036715	-23,4635450	2746	0,1457	0,8658	4031	3199	832
L04231	2	-46,4014312	-23,4267677	3300	0,0606	0,4329	4744	3843	901
L04232	8	-46,4217922	-23,4688827	2892	0,2766	1,7316	4235	3445	790
L04233	1	-46,3922099	-23,4750902	2611	0,0383	0,2165	3680	3063	617
L04235	3	-46,4124283	-23,4446100	3679	0,0815	0,6494	5464	4330	1134
L04236	8	-46,4240116	-23,4575466	3776	0,2119	1,7316	5435	4492	943
L04237	8	-46,4010537	-23,4628858	3866	0,2069	1,7316	5772	4602	1170
L04238	4	-46,3962862	-23,4650561	3129	0,1278	0,8658	4474	3655	819
L04239	5	-46,4117159	-23,4448235	3541	0,1412	1,0823	4961	4092	869
L04240	1	-46,3970402	-23,4775957	3125	0,032	0,2165	4896	3844	1052
L04241	6	-46,4274434	-23,4577532	3932	0,1526	1,2987	5900	4677	1223
L04242	2	-46,4110028	-23,4412045	4441	0,045	0,4329	6679	5288	1391
L04243	1	-46,4190397	-23,4390357	4665	0,0214	0,2165	6705	5509	1196
L04244	7	-46,4384280	-23,4711710	2467	0,2837	1,5152	3489	2777	712
L04245	4	-46,4263197	-23,4646584	2243	0,1783	0,8658	3234	2676	558
L04246	12	-46,4183363	-23,4566057	2701	0,4443	2,5974	3767	3124	643
L04247	7	-46,4006094	-23,4493557	4047	0,173	1,5152	5767	4780	987
L04248	3	-46,4098396	-23,4606598	2080	0,1442	0,6494	3149	2441	708
L04250	14	-46,4006412	-23,4605835	2128	0,6579	3,0303	3336	2530	806
L04255	6	-46,4083672	-23,4621695	2456	0,2443	1,2987	3409	2856	553
L04257	5	-46,4168989	-23,4502035	2158	0,2317	1,0823	3157	2540	617
L04259	3	-46,4044135	-23,4399264	2280	0,1316	0,6494	3572	2733	839
L04260	4	-46,4110264	-23,4483687	2454	0,163	0,8658	3348	2855	493
L04261	5	-46,4253063	-23,4662179	1516	0,3298	1,0823	2268	1797	471
L05429	4	-46,5131387	-23,4051476	3219	0,1243	0,8658	4495	3582	913
L06590	1	-46,5422782	-23,4665988	3106	0,0322	0,2165	4688	3650	1038
L06591	1	-46,5366482	-23,4602980	621	0,161	0,2165	930	726	204
L06592	2	-46,5439730	-23,4607010	2585	0,0774	0,4329	3854	3034	820
L06596	1	-46,5433698	-23,4792971	2346	0,0426	0,2165	3481	2759	722
L06597	4	-46,5597602	-23,4667730	2339	0,171	0,8658	3181	2645	536
L06600	2	-46,5491135	-23,5030590	4632	0,0432	0,4329	7282	5678	1604
L06601	2	-46,5494943	-23,4686972	1489	0,1343	0,4329	2100	1713	387
L06602	1	-46,5492677	-23,4848483	3245	0,0308	0,2165	4911	3881	1030
L06605	1	-46,5423233	-23,4725448	3187	0,0314	0,2165	4654	3758	896
L06606	3	-46,5368498	-23,4803586	2392	0,1254	0,6494	3486	2783	703
L06608	2	-46,5619770	-23,4625208	2255	0,0887	0,4329	3248	2626	622
L06609	1	-46,5538251	-23,4593526	1641	0,0609	0,2165	2328	1861	467
L06611	5	-46,5502169	-23,4903597	1250	0,4	1,0823	1851	1472	379
L06613	1	-46,5480261	-23,5005586	657	0,1522	0,2165	1056	812	244
L06618	1	-46,5471378	-23,4805844	1166	0,0858	0,2165	1808	1365	443
L06621	1	-46,5505948	-23,4602271	1213	0,0824	0,2165	1733	1421	312
L06624	2	-46,5045704	-23,4243582	1929	0,1037	0,4329	2744	2220	524
L06627	2	-46,5068802	-23,4538921	1021	0,1959	0,4329	1469	1179	290
L06630	3	-46,5008477	-23,4246555	3037	0,0988	0,6494	3968	3367	601
L06633	1	-46,5143356	-23,4331372	1089	0,0918	0,2165	1495	1261	234
L06635	2	-46,4960369	-23,4157394	3530	0,0567	0,4329	4636	3918	718
L06638	2	-46,5108984	-23,4160796	3329	0,0601	0,4329	4389	3703	686
L06639	5	-46,5101307	-23,4343788	3858	0,1296	1,0823	5535	4504	1031
L06642	1	-46,5029171	-23,4317468	2477	0,0404	0,2165	3336	2757	579
L06645	4	-46,5069535	-23,4312359	4449	0,0899	0,8658	6184	5081	1103
L06646	1	-46,5109205	-23,4407732	3152	0,0317	0,2165	4427	3643	784
L06647	4	-46,5150722	-23,4316739	2155	0,1856	0,8658	3031	2499	532
L06649	1	-46,5101326	-23,4531041	2613	0,0383	0,2165	3756	3033	723
L06654	1	-46,5099700	-23,4595725	639	0,1565	0,2165	945	752	193
L06658	1	-46,5101123	-23,4286618	2248	0,0445	0,2165	3124	2562	562
L06659	1	-46,5039161	-23,4489787	1371	0,0729	0,2165	1880	1545	335
L07068	7	-46,4183034	-23,4225518	3081	0,2272	1,5152	4413	3669	744
L08497	1	-46,5560400	-23,4515991	3178	0,0315	0,2165	5027	3802	1225
L09785	1	-46,5368630	-23,4401670	1861	0,0537	0,2165	2951	2203	748
L09788	3	-46,5460249	-23,4541953	1554	0,1931	0,6494	2307	1827	480
L09789	2	-46,5491313	-23,4389386	327	0,6116	0,4329	553	394	159
L09790	2	-46,5546942	-23,4528509	2045	0,0978	0,4329	3332	2503	829
L09792	1	-46,5222530	-23,3978071	2829	0,0353	0,2165	4352	3370	982
L09793	7	-46,5414126	-23,4449188	3241	0,216	1,5152	4997	3883	1114
L09795	4	-46,5427459	-23,4505121	3324	0,1203	0,8658	5044	3906	1138
L09797	2	-46,5645254	-23,4578160	2265	0,0883	0,4329	3525	2776	749
L09799	1	-46,5550646	-23,4340925	3062	0,0327	0,2165	4384	3628	756
L09800	2	-46,5484944	-23,4461673	3063	0,0653	0,4329	4917	3640	1277
L09802	1	-46,5475487	-23,4366943	1665	0,0601	0,2165	2234	1890	344
L09803	4	-46,5561613	-23,4338322	3793	0,1055	0,8658	5928	4573	1355
L09804	10	-46,5483783	-23,4363400	3017	0,3315	2,1645	4500	3528	972
L09805	3	-46,5559629	-23,4447718	2534	0,1184	0,6494	3838	3014	824
L09806	6	-46,5633619	-23,4319629	3371	0,178	1,2987	4729	3853	876
L09807	7	-46,5489569	-23,4357724	2320	0,3017	1,5152	3349	2693	656
L09808	2	-46,5531760	-23,4384305	1963	0,1019	0,4329	3071	2353	718
L09809	1	-46,5629586	-23,4343390	2004	0,0499	0,2165	2912	2323	589
L09810	3	-46,5511363	-23,4262958	1566	0,1916	0,6494	2287	1826	461
L09811	1	-46,5405794	-23,4474493	1305	0,0766	0,2165	1989	1517	472
L09812	1	-46,5448990	-23,4279439	2677	0,0374	0,2165	3946	3184	762
L09817	2	-46,5575625	-23,4485828	5138	0,0389	0,4329	7850	5990	1860
L09818	1	-46,4376679	-23,3997821	4108	0,0243	0,2165	5884	4783	1101
L09819	1	-46,4161970	-23,4051055	3839	0,026	0,2165	5798	4451	1347
L09821	1	-46,4713471	-23,4164380	4729	0,0211	0,2165	6668	5493	1175
L09822	1	-46,4599054	-23,4173154	3123	0,032	0,2165	4717	3792	925
L09828	1	-46,4373582	-23,3998282	3439	0,0291	0,2165	5350	4024	1326
L09829	1	-46,4437028	-23,3783486	3911	0,0256	0,2165	5380	4483	897
L09831	1	-46,4660087	-23,4006544	3645	0,0274	0,2165	5341	4237	1104
L09832	1	-46,4514827	-23,4142506	2143	0,0467	0,2165	3201	2566	635
L09837	4	-46,4580997	-23,4097075	3391	0,118	0,8658	4944	3961	983
L09839	1	-46,4666479	-23,4031200	4480	0,0223	0,2165	6276	5151	1125
L09843	4	-46,4584206	-23,4091730	3839	0,1042	0,8658	5358	4400	958
L09844	2	-46,3942002	-23,3987737	3665	0,0546	0,4329	5306	4363	943
L09848	4	-46,4697267	-23,4083693	3238	0,1235	0,8658	4579	3782	797
L09849	2	-46,4588105	-23,4093334	1165	0,1717	0,4329	1679	1350	329
