cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04023	1	-46,5258670	-23,4677912	1789	0,0559	1,9608	2652	2022	630
L04027	2	-46,5348867	-23,4617458	3878	0,0516	3,9216	6011	4558	1453
L04028	1	-46,5260028	-23,4506424	2185	0,0458	1,9608	3153	2490	663
L04031	2	-46,5178969	-23,4509497	3853	0,0519	3,9216	5561	4379	1182
L04040	1	-46,5310324	-23,4403067	3573	0,028	1,9608	4916	4069	847
L04041	1	-46,5198792	-23,4405254	2510	0,0398	1,9608	3908	2965	943
L04045	1	-46,5182845	-23,4505855	1810	0,0552	1,9608	2690	2149	541
L04051	1	-46,5374154	-23,4392016	1523	0,0657	1,9608	2253	1802	451
L04229	1	-46,4252641	-23,4654680	2476	0,0404	1,9608	3655	2957	698
L04239	1	-46,4117159	-23,4448235	3541	0,0282	1,9608	4961	4092	869
L04244	2	-46,4384280	-23,4711710	2467	0,0811	3,9216	3489	2777	712
L04245	2	-46,4263197	-23,4646584	2243	0,0892	3,9216	3234	2676	558
L06597	1	-46,5597602	-23,4667730	2339	0,0428	1,9608	3181	2645	536
L06601	1	-46,5494943	-23,4686972	1489	0,0672	1,9608	2100	1713	387
L06603	1	-46,5529975	-23,4682223	3294	0,0304	1,9608	4736	3793	943
L06605	1	-46,5423233	-23,4725448	3187	0,0314	1,9608	4654	3758	896
L06608	2	-46,5619770	-23,4625208	2255	0,0887	3,9216	3248	2626	622
L06641	1	-46,5044429	-23,4216203	4367	0,0229	1,9608	5813	4898	915
L06644	1	-46,5063124	-23,4580645	2735	0,0366	1,9608	3706	3095	611
L06646	2	-46,5109205	-23,4407732	3152	0,0635	3,9216	4427	3643	784
L06652	1	-46,5135154	-23,4439673	390	0,2564	1,9608	558	449	109
L09811	2	-46,5405794	-23,4474493	1305	0,1533	3,9216	1989	1517	472
L09817	1	-46,5575625	-23,4485828	5138	0,0195	1,9608	7850	5990	1860
L09819	1	-46,4161970	-23,4051055	3839	0,026	1,9608	5798	4451	1347
L09827	1	-46,4073298	-23,4187234	1833	0,0546	1,9608	2739	2236	503
L09833	1	-46,4201768	-23,4087523	1155	0,0866	1,9608	1705	1297	408
L09834	1	-46,3974480	-23,4069388	2470	0,0405	1,9608	3555	2944	611
L09836	3	-46,3915434	-23,4071587	3522	0,0852	5,8824	5143	4192	951
L09837	1	-46,4580997	-23,4097075	3391	0,0295	1,9608	4944	3961	983
L09838	3	-46,4171536	-23,4044185	4679	0,0641	5,8824	6569	5371	1198
L09840	3	-46,4166354	-23,4057458	4733	0,0634	5,8824	6925	5514	1411
L09841	1	-46,4332401	-23,4018027	4766	0,021	1,9608	6620	5535	1085
L09846	1	-46,4570810	-23,4125500	3153	0,0317	1,9608	4264	3582	682
L09852	3	-46,3935128	-23,3969846	1953	0,1536	5,8824	2816	2316	500
L09862	1	-46,4178706	-23,4230444	2208	0,0453	1,9608	3359	2691	668
L09877	1	-46,4275886	-23,4316448	1879	0,0532	1,9608	2742	2220	522
