cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	81	-46,5351389	-23,4432944	3985	2,0326	1,6698	6467	4740	1727
L04022	39	-46,5189890	-23,4582225	3507	1,1121	0,804	5353	4100	1253
L04023	13	-46,5258670	-23,4677912	1789	0,7267	0,268	2652	2022	630
L04024	26	-46,4960476	-23,4627418	3286	0,7912	0,536	4988	3762	1226
L04025	6	-46,5313666	-23,4665558	1293	0,464	0,1237	1907	1463	444
L04026	35	-46,5205382	-23,4200168	3569	0,9807	0,7215	5258	4148	1110
L04027	27	-46,5348867	-23,4617458	3878	0,6962	0,5566	6011	4558	1453
L04028	10	-46,5260028	-23,4506424	2185	0,4577	0,2061	3153	2490	663
L04029	32	-46,5257431	-23,4447767	3469	0,9225	0,6597	5202	4058	1144
L04030	18	-46,5250906	-23,4552952	3134	0,5743	0,3711	4565	3579	986
L04031	17	-46,5178969	-23,4509497	3853	0,4412	0,3504	5561	4379	1182
L04032	6	-46,5233803	-23,4390725	1675	0,3582	0,1237	2351	1938	413
L04033	21	-46,5221381	-23,4625300	3783	0,5551	0,4329	5585	4358	1227
L04034	12	-46,5200816	-23,4395097	2036	0,5894	0,2474	2776	2341	435
L04035	6	-46,5225666	-23,4292113	1027	0,5842	0,1237	1410	1186	224
L04036	14	-46,5172187	-23,4664313	1839	0,7613	0,2886	2791	2165	626
L04037	31	-46,5347298	-23,4577536	3127	0,9914	0,639	4628	3609	1019
L04038	29	-46,5218442	-23,4280169	5014	0,5784	0,5978	6975	5763	1212
L04039	51	-46,5333820	-23,4320324	4977	1,0247	1,0513	7292	5754	1538
L04040	11	-46,5310324	-23,4403067	3573	0,3079	0,2268	4916	4069	847
L04041	34	-46,5198792	-23,4405254	2510	1,3546	0,7009	3908	2965	943
L04042	20	-46,5148130	-23,4615577	3411	0,5863	0,4123	5052	3997	1055
L04043	13	-46,4988962	-23,4535454	3004	0,4328	0,268	4361	3460	901
L04044	15	-46,5252840	-23,4499460	879	1,7065	0,3092	1389	1067	322
L04045	20	-46,5182845	-23,4505855	1810	1,105	0,4123	2690	2149	541
