cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	1	-46,5351389	-23,4432944	3985	0,0251	2,6316	6467	4740	1727
L04022	1	-46,5189890	-23,4582225	3507	0,0285	2,6316	5353	4100	1253
L04026	2	-46,5205382	-23,4200168	3569	0,056	5,2632	5258	4148	1110
L04039	2	-46,5333820	-23,4320324	4977	0,0402	5,2632	7292	5754	1538
L04049	1	-46,5279042	-23,4569302	1927	0,0519	2,6316	2790	2244	546
L04054	2	-46,5247111	-23,4230992	2455	0,0815	5,2632	3441	2836	605
L04242	1	-46,4110028	-23,4412045	4441	0,0225	2,6316	6679	5288	1391
L06600	1	-46,5491135	-23,5030590	4632	0,0216	2,6316	7282	5678	1604
L06612	2	-46,5384397	-23,4639462	1397	0,1432	5,2632	2056	1664	392
L06614	1	-46,5497994	-23,5030196	718	0,1393	2,6316	1162	888	274
L06642	1	-46,5029171	-23,4317468	2477	0,0404	2,6316	3336	2757	579
L06653	1	-46,5018088	-23,4308419	1024	0,0977	2,6316	1422	1178	244
L08497	2	-46,5560400	-23,4515991	3178	0,0629	5,2632	5027	3802	1225
L09790	1	-46,5546942	-23,4528509	2045	0,0489	2,6316	3332	2503	829
L09793	4	-46,5414126	-23,4449188	3241	0,1234	10,5263	4997	3883	1114
L09800	2	-46,5484944	-23,4461673	3063	0,0653	5,2632	4917	3640	1277
L09802	1	-46,5475487	-23,4366943	1665	0,0601	2,6316	2234	1890	344
L09805	3	-46,5559629	-23,4447718	2534	0,1184	7,8947	3838	3014	824
L09806	3	-46,5633619	-23,4319629	3371	0,089	7,8947	4729	3853	876
L09808	1	-46,5531760	-23,4384305	1963	0,0509	2,6316	3071	2353	718
L09809	2	-46,5629586	-23,4343390	2004	0,0998	5,2632	2912	2323	589
L09841	1	-46,4332401	-23,4018027	4766	0,021	2,6316	6620	5535	1085
L09861	1	-46,4284199	-23,4439420	4306	0,0232	2,6316	6361	5197	1164
L09870	1	-46,4386061	-23,4454914	3923	0,0255	2,6316	5764	4733	1031
