cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04030	2	-46,5250906	-23,4552952	3134	0,0638	11,7647	4565	3579	986
L04037	2	-46,5347298	-23,4577536	3127	0,064	11,7647	4628	3609	1019
L06591	1	-46,5366482	-23,4602980	621	0,161	5,8824	930	726	204
L06608	2	-46,5619770	-23,4625208	2255	0,0887	11,7647	3248	2626	622
L06645	1	-46,5069535	-23,4312359	4449	0,0225	5,8824	6184	5081	1103
L08497	1	-46,5560400	-23,4515991	3178	0,0315	5,8824	5027	3802	1225
L09787	3	-46,5659510	-23,4593190	1776	0,1689	17,6471	2810	2171	639
L09817	2	-46,5575625	-23,4485828	5138	0,0389	11,7647	7850	5990	1860
L09819	1	-46,4161970	-23,4051055	3839	0,026	5,8824	5798	4451	1347
L09820	1	-46,4061990	-23,4172553	2440	0,041	5,8824	3538	2909	629
L09840	1	-46,4166354	-23,4057458	4733	0,0211	5,8824	6925	5514	1411
