cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	3	-46,5351389	-23,4432944	3985	0,0753	1,3514	6467	4740	1727
L04022	3	-46,5189890	-23,4582225	3507	0,0855	1,3514	5353	4100	1253
L04023	2	-46,5258670	-23,4677912	1789	0,1118	0,9009	2652	2022	630
L04025	1	-46,5313666	-23,4665558	1293	0,0773	0,4505	1907	1463	444
L04027	5	-46,5348867	-23,4617458	3878	0,1289	2,2523	6011	4558	1453
L04028	1	-46,5260028	-23,4506424	2185	0,0458	0,4505	3153	2490	663
L04029	1	-46,5257431	-23,4447767	3469	0,0288	0,4505	5202	4058	1144
L04030	1	-46,5250906	-23,4552952	3134	0,0319	0,4505	4565	3579	986
L04033	2	-46,5221381	-23,4625300	3783	0,0529	0,9009	5585	4358	1227
L04036	4	-46,5172187	-23,4664313	1839	0,2175	1,8018	2791	2165	626
L04037	3	-46,5347298	-23,4577536	3127	0,0959	1,3514	4628	3609	1019
L04038	1	-46,5218442	-23,4280169	5014	0,0199	0,4505	6975	5763	1212
L04039	2	-46,5333820	-23,4320324	4977	0,0402	0,9009	7292	5754	1538
L04040	4	-46,5310324	-23,4403067	3573	0,112	1,8018	4916	4069	847
L04042	2	-46,5148130	-23,4615577	3411	0,0586	0,9009	5052	3997	1055
L04044	1	-46,5252840	-23,4499460	879	0,1138	0,4505	1389	1067	322
L04045	1	-46,5182845	-23,4505855	1810	0,0552	0,4505	2690	2149	541
L04049	1	-46,5279042	-23,4569302	1927	0,0519	0,4505	2790	2244	546
L04050	1	-46,5284889	-23,4721650	1152	0,0868	0,4505	1695	1303	392
L04055	5	-46,5326860	-23,4703600	3025	0,1653	2,2523	4827	3500	1327
L04235	1	-46,4124283	-23,4446100	3679	0,0272	0,4505	5464	4330	1134
L04236	1	-46,4240116	-23,4575466	3776	0,0265	0,4505	5435	4492	943
L04247	1	-46,4006094	-23,4493557	4047	0,0247	0,4505	5767	4780	987
L04250	1	-46,4006412	-23,4605835	2128	0,047	0,4505	3336	2530	806
L04261	1	-46,4253063	-23,4662179	1516	0,066	0,4505	2268	1797	471
L06590	2	-46,5422782	-23,4665988	3106	0,0644	0,9009	4688	3650	1038
L06591	1	-46,5366482	-23,4602980	621	0,161	0,4505	930	726	204
L06592	2	-46,5439730	-23,4607010	2585	0,0774	0,9009	3854	3034	820
L06593	5	-46,5414079	-23,4675541	2706	0,1848	2,2523	4182	3224	958
L06594	1	-46,5388627	-23,4567760	1179	0,0848	0,4505	1732	1405	327
L06596	3	-46,5433698	-23,4792971	2346	0,1279	1,3514	3481	2759	722
L06597	1	-46,5597602	-23,4667730	2339	0,0428	0,4505	3181	2645	536
L06604	1	-46,5464811	-23,4794649	2834	0,0353	0,4505	4188	3330	858
L06606	2	-46,5368498	-23,4803586	2392	0,0836	0,9009	3486	2783	703
L06614	2	-46,5497994	-23,5030196	718	0,2786	0,9009	1162	888	274
L06618	7	-46,5471378	-23,4805844	1166	0,6003	3,1532	1808	1365	443
L06623	1	-46,5600699	-23,4660719	1388	0,072	0,4505	1950	1641	309
L06626	1	-46,5107127	-23,4539298	2561	0,039	0,4505	3759	3035	724
L06628	1	-46,5095998	-23,4618149	2520	0,0397	0,4505	3580	2958	622
L06629	2	-46,5152025	-23,4480885	1944	0,1029	0,9009	2635	2163	472
L06643	1	-46,5046999	-23,4484229	4431	0,0226	0,4505	5949	4887	1062
L06654	1	-46,5099700	-23,4595725	639	0,1565	0,4505	945	752	193
L08497	12	-46,5560400	-23,4515991	3178	0,3776	5,4054	5027	3802	1225
L09785	1	-46,5368630	-23,4401670	1861	0,0537	0,4505	2951	2203	748
L09787	14	-46,5659510	-23,4593190	1776	0,7883	6,3063	2810	2171	639
