cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04022	1	-46,5189890	-23,4582225	3507	0,0285	0,8547	5353	4100	1253
L04024	1	-46,4960476	-23,4627418	3286	0,0304	0,8547	4988	3762	1226
L04027	1	-46,5348867	-23,4617458	3878	0,0258	0,8547	6011	4558	1453
L04028	1	-46,5260028	-23,4506424	2185	0,0458	0,8547	3153	2490	663
L04031	2	-46,5178969	-23,4509497	3853	0,0519	1,7094	5561	4379	1182
L04036	1	-46,5172187	-23,4664313	1839	0,0544	0,8547	2791	2165	626
L04037	1	-46,5347298	-23,4577536	3127	0,032	0,8547	4628	3609	1019
L04038	4	-46,5218442	-23,4280169	5014	0,0798	3,4188	6975	5763	1212
L04039	1	-46,5333820	-23,4320324	4977	0,0201	0,8547	7292	5754	1538
L04041	1	-46,5198792	-23,4405254	2510	0,0398	0,8547	3908	2965	943
L04042	2	-46,5148130	-23,4615577	3411	0,0586	1,7094	5052	3997	1055
L04049	1	-46,5279042	-23,4569302	1927	0,0519	0,8547	2790	2244	546
L04054	3	-46,5247111	-23,4230992	2455	0,1222	2,5641	3441	2836	605
L04055	3	-46,5326860	-23,4703600	3025	0,0992	2,5641	4827	3500	1327
L04232	3	-46,4217922	-23,4688827	2892	0,1037	2,5641	4235	3445	790
L04236	2	-46,4240116	-23,4575466	3776	0,053	1,7094	5435	4492	943
L04256	2	-46,4196635	-23,4426294	1504	0,133	1,7094	2063	1754	309
L06594	1	-46,5388627	-23,4567760	1179	0,0848	0,8547	1732	1405	327
L06597	1	-46,5597602	-23,4667730	2339	0,0428	0,8547	3181	2645	536
L06598	4	-46,5543334	-23,5001704	2493	0,1604	3,4188	3746	2920	826
L06599	7	-46,5552762	-23,4757201	4016	0,1743	5,9829	5873	4680	1193
L06600	13	-46,5491135	-23,5030590	4632	0,2807	11,1111	7282	5678	1604
L06601	1	-46,5494943	-23,4686972	1489	0,0672	0,8547	2100	1713	387
L06602	2	-46,5492677	-23,4848483	3245	0,0616	1,7094	4911	3881	1030
L06603	9	-46,5529975	-23,4682223	3294	0,2732	7,6923	4736	3793	943
L06606	1	-46,5368498	-23,4803586	2392	0,0418	0,8547	3486	2783	703
L06607	1	-46,5426685	-23,4588950	2362	0,0423	0,8547	3496	2775	721
L06608	1	-46,5619770	-23,4625208	2255	0,0443	0,8547	3248	2626	622
L06610	4	-46,5567765	-23,4697758	2304	0,1736	3,4188	3125	2584	541
L06613	3	-46,5480261	-23,5005586	657	0,4566	2,5641	1056	812	244
L06614	4	-46,5497994	-23,5030196	718	0,5571	3,4188	1162	888	274
L06621	1	-46,5505948	-23,4602271	1213	0,0824	0,8547	1733	1421	312
L06623	1	-46,5600699	-23,4660719	1388	0,072	0,8547	1950	1641	309
L06640	1	-46,5106590	-23,4439176	1975	0,0506	0,8547	2700	2282	418
L06641	2	-46,5044429	-23,4216203	4367	0,0458	1,7094	5813	4898	915
L06644	5	-46,5063124	-23,4580645	2735	0,1828	4,2735	3706	3095	611
L06657	1	-46,4932521	-23,4075649	2325	0,043	0,8547	3254	2621	633
L06659	1	-46,5039161	-23,4489787	1371	0,0729	0,8547	1880	1545	335
L09785	1	-46,5368630	-23,4401670	1861	0,0537	0,8547	2951	2203	748
L09787	1	-46,5659510	-23,4593190	1776	0,0563	0,8547	2810	2171	639
L09790	1	-46,5546942	-23,4528509	2045	0,0489	0,8547	3332	2503	829
L09793	1	-46,5414126	-23,4449188	3241	0,0309	0,8547	4997	3883	1114
L09794	1	-46,5460300	-23,4567593	1200	0,0833	0,8547	1749	1407	342
L09795	1	-46,5427459	-23,4505121	3324	0,0301	0,8547	5044	3906	1138
L09796	1	-46,5546684	-23,4228617	2959	0,0338	0,8547	4282	3474	808
L09799	1	-46,5550646	-23,4340925	3062	0,0327	0,8547	4384	3628	756
L09800	2	-46,5484944	-23,4461673	3063	0,0653	1,7094	4917	3640	1277
L09805	1	-46,5559629	-23,4447718	2534	0,0395	0,8547	3838	3014	824
L09827	1	-46,4073298	-23,4187234	1833	0,0546	0,8547	2739	2236	503
L09845	1	-46,3955820	-23,3987536	3675	0,0272	0,8547	5424	4458	966
L09857	2	-46,4623279	-23,4372050	1523	0,1313	1,7094	2389	1854	535
L09860	1	-46,4742651	-23,4493456	3049	0,0328	0,8547	4799	3576	1223
L09867	1	-46,4363562	-23,4335696	4242	0,0236	0,8547	6556	5035	1521
L09874	3	-46,4275906	-23,4246425	2619	0,1145	2,5641	3842	3152	690
L09875	1	-46,4340671	-23,4266463	6326	0,0158	0,8547	9025	7471	1554
L09876	2	-46,4660357	-23,4471833	3396	0,0589	1,7094	5107	3973	1134
