cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04039	1	-46,5333820	-23,4320324	4977	0,0201	5,8824	7292	5754	1538
L04055	1	-46,5326860	-23,4703600	3025	0,0331	5,8824	4827	3500	1327
L06593	2	-46,5414079	-23,4675541	2706	0,0739	11,7647	4182	3224	958
L06603	1	-46,5529975	-23,4682223	3294	0,0304	5,8824	4736	3793	943
L06605	2	-46,5423233	-23,4725448	3187	0,0628	11,7647	4654	3758	896
L06620	3	-46,5509395	-23,4687509	963	0,3115	17,6471	1425	1159	266
L06645	1	-46,5069535	-23,4312359	4449	0,0225	5,8824	6184	5081	1103
L09796	1	-46,5546684	-23,4228617	2959	0,0338	5,8824	4282	3474	808
L09798	1	-46,5603066	-23,4492343	3120	0,0321	5,8824	5013	3800	1213
L09803	1	-46,5561613	-23,4338322	3793	0,0264	5,8824	5928	4573	1355
L09860	1	-46,4742651	-23,4493456	3049	0,0328	5,8824	4799	3576	1223
L09868	1	-46,4576614	-23,4558165	4036	0,0248	5,8824	5529	4586	943
L09883	1	-46,4272290	-23,4171690	1915	0,0522	5,8824	2861	2256	605
