cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	2	-46,5351389	-23,4432944	3985	0,0502	0,7576	6467	4740	1727
L04022	7	-46,5189890	-23,4582225	3507	0,1996	2,6515	5353	4100	1253
L04023	2	-46,5258670	-23,4677912	1789	0,1118	0,7576	2652	2022	630
L04025	1	-46,5313666	-23,4665558	1293	0,0773	0,3788	1907	1463	444
L04027	9	-46,5348867	-23,4617458	3878	0,2321	3,4091	6011	4558	1453
L04028	3	-46,5260028	-23,4506424	2185	0,1373	1,1364	3153	2490	663
L04029	2	-46,5257431	-23,4447767	3469	0,0577	0,7576	5202	4058	1144
L04030	4	-46,5250906	-23,4552952	3134	0,1276	1,5152	4565	3579	986
L04031	3	-46,5178969	-23,4509497	3853	0,0779	1,1364	5561	4379	1182
L04033	3	-46,5221381	-23,4625300	3783	0,0793	1,1364	5585	4358	1227
L04035	1	-46,5225666	-23,4292113	1027	0,0974	0,3788	1410	1186	224
L04036	2	-46,5172187	-23,4664313	1839	0,1088	0,7576	2791	2165	626
L04037	2	-46,5347298	-23,4577536	3127	0,064	0,7576	4628	3609	1019
L04038	3	-46,5218442	-23,4280169	5014	0,0598	1,1364	6975	5763	1212
L04039	2	-46,5333820	-23,4320324	4977	0,0402	0,7576	7292	5754	1538
L04041	1	-46,5198792	-23,4405254	2510	0,0398	0,3788	3908	2965	943
L04042	4	-46,5148130	-23,4615577	3411	0,1173	1,5152	5052	3997	1055
L04045	2	-46,5182845	-23,4505855	1810	0,1105	0,7576	2690	2149	541
L04047	4	-46,5212409	-23,4239096	3765	0,1062	1,5152	5711	4457	1254
L04049	6	-46,5279042	-23,4569302	1927	0,3114	2,2727	2790	2244	546
L04050	2	-46,5284889	-23,4721650	1152	0,1736	0,7576	1695	1303	392
L04051	1	-46,5374154	-23,4392016	1523	0,0657	0,3788	2253	1802	451
L04054	1	-46,5247111	-23,4230992	2455	0,0407	0,3788	3441	2836	605
L04055	3	-46,5326860	-23,4703600	3025	0,0992	1,1364	4827	3500	1327
L04228	1	-46,4043279	-23,4619232	3414	0,0293	0,3788	4990	4013	977
L04238	2	-46,3962862	-23,4650561	3129	0,0639	0,7576	4474	3655	819
L04248	1	-46,4098396	-23,4606598	2080	0,0481	0,3788	3149	2441	708
L04253	1	-46,4078760	-23,4565700	2061	0,0485	0,3788	3057	2422	635
L06590	8	-46,5422782	-23,4665988	3106	0,2576	3,0303	4688	3650	1038
L06592	3	-46,5439730	-23,4607010	2585	0,1161	1,1364	3854	3034	820
L06593	3	-46,5414079	-23,4675541	2706	0,1109	1,1364	4182	3224	958
L06594	2	-46,5388627	-23,4567760	1179	0,1696	0,7576	1732	1405	327
L06596	5	-46,5433698	-23,4792971	2346	0,2131	1,8939	3481	2759	722
L06597	1	-46,5597602	-23,4667730	2339	0,0428	0,3788	3181	2645	536
L06598	1	-46,5543334	-23,5001704	2493	0,0401	0,3788	3746	2920	826
L06599	1	-46,5552762	-23,4757201	4016	0,0249	0,3788	5873	4680	1193
L06600	6	-46,5491135	-23,5030590	4632	0,1295	2,2727	7282	5678	1604
L06601	2	-46,5494943	-23,4686972	1489	0,1343	0,7576	2100	1713	387
L06602	3	-46,5492677	-23,4848483	3245	0,0924	1,1364	4911	3881	1030
L06603	4	-46,5529975	-23,4682223	3294	0,1214	1,5152	4736	3793	943
L06604	4	-46,5464811	-23,4794649	2834	0,1411	1,5152	4188	3330	858
L06605	3	-46,5423233	-23,4725448	3187	0,0941	1,1364	4654	3758	896
L06606	4	-46,5368498	-23,4803586	2392	0,1672	1,5152	3486	2783	703
L06607	1	-46,5426685	-23,4588950	2362	0,0423	0,3788	3496	2775	721
L06608	1	-46,5619770	-23,4625208	2255	0,0443	0,3788	3248	2626	622
L06609	1	-46,5538251	-23,4593526	1641	0,0609	0,3788	2328	1861	467
L06612	1	-46,5384397	-23,4639462	1397	0,0716	0,3788	2056	1664	392
L06613	2	-46,5480261	-23,5005586	657	0,3044	0,7576	1056	812	244
L06614	2	-46,5497994	-23,5030196	718	0,2786	0,7576	1162	888	274
L06615	4	-46,5425522	-23,4666121	917	0,4362	1,5152	1375	1082	293
L06616	1	-46,5524295	-23,4793193	1363	0,0734	0,3788	2033	1639	394
L06618	2	-46,5471378	-23,4805844	1166	0,1715	0,7576	1808	1365	443
L06619	2	-46,5368498	-23,4803586	597	0,335	0,7576	945	695	250
L06621	1	-46,5505948	-23,4602271	1213	0,0824	0,3788	1733	1421	312
L06623	2	-46,5600699	-23,4660719	1388	0,1441	0,7576	1950	1641	309
L06624	1	-46,5045704	-23,4243582	1929	0,0518	0,3788	2744	2220	524
L06625	3	-46,5011844	-23,4290384	1688	0,1777	1,1364	2378	1894	484
L06626	1	-46,5107127	-23,4539298	2561	0,039	0,3788	3759	3035	724
L06627	2	-46,5068802	-23,4538921	1021	0,1959	0,7576	1469	1179	290
L06628	3	-46,5095998	-23,4618149	2520	0,119	1,1364	3580	2958	622
L06629	2	-46,5152025	-23,4480885	1944	0,1029	0,7576	2635	2163	472
L06630	1	-46,5008477	-23,4246555	3037	0,0329	0,3788	3968	3367	601
L06631	2	-46,5076553	-23,4362492	2967	0,0674	0,7576	4227	3452	775
L06633	2	-46,5143356	-23,4331372	1089	0,1837	0,7576	1495	1261	234
L06634	2	-46,4972144	-23,4091590	3843	0,052	0,7576	5269	4286	983
L06635	3	-46,4960369	-23,4157394	3530	0,085	1,1364	4636	3918	718
L06636	5	-46,5010794	-23,4082922	2304	0,217	1,8939	3067	2564	503
L06638	1	-46,5108984	-23,4160796	3329	0,03	0,3788	4389	3703	686
L06639	1	-46,5101307	-23,4343788	3858	0,0259	0,3788	5535	4504	1031
L06644	10	-46,5063124	-23,4580645	2735	0,3656	3,7879	3706	3095	611
L06645	8	-46,5069535	-23,4312359	4449	0,1798	3,0303	6184	5081	1103
L06646	2	-46,5109205	-23,4407732	3152	0,0635	0,7576	4427	3643	784
L06647	2	-46,5150722	-23,4316739	2155	0,0928	0,7576	3031	2499	532
L06649	1	-46,5101326	-23,4531041	2613	0,0383	0,3788	3756	3033	723
L06650	3	-46,4956680	-23,4116380	1041	0,2882	1,1364	1442	1178	264
L06652	2	-46,5135154	-23,4439673	390	0,5128	0,7576	558	449	109
L06653	1	-46,5018088	-23,4308419	1024	0,0977	0,3788	1422	1178	244
L06658	4	-46,5101123	-23,4286618	2248	0,1779	1,5152	3124	2562	562
L07068	4	-46,4183034	-23,4225518	3081	0,1298	1,5152	4413	3669	744
L08497	2	-46,5560400	-23,4515991	3178	0,0629	0,7576	5027	3802	1225
L09785	2	-46,5368630	-23,4401670	1861	0,1075	0,7576	2951	2203	748
L09788	3	-46,5460249	-23,4541953	1554	0,1931	1,1364	2307	1827	480
L09790	1	-46,5546942	-23,4528509	2045	0,0489	0,3788	3332	2503	829
L09793	2	-46,5414126	-23,4449188	3241	0,0617	0,7576	4997	3883	1114
L09795	5	-46,5427459	-23,4505121	3324	0,1504	1,8939	5044	3906	1138
L09797	2	-46,5645254	-23,4578160	2265	0,0883	0,7576	3525	2776	749
L09800	1	-46,5484944	-23,4461673	3063	0,0326	0,3788	4917	3640	1277
L09803	6	-46,5561613	-23,4338322	3793	0,1582	2,2727	5928	4573	1355
L09804	5	-46,5483783	-23,4363400	3017	0,1657	1,8939	4500	3528	972
L09806	1	-46,5633619	-23,4319629	3371	0,0297	0,3788	4729	3853	876
L09807	2	-46,5489569	-23,4357724	2320	0,0862	0,7576	3349	2693	656
L09808	2	-46,5531760	-23,4384305	1963	0,1019	0,7576	3071	2353	718
