cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04022	2	-46,5189890	-23,4582225	3507	0,057	2,0408	5353	4100	1253
L04026	4	-46,5205382	-23,4200168	3569	0,1121	4,0816	5258	4148	1110
L04029	9	-46,5257431	-23,4447767	3469	0,2594	9,1837	5202	4058	1144
L04030	1	-46,5250906	-23,4552952	3134	0,0319	1,0204	4565	3579	986
L04038	5	-46,5218442	-23,4280169	5014	0,0997	5,102	6975	5763	1212
L04047	5	-46,5212409	-23,4239096	3765	0,1328	5,102	5711	4457	1254
L04054	2	-46,5247111	-23,4230992	2455	0,0815	2,0408	3441	2836	605
L04229	1	-46,4252641	-23,4654680	2476	0,0404	1,0204	3655	2957	698
L04230	1	-46,4036715	-23,4635450	2746	0,0364	1,0204	4031	3199	832
L04235	1	-46,4124283	-23,4446100	3679	0,0272	1,0204	5464	4330	1134
L06590	1	-46,5422782	-23,4665988	3106	0,0322	1,0204	4688	3650	1038
L06593	1	-46,5414079	-23,4675541	2706	0,037	1,0204	4182	3224	958
L06596	3	-46,5433698	-23,4792971	2346	0,1279	3,0612	3481	2759	722
L06600	1	-46,5491135	-23,5030590	4632	0,0216	1,0204	7282	5678	1604
L06604	3	-46,5464811	-23,4794649	2834	0,1059	3,0612	4188	3330	858
L06605	19	-46,5423233	-23,4725448	3187	0,5962	19,3878	4654	3758	896
L06609	1	-46,5538251	-23,4593526	1641	0,0609	1,0204	2328	1861	467
L06612	1	-46,5384397	-23,4639462	1397	0,0716	1,0204	2056	1664	392
L06618	2	-46,5471378	-23,4805844	1166	0,1715	2,0408	1808	1365	443
L06625	1	-46,5011844	-23,4290384	1688	0,0592	1,0204	2378	1894	484
L06632	5	-46,4933909	-23,4194569	4222	0,1184	5,102	5911	4760	1151
L06643	5	-46,5046999	-23,4484229	4431	0,1128	5,102	5949	4887	1062
L06649	1	-46,5101326	-23,4531041	2613	0,0383	1,0204	3756	3033	723
L08497	1	-46,5560400	-23,4515991	3178	0,0315	1,0204	5027	3802	1225
L09795	5	-46,5427459	-23,4505121	3324	0,1504	5,102	5044	3906	1138
L09797	1	-46,5645254	-23,4578160	2265	0,0442	1,0204	3525	2776	749
L09799	1	-46,5550646	-23,4340925	3062	0,0327	1,0204	4384	3628	756
L09800	2	-46,5484944	-23,4461673	3063	0,0653	2,0408	4917	3640	1277
L09809	1	-46,5629586	-23,4343390	2004	0,0499	1,0204	2912	2323	589
L09821	1	-46,4713471	-23,4164380	4729	0,0211	1,0204	6668	5493	1175
L09822	1	-46,4599054	-23,4173154	3123	0,032	1,0204	4717	3792	925
L09826	1	-46,4060026	-23,3664058	1077	0,0929	1,0204	1500	1245	255
L09828	1	-46,4373582	-23,3998282	3439	0,0291	1,0204	5350	4024	1326
L09831	1	-46,4660087	-23,4006544	3645	0,0274	1,0204	5341	4237	1104
L09837	1	-46,4580997	-23,4097075	3391	0,0295	1,0204	4944	3961	983
L09842	1	-46,4337453	-23,4021408	773	0,1294	1,0204	1143	907	236
L09843	1	-46,4584206	-23,4091730	3839	0,026	1,0204	5358	4400	958
L09855	1	-46,4541521	-23,4053186	1795	0,0557	1,0204	2396	2002	394
L09858	1	-46,4627520	-23,4438668	1677	0,0596	1,0204	2339	2000	339
L09864	1	-46,4654827	-23,4594060	3703	0,027	1,0204	5205	4151	1054
L09874	1	-46,4275906	-23,4246425	2619	0,0382	1,0204	3842	3152	690
