cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04027	1	-46,5348867	-23,4617458	3878	0,0258	3,7037	6011	4558	1453
L04030	3	-46,5250906	-23,4552952	3134	0,0957	11,1111	4565	3579	986
L04036	2	-46,5172187	-23,4664313	1839	0,1088	7,4074	2791	2165	626
L04037	1	-46,5347298	-23,4577536	3127	0,032	3,7037	4628	3609	1019
L04236	1	-46,4240116	-23,4575466	3776	0,0265	3,7037	5435	4492	943
L06611	2	-46,5502169	-23,4903597	1250	0,16	7,4074	1851	1472	379
L06629	1	-46,5152025	-23,4480885	1944	0,0514	3,7037	2635	2163	472
L06641	1	-46,5044429	-23,4216203	4367	0,0229	3,7037	5813	4898	915
L09788	2	-46,5460249	-23,4541953	1554	0,1287	7,4074	2307	1827	480
L09799	1	-46,5550646	-23,4340925	3062	0,0327	3,7037	4384	3628	756
L09805	1	-46,5559629	-23,4447718	2534	0,0395	3,7037	3838	3014	824
L09823	1	-46,4514827	-23,4142506	718	0,1393	3,7037	1034	843	191
L09829	3	-46,4437028	-23,3783486	3911	0,0767	11,1111	5380	4483	897
L09848	1	-46,4697267	-23,4083693	3238	0,0309	3,7037	4579	3782	797
L09850	5	-46,4488353	-23,3750146	3137	0,1594	18,5185	4421	3657	764
L09876	1	-46,4660357	-23,4471833	3396	0,0294	3,7037	5107	3973	1134
