cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	5	-46,5351389	-23,4432944	3985	0,1255	0,9881	6467	4740	1727
L04022	22	-46,5189890	-23,4582225	3507	0,6273	4,3478	5353	4100	1253
L04023	1	-46,5258670	-23,4677912	1789	0,0559	0,1976	2652	2022	630
L04024	14	-46,4960476	-23,4627418	3286	0,426	2,7668	4988	3762	1226
L04025	3	-46,5313666	-23,4665558	1293	0,232	0,5929	1907	1463	444
L04027	6	-46,5348867	-23,4617458	3878	0,1547	1,1858	6011	4558	1453
L04028	2	-46,5260028	-23,4506424	2185	0,0915	0,3953	3153	2490	663
L04029	2	-46,5257431	-23,4447767	3469	0,0577	0,3953	5202	4058	1144
L04030	3	-46,5250906	-23,4552952	3134	0,0957	0,5929	4565	3579	986
L04031	5	-46,5178969	-23,4509497	3853	0,1298	0,9881	5561	4379	1182
L04033	8	-46,5221381	-23,4625300	3783	0,2115	1,581	5585	4358	1227
L04034	1	-46,5200816	-23,4395097	2036	0,0491	0,1976	2776	2341	435
L04036	3	-46,5172187	-23,4664313	1839	0,1631	0,5929	2791	2165	626
L04037	3	-46,5347298	-23,4577536	3127	0,0959	0,5929	4628	3609	1019
L04038	1	-46,5218442	-23,4280169	5014	0,0199	0,1976	6975	5763	1212
L04040	1	-46,5310324	-23,4403067	3573	0,028	0,1976	4916	4069	847
L04041	2	-46,5198792	-23,4405254	2510	0,0797	0,3953	3908	2965	943
L04042	8	-46,5148130	-23,4615577	3411	0,2345	1,581	5052	3997	1055
L04043	12	-46,4988962	-23,4535454	3004	0,3995	2,3715	4361	3460	901
L04044	1	-46,5252840	-23,4499460	879	0,1138	0,1976	1389	1067	322
L04045	5	-46,5182845	-23,4505855	1810	0,2762	0,9881	2690	2149	541
L04047	2	-46,5212409	-23,4239096	3765	0,0531	0,3953	5711	4457	1254
L04048	3	-46,5242122	-23,4573150	826	0,3632	0,5929	1103	941	162
L04049	1	-46,5279042	-23,4569302	1927	0,0519	0,1976	2790	2244	546
L04050	2	-46,5284889	-23,4721650	1152	0,1736	0,3953	1695	1303	392
L04051	3	-46,5374154	-23,4392016	1523	0,197	0,5929	2253	1802	451
L04054	4	-46,5247111	-23,4230992	2455	0,1629	0,7905	3441	2836	605
L04055	2	-46,5326860	-23,4703600	3025	0,0661	0,3953	4827	3500	1327
L04227	2	-46,4014214	-23,4418594	3279	0,061	0,3953	4547	3765	782
L04232	1	-46,4217922	-23,4688827	2892	0,0346	0,1976	4235	3445	790
L04233	1	-46,3922099	-23,4750902	2611	0,0383	0,1976	3680	3063	617
L04236	1	-46,4240116	-23,4575466	3776	0,0265	0,1976	5435	4492	943
L04238	1	-46,3962862	-23,4650561	3129	0,032	0,1976	4474	3655	819
L04239	1	-46,4117159	-23,4448235	3541	0,0282	0,1976	4961	4092	869
L04240	1	-46,3970402	-23,4775957	3125	0,032	0,1976	4896	3844	1052
L04247	1	-46,4006094	-23,4493557	4047	0,0247	0,1976	5767	4780	987
L04249	2	-46,4399123	-23,4617526	1621	0,1234	0,3953	2373	1931	442
L04251	1	-46,4122972	-23,4487083	2818	0,0355	0,1976	4095	3343	752
L04252	1	-46,3922900	-23,4769740	2249	0,0445	0,1976	3198	2702	496
L04253	1	-46,4078760	-23,4565700	2061	0,0485	0,1976	3057	2422	635
L04254	1	-46,4142034	-23,4355403	1861	0,0537	0,1976	2816	2250	566
L04255	2	-46,4083672	-23,4621695	2456	0,0814	0,3953	3409	2856	553
L04256	1	-46,4196635	-23,4426294	1504	0,0665	0,1976	2063	1754	309
L04257	2	-46,4168989	-23,4502035	2158	0,0927	0,3953	3157	2540	617
L04259	1	-46,4044135	-23,4399264	2280	0,0439	0,1976	3572	2733	839
L04261	1	-46,4253063	-23,4662179	1516	0,066	0,1976	2268	1797	471
L06590	3	-46,5422782	-23,4665988	3106	0,0966	0,5929	4688	3650	1038
L06592	2	-46,5439730	-23,4607010	2585	0,0774	0,3953	3854	3034	820
L06593	4	-46,5414079	-23,4675541	2706	0,1478	0,7905	4182	3224	958
L06594	1	-46,5388627	-23,4567760	1179	0,0848	0,1976	1732	1405	327
L06596	2	-46,5433698	-23,4792971	2346	0,0853	0,3953	3481	2759	722
L06597	2	-46,5597602	-23,4667730	2339	0,0855	0,3953	3181	2645	536
L06598	2	-46,5543334	-23,5001704	2493	0,0802	0,3953	3746	2920	826
L06599	1	-46,5552762	-23,4757201	4016	0,0249	0,1976	5873	4680	1193
L06600	2	-46,5491135	-23,5030590	4632	0,0432	0,3953	7282	5678	1604
L06601	1	-46,5494943	-23,4686972	1489	0,0672	0,1976	2100	1713	387
L06602	3	-46,5492677	-23,4848483	3245	0,0924	0,5929	4911	3881	1030
L06603	2	-46,5529975	-23,4682223	3294	0,0607	0,3953	4736	3793	943
L06604	2	-46,5464811	-23,4794649	2834	0,0706	0,3953	4188	3330	858
L06605	3	-46,5423233	-23,4725448	3187	0,0941	0,5929	4654	3758	896
L06606	2	-46,5368498	-23,4803586	2392	0,0836	0,3953	3486	2783	703
L06608	1	-46,5619770	-23,4625208	2255	0,0443	0,1976	3248	2626	622
L06609	1	-46,5538251	-23,4593526	1641	0,0609	0,1976	2328	1861	467
L06611	1	-46,5502169	-23,4903597	1250	0,08	0,1976	1851	1472	379
L06612	1	-46,5384397	-23,4639462	1397	0,0716	0,1976	2056	1664	392
L06614	1	-46,5497994	-23,5030196	718	0,1393	0,1976	1162	888	274
L06616	1	-46,5524295	-23,4793193	1363	0,0734	0,1976	2033	1639	394
L06617	1	-46,5532090	-23,4944749	619	0,1616	0,1976	879	725	154
L06619	2	-46,5368498	-23,4803586	597	0,335	0,3953	945	695	250
L06620	2	-46,5509395	-23,4687509	963	0,2077	0,3953	1425	1159	266
L06623	2	-46,5600699	-23,4660719	1388	0,1441	0,3953	1950	1641	309
L06624	2	-46,5045704	-23,4243582	1929	0,1037	0,3953	2744	2220	524
L06625	1	-46,5011844	-23,4290384	1688	0,0592	0,1976	2378	1894	484
L06626	24	-46,5107127	-23,4539298	2561	0,9371	4,7431	3759	3035	724
L06627	7	-46,5068802	-23,4538921	1021	0,6856	1,3834	1469	1179	290
L06628	5	-46,5095998	-23,4618149	2520	0,1984	0,9881	3580	2958	622
L06629	1	-46,5152025	-23,4480885	1944	0,0514	0,1976	2635	2163	472
L06630	1	-46,5008477	-23,4246555	3037	0,0329	0,1976	3968	3367	601
L06631	1	-46,5076553	-23,4362492	2967	0,0337	0,1976	4227	3452	775
L06632	4	-46,4933909	-23,4194569	4222	0,0947	0,7905	5911	4760	1151
L06634	1	-46,4972144	-23,4091590	3843	0,026	0,1976	5269	4286	983
L06635	4	-46,4960369	-23,4157394	3530	0,1133	0,7905	4636	3918	718
L06636	2	-46,5010794	-23,4082922	2304	0,0868	0,3953	3067	2564	503
L06639	3	-46,5101307	-23,4343788	3858	0,0778	0,5929	5535	4504	1031
L06640	4	-46,5106590	-23,4439176	1975	0,2025	0,7905	2700	2282	418
L06641	2	-46,5044429	-23,4216203	4367	0,0458	0,3953	5813	4898	915
L06643	1	-46,5046999	-23,4484229	4431	0,0226	0,1976	5949	4887	1062
L06644	4	-46,5063124	-23,4580645	2735	0,1463	0,7905	3706	3095	611
L06645	5	-46,5069535	-23,4312359	4449	0,1124	0,9881	6184	5081	1103
L06646	2	-46,5109205	-23,4407732	3152	0,0635	0,3953	4427	3643	784
L06647	4	-46,5150722	-23,4316739	2155	0,1856	0,7905	3031	2499	532
L06648	1	-46,4933909	-23,4194569	1189	0,0841	0,1976	1753	1363	390
L06649	4	-46,5101326	-23,4531041	2613	0,1531	0,7905	3756	3033	723
L06652	3	-46,5135154	-23,4439673	390	0,7692	0,5929	558	449	109
L06654	5	-46,5099700	-23,4595725	639	0,7825	0,9881	945	752	193
L06655	1	-46,5033620	-23,4092590	790	0,1266	0,1976	1078	878	200
L06656	1	-46,5152366	-23,4472186	487	0,2053	0,1976	744	552	192
L06657	5	-46,4932521	-23,4075649	2325	0,2151	0,9881	3254	2621	633
L06658	1	-46,5101123	-23,4286618	2248	0,0445	0,1976	3124	2562	562
L06659	1	-46,5039161	-23,4489787	1371	0,0729	0,1976	1880	1545	335
L07068	33	-46,4183034	-23,4225518	3081	1,0711	6,5217	4413	3669	744
L08497	6	-46,5560400	-23,4515991	3178	0,1888	1,1858	5027	3802	1225
L09785	1	-46,5368630	-23,4401670	1861	0,0537	0,1976	2951	2203	748
L09787	2	-46,5659510	-23,4593190	1776	0,1126	0,3953	2810	2171	639
L09788	2	-46,5460249	-23,4541953	1554	0,1287	0,3953	2307	1827	480
L09790	8	-46,5546942	-23,4528509	2045	0,3912	1,581	3332	2503	829
L09791	1	-46,5196842	-23,3998219	1835	0,0545	0,1976	2578	2100	478
L09792	5	-46,5222530	-23,3978071	2829	0,1767	0,9881	4352	3370	982
L09793	3	-46,5414126	-23,4449188	3241	0,0926	0,5929	4997	3883	1114
L09795	6	-46,5427459	-23,4505121	3324	0,1805	1,1858	5044	3906	1138
