cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	3	-46,5351389	-23,4432944	3985	0,0753	1,4778	6467	4740	1727
L04022	6	-46,5189890	-23,4582225	3507	0,1711	2,9557	5353	4100	1253
L04023	1	-46,5258670	-23,4677912	1789	0,0559	0,4926	2652	2022	630
L04024	2	-46,4960476	-23,4627418	3286	0,0609	0,9852	4988	3762	1226
L04025	1	-46,5313666	-23,4665558	1293	0,0773	0,4926	1907	1463	444
L04026	3	-46,5205382	-23,4200168	3569	0,0841	1,4778	5258	4148	1110
L04027	1	-46,5348867	-23,4617458	3878	0,0258	0,4926	6011	4558	1453
L04028	1	-46,5260028	-23,4506424	2185	0,0458	0,4926	3153	2490	663
L04029	24	-46,5257431	-23,4447767	3469	0,6918	11,8227	5202	4058	1144
L04030	4	-46,5250906	-23,4552952	3134	0,1276	1,9704	4565	3579	986
L04031	2	-46,5178969	-23,4509497	3853	0,0519	0,9852	5561	4379	1182
L04032	24	-46,5233803	-23,4390725	1675	1,4328	11,8227	2351	1938	413
L04033	2	-46,5221381	-23,4625300	3783	0,0529	0,9852	5585	4358	1227
L04034	12	-46,5200816	-23,4395097	2036	0,5894	5,9113	2776	2341	435
L04035	1	-46,5225666	-23,4292113	1027	0,0974	0,4926	1410	1186	224
L04038	5	-46,5218442	-23,4280169	5014	0,0997	2,4631	6975	5763	1212
L04040	18	-46,5310324	-23,4403067	3573	0,5038	8,867	4916	4069	847
L04041	9	-46,5198792	-23,4405254	2510	0,3586	4,4335	3908	2965	943
L04042	4	-46,5148130	-23,4615577	3411	0,1173	1,9704	5052	3997	1055
L04043	2	-46,4988962	-23,4535454	3004	0,0666	0,9852	4361	3460	901
L04044	2	-46,5252840	-23,4499460	879	0,2275	0,9852	1389	1067	322
L04045	2	-46,5182845	-23,4505855	1810	0,1105	0,9852	2690	2149	541
L04047	2	-46,5212409	-23,4239096	3765	0,0531	0,9852	5711	4457	1254
L04048	1	-46,5242122	-23,4573150	826	0,1211	0,4926	1103	941	162
L04050	1	-46,5284889	-23,4721650	1152	0,0868	0,4926	1695	1303	392
L04051	1	-46,5374154	-23,4392016	1523	0,0657	0,4926	2253	1802	451
L04055	3	-46,5326860	-23,4703600	3025	0,0992	1,4778	4827	3500	1327
L04238	1	-46,3962862	-23,4650561	3129	0,032	0,4926	4474	3655	819
L04239	2	-46,4117159	-23,4448235	3541	0,0565	0,9852	4961	4092	869
L04243	1	-46,4190397	-23,4390357	4665	0,0214	0,4926	6705	5509	1196
L04257	1	-46,4168989	-23,4502035	2158	0,0463	0,4926	3157	2540	617
L04262	4	-46,3700060	-23,4294147	6	66,6667	1,9704	27	7	20
L06596	1	-46,5433698	-23,4792971	2346	0,0426	0,4926	3481	2759	722
L06602	2	-46,5492677	-23,4848483	3245	0,0616	0,9852	4911	3881	1030
L06606	2	-46,5368498	-23,4803586	2392	0,0836	0,9852	3486	2783	703
L06608	1	-46,5619770	-23,4625208	2255	0,0443	0,4926	3248	2626	622
L06610	1	-46,5567765	-23,4697758	2304	0,0434	0,4926	3125	2584	541
L06618	1	-46,5471378	-23,4805844	1166	0,0858	0,4926	1808	1365	443
L06619	1	-46,5368498	-23,4803586	597	0,1675	0,4926	945	695	250
L06629	1	-46,5152025	-23,4480885	1944	0,0514	0,4926	2635	2163	472
L06630	1	-46,5008477	-23,4246555	3037	0,0329	0,4926	3968	3367	601
L06633	1	-46,5143356	-23,4331372	1089	0,0918	0,4926	1495	1261	234
L06639	1	-46,5101307	-23,4343788	3858	0,0259	0,4926	5535	4504	1031
L06640	2	-46,5106590	-23,4439176	1975	0,1013	0,9852	2700	2282	418
L06643	1	-46,5046999	-23,4484229	4431	0,0226	0,4926	5949	4887	1062
L06646	6	-46,5109205	-23,4407732	3152	0,1904	2,9557	4427	3643	784
L06647	1	-46,5150722	-23,4316739	2155	0,0464	0,4926	3031	2499	532
L06654	1	-46,5099700	-23,4595725	639	0,1565	0,4926	945	752	193
L06658	1	-46,5101123	-23,4286618	2248	0,0445	0,4926	3124	2562	562
L09785	1	-46,5368630	-23,4401670	1861	0,0537	0,4926	2951	2203	748
L09793	2	-46,5414126	-23,4449188	3241	0,0617	0,9852	4997	3883	1114
L09794	1	-46,5460300	-23,4567593	1200	0,0833	0,4926	1749	1407	342
L09795	1	-46,5427459	-23,4505121	3324	0,0301	0,4926	5044	3906	1138
L09797	1	-46,5645254	-23,4578160	2265	0,0442	0,4926	3525	2776	749
L09798	1	-46,5603066	-23,4492343	3120	0,0321	0,4926	5013	3800	1213
L09800	1	-46,5484944	-23,4461673	3063	0,0326	0,4926	4917	3640	1277
L09802	1	-46,5475487	-23,4366943	1665	0,0601	0,4926	2234	1890	344
L09811	1	-46,5405794	-23,4474493	1305	0,0766	0,4926	1989	1517	472
L09817	1	-46,5575625	-23,4485828	5138	0,0195	0,4926	7850	5990	1860
L09819	1	-46,4161970	-23,4051055	3839	0,026	0,4926	5798	4451	1347
L09828	1	-46,4373582	-23,3998282	3439	0,0291	0,4926	5350	4024	1326
L09829	5	-46,4437028	-23,3783486	3911	0,1278	2,4631	5380	4483	897
L09830	1	-46,4024310	-23,3865450	1980	0,0505	0,4926	2870	2358	512
L09831	1	-46,4660087	-23,4006544	3645	0,0274	0,4926	5341	4237	1104
L09834	1	-46,3974480	-23,4069388	2470	0,0405	0,4926	3555	2944	611
