cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	2	-46,5351389	-23,4432944	3985	0,0502	0,8969	6467	4740	1727
L04026	1	-46,5205382	-23,4200168	3569	0,028	0,4484	5258	4148	1110
L04055	1	-46,5326860	-23,4703600	3025	0,0331	0,4484	4827	3500	1327
L04228	5	-46,4043279	-23,4619232	3414	0,1465	2,2422	4990	4013	977
L04230	2	-46,4036715	-23,4635450	2746	0,0728	0,8969	4031	3199	832
L04232	1	-46,4217922	-23,4688827	2892	0,0346	0,4484	4235	3445	790
L04233	53	-46,3922099	-23,4750902	2611	2,0299	23,7668	3680	3063	617
L04237	4	-46,4010537	-23,4628858	3866	0,1035	1,7937	5772	4602	1170
L04238	6	-46,3962862	-23,4650561	3129	0,1918	2,6906	4474	3655	819
L04239	2	-46,4117159	-23,4448235	3541	0,0565	0,8969	4961	4092	869
L04240	46	-46,3970402	-23,4775957	3125	1,472	20,6278	4896	3844	1052
L04242	1	-46,4110028	-23,4412045	4441	0,0225	0,4484	6679	5288	1391
L04247	2	-46,4006094	-23,4493557	4047	0,0494	0,8969	5767	4780	987
L04252	74	-46,3922900	-23,4769740	2249	3,2904	33,1839	3198	2702	496
L04253	1	-46,4078760	-23,4565700	2061	0,0485	0,4484	3057	2422	635
L04255	5	-46,4083672	-23,4621695	2456	0,2036	2,2422	3409	2856	553
L04257	1	-46,4168989	-23,4502035	2158	0,0463	0,4484	3157	2540	617
L06599	1	-46,5552762	-23,4757201	4016	0,0249	0,4484	5873	4680	1193
L06631	2	-46,5076553	-23,4362492	2967	0,0674	0,8969	4227	3452	775
L06635	1	-46,4960369	-23,4157394	3530	0,0283	0,4484	4636	3918	718
L06637	1	-46,4862817	-23,4057433	3315	0,0302	0,4484	4493	3728	765
L06658	1	-46,5101123	-23,4286618	2248	0,0445	0,4484	3124	2562	562
L09818	1	-46,4376679	-23,3997821	4108	0,0243	0,4484	5884	4783	1101
L09842	2	-46,4337453	-23,4021408	773	0,2587	0,8969	1143	907	236
L09845	3	-46,3955820	-23,3987536	3675	0,0816	1,3453	5424	4458	966
L09861	1	-46,4284199	-23,4439420	4306	0,0232	0,4484	6361	5197	1164
L09880	2	-46,4237055	-23,4448627	2391	0,0836	0,8969	3560	2909	651
L09881	1	-46,4623323	-23,4433165	1831	0,0546	0,4484	2794	2154	640
