cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	1	-46,5351389	-23,4432944	3985	0,0251	0,9709	6467	4740	1727
L04030	1	-46,5250906	-23,4552952	3134	0,0319	0,9709	4565	3579	986
L04031	1	-46,5178969	-23,4509497	3853	0,026	0,9709	5561	4379	1182
L04041	1	-46,5198792	-23,4405254	2510	0,0398	0,9709	3908	2965	943
L04042	1	-46,5148130	-23,4615577	3411	0,0293	0,9709	5052	3997	1055
L04048	3	-46,5242122	-23,4573150	826	0,3632	2,9126	1103	941	162
L04228	1	-46,4043279	-23,4619232	3414	0,0293	0,9709	4990	4013	977
L04229	9	-46,4252641	-23,4654680	2476	0,3635	8,7379	3655	2957	698
L04230	1	-46,4036715	-23,4635450	2746	0,0364	0,9709	4031	3199	832
L04232	3	-46,4217922	-23,4688827	2892	0,1037	2,9126	4235	3445	790
L04236	12	-46,4240116	-23,4575466	3776	0,3178	11,6505	5435	4492	943
L04237	6	-46,4010537	-23,4628858	3866	0,1552	5,8252	5772	4602	1170
L04239	1	-46,4117159	-23,4448235	3541	0,0282	0,9709	4961	4092	869
L04240	1	-46,3970402	-23,4775957	3125	0,032	0,9709	4896	3844	1052
L04241	17	-46,4274434	-23,4577532	3932	0,4323	16,5049	5900	4677	1223
L04242	1	-46,4110028	-23,4412045	4441	0,0225	0,9709	6679	5288	1391
L04243	1	-46,4190397	-23,4390357	4665	0,0214	0,9709	6705	5509	1196
L04245	5	-46,4263197	-23,4646584	2243	0,2229	4,8544	3234	2676	558
L04246	2	-46,4183363	-23,4566057	2701	0,074	1,9417	3767	3124	643
L04249	3	-46,4399123	-23,4617526	1621	0,1851	2,9126	2373	1931	442
L04251	1	-46,4122972	-23,4487083	2818	0,0355	0,9709	4095	3343	752
L04253	1	-46,4078760	-23,4565700	2061	0,0485	0,9709	3057	2422	635
L04255	1	-46,4083672	-23,4621695	2456	0,0407	0,9709	3409	2856	553
L04260	1	-46,4110264	-23,4483687	2454	0,0407	0,9709	3348	2855	493
L04261	4	-46,4253063	-23,4662179	1516	0,2639	3,8835	2268	1797	471
L06600	1	-46,5491135	-23,5030590	4632	0,0216	0,9709	7282	5678	1604
L06605	1	-46,5423233	-23,4725448	3187	0,0314	0,9709	4654	3758	896
L06639	3	-46,5101307	-23,4343788	3858	0,0778	2,9126	5535	4504	1031
L06641	1	-46,5044429	-23,4216203	4367	0,0229	0,9709	5813	4898	915
L09793	1	-46,5414126	-23,4449188	3241	0,0309	0,9709	4997	3883	1114
L09805	1	-46,5559629	-23,4447718	2534	0,0395	0,9709	3838	3014	824
L09817	1	-46,5575625	-23,4485828	5138	0,0195	0,9709	7850	5990	1860
L09834	1	-46,3974480	-23,4069388	2470	0,0405	0,9709	3555	2944	611
L09844	1	-46,3942002	-23,3987737	3665	0,0273	0,9709	5306	4363	943
L09855	1	-46,4541521	-23,4053186	1795	0,0557	0,9709	2396	2002	394
L09863	1	-46,4279296	-23,4310787	2270	0,0441	0,9709	3738	2809	929
L09868	2	-46,4576614	-23,4558165	4036	0,0496	1,9417	5529	4586	943
L09869	1	-46,4651071	-23,4594986	4171	0,024	0,9709	5819	4729	1090
L09871	5	-46,4406541	-23,4507951	4323	0,1157	4,8544	6232	5179	1053
L09875	1	-46,4340671	-23,4266463	6326	0,0158	0,9709	9025	7471	1554
L09881	1	-46,4623323	-23,4433165	1831	0,0546	0,9709	2794	2154	640
L09882	1	-46,4593607	-23,4375830	1457	0,0686	0,9709	2080	1662	418
