cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	1	-46,5351389	-23,4432944	3985	0,0251	1,6129	6467	4740	1727
L04023	1	-46,5258670	-23,4677912	1789	0,0559	1,6129	2652	2022	630
L04029	4	-46,5257431	-23,4447767	3469	0,1153	6,4516	5202	4058	1144
L04032	1	-46,5233803	-23,4390725	1675	0,0597	1,6129	2351	1938	413
L04033	1	-46,5221381	-23,4625300	3783	0,0264	1,6129	5585	4358	1227
L04038	1	-46,5218442	-23,4280169	5014	0,0199	1,6129	6975	5763	1212
L04041	1	-46,5198792	-23,4405254	2510	0,0398	1,6129	3908	2965	943
L04042	4	-46,5148130	-23,4615577	3411	0,1173	6,4516	5052	3997	1055
L04045	1	-46,5182845	-23,4505855	1810	0,0552	1,6129	2690	2149	541
L04054	1	-46,5247111	-23,4230992	2455	0,0407	1,6129	3441	2836	605
L04260	1	-46,4110264	-23,4483687	2454	0,0407	1,6129	3348	2855	493
L06590	1	-46,5422782	-23,4665988	3106	0,0322	1,6129	4688	3650	1038
L06596	1	-46,5433698	-23,4792971	2346	0,0426	1,6129	3481	2759	722
L06601	1	-46,5494943	-23,4686972	1489	0,0672	1,6129	2100	1713	387
L06604	2	-46,5464811	-23,4794649	2834	0,0706	3,2258	4188	3330	858
L06614	1	-46,5497994	-23,5030196	718	0,1393	1,6129	1162	888	274
L06621	1	-46,5505948	-23,4602271	1213	0,0824	1,6129	1733	1421	312
L06626	1	-46,5107127	-23,4539298	2561	0,039	1,6129	3759	3035	724
L06627	1	-46,5068802	-23,4538921	1021	0,0979	1,6129	1469	1179	290
L06628	2	-46,5095998	-23,4618149	2520	0,0794	3,2258	3580	2958	622
L06629	2	-46,5152025	-23,4480885	1944	0,1029	3,2258	2635	2163	472
L06631	4	-46,5076553	-23,4362492	2967	0,1348	6,4516	4227	3452	775
L06639	7	-46,5101307	-23,4343788	3858	0,1814	11,2903	5535	4504	1031
L06640	1	-46,5106590	-23,4439176	1975	0,0506	1,6129	2700	2282	418
L06643	3	-46,5046999	-23,4484229	4431	0,0677	4,8387	5949	4887	1062
L06645	3	-46,5069535	-23,4312359	4449	0,0674	4,8387	6184	5081	1103
L06646	4	-46,5109205	-23,4407732	3152	0,1269	6,4516	4427	3643	784
L06647	1	-46,5150722	-23,4316739	2155	0,0464	1,6129	3031	2499	532
L06649	1	-46,5101326	-23,4531041	2613	0,0383	1,6129	3756	3033	723
L06658	1	-46,5101123	-23,4286618	2248	0,0445	1,6129	3124	2562	562
L09792	1	-46,5222530	-23,3978071	2829	0,0353	1,6129	4352	3370	982
L09812	1	-46,5448990	-23,4279439	2677	0,0374	1,6129	3946	3184	762
L09854	1	-46,4426341	-23,4006395	3069	0,0326	1,6129	4213	3533	680
L09866	1	-46,4278732	-23,4383691	2095	0,0477	1,6129	2932	2450	482
L09874	1	-46,4275906	-23,4246425	2619	0,0382	1,6129	3842	3152	690
L09880	2	-46,4237055	-23,4448627	2391	0,0836	3,2258	3560	2909	651
