cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04027	1	-46,5348867	-23,4617458	3878	0,0258	1,4286	6011	4558	1453
L04037	1	-46,5347298	-23,4577536	3127	0,032	1,4286	4628	3609	1019
L04038	1	-46,5218442	-23,4280169	5014	0,0199	1,4286	6975	5763	1212
L04042	1	-46,5148130	-23,4615577	3411	0,0293	1,4286	5052	3997	1055
L04237	2	-46,4010537	-23,4628858	3866	0,0517	2,8571	5772	4602	1170
L04243	1	-46,4190397	-23,4390357	4665	0,0214	1,4286	6705	5509	1196
L04256	2	-46,4196635	-23,4426294	1504	0,133	2,8571	2063	1754	309
L04260	1	-46,4110264	-23,4483687	2454	0,0407	1,4286	3348	2855	493
L06602	1	-46,5492677	-23,4848483	3245	0,0308	1,4286	4911	3881	1030
L06628	1	-46,5095998	-23,4618149	2520	0,0397	1,4286	3580	2958	622
L06649	1	-46,5101326	-23,4531041	2613	0,0383	1,4286	3756	3033	723
L06654	1	-46,5099700	-23,4595725	639	0,1565	1,4286	945	752	193
L09811	1	-46,5405794	-23,4474493	1305	0,0766	1,4286	1989	1517	472
L09821	5	-46,4713471	-23,4164380	4729	0,1057	7,1429	6668	5493	1175
L09824	3	-46,4460270	-23,4107410	3681	0,0815	4,2857	5303	4310	993
L09826	3	-46,4060026	-23,3664058	1077	0,2786	4,2857	1500	1245	255
L09830	1	-46,4024310	-23,3865450	1980	0,0505	1,4286	2870	2358	512
L09834	1	-46,3974480	-23,4069388	2470	0,0405	1,4286	3555	2944	611
L09836	1	-46,3915434	-23,4071587	3522	0,0284	1,4286	5143	4192	951
L09837	2	-46,4580997	-23,4097075	3391	0,059	2,8571	4944	3961	983
L09843	2	-46,4584206	-23,4091730	3839	0,0521	2,8571	5358	4400	958
L09844	1	-46,3942002	-23,3987737	3665	0,0273	1,4286	5306	4363	943
L09846	1	-46,4570810	-23,4125500	3153	0,0317	1,4286	4264	3582	682
L09854	2	-46,4426341	-23,4006395	3069	0,0652	2,8571	4213	3533	680
L09855	1	-46,4541521	-23,4053186	1795	0,0557	1,4286	2396	2002	394
L09857	1	-46,4623279	-23,4372050	1523	0,0657	1,4286	2389	1854	535
L09860	1	-46,4742651	-23,4493456	3049	0,0328	1,4286	4799	3576	1223
L09862	1	-46,4178706	-23,4230444	2208	0,0453	1,4286	3359	2691	668
L09863	3	-46,4279296	-23,4310787	2270	0,1322	4,2857	3738	2809	929
L09865	1	-46,4668005	-23,4627026	2060	0,0485	1,4286	2947	2330	617
L09867	11	-46,4363562	-23,4335696	4242	0,2593	15,7143	6556	5035	1521
L09869	1	-46,4651071	-23,4594986	4171	0,024	1,4286	5819	4729	1090
L09870	1	-46,4386061	-23,4454914	3923	0,0255	1,4286	5764	4733	1031
L09874	3	-46,4275906	-23,4246425	2619	0,1145	4,2857	3842	3152	690
L09875	2	-46,4340671	-23,4266463	6326	0,0316	2,8571	9025	7471	1554
L09876	2	-46,4660357	-23,4471833	3396	0,0589	2,8571	5107	3973	1134
L09877	1	-46,4275886	-23,4316448	1879	0,0532	1,4286	2742	2220	522
L09882	3	-46,4593607	-23,4375830	1457	0,2059	4,2857	2080	1662	418
L09883	1	-46,4272290	-23,4171690	1915	0,0522	1,4286	2861	2256	605
