cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04021	2	-46,5351389	-23,4432944	3985	0,0502	0,7663	6467	4740	1727
L04024	3	-46,4960476	-23,4627418	3286	0,0913	1,1494	4988	3762	1226
L04031	1	-46,5178969	-23,4509497	3853	0,026	0,3831	5561	4379	1182
L04040	3	-46,5310324	-23,4403067	3573	0,084	1,1494	4916	4069	847
L04054	1	-46,5247111	-23,4230992	2455	0,0407	0,3831	3441	2836	605
L04055	1	-46,5326860	-23,4703600	3025	0,0331	0,3831	4827	3500	1327
L04229	1	-46,4252641	-23,4654680	2476	0,0404	0,3831	3655	2957	698
L04233	1	-46,3922099	-23,4750902	2611	0,0383	0,3831	3680	3063	617
L04241	1	-46,4274434	-23,4577532	3932	0,0254	0,3831	5900	4677	1223
L04255	1	-46,4083672	-23,4621695	2456	0,0407	0,3831	3409	2856	553
L06602	4	-46,5492677	-23,4848483	3245	0,1233	1,5326	4911	3881	1030
L06626	1	-46,5107127	-23,4539298	2561	0,039	0,3831	3759	3035	724
L06635	1	-46,4960369	-23,4157394	3530	0,0283	0,3831	4636	3918	718
L06639	2	-46,5101307	-23,4343788	3858	0,0518	0,7663	5535	4504	1031
L06641	1	-46,5044429	-23,4216203	4367	0,0229	0,3831	5813	4898	915
L06649	4	-46,5101326	-23,4531041	2613	0,1531	1,5326	3756	3033	723
L06651	1	-46,5088090	-23,4152797	576	0,1736	0,3831	823	649	174
L07068	6	-46,4183034	-23,4225518	3081	0,1947	2,2989	4413	3669	744
L09790	1	-46,5546942	-23,4528509	2045	0,0489	0,3831	3332	2503	829
L09793	2	-46,5414126	-23,4449188	3241	0,0617	0,7663	4997	3883	1114
L09817	1	-46,5575625	-23,4485828	5138	0,0195	0,3831	7850	5990	1860
L09818	3	-46,4376679	-23,3997821	4108	0,073	1,1494	5884	4783	1101
L09819	30	-46,4161970	-23,4051055	3839	0,7815	11,4943	5798	4451	1347
L09820	3	-46,4061990	-23,4172553	2440	0,123	1,1494	3538	2909	629
L09825	1	-46,3717961	-23,4135789	1881	0,0532	0,3831	2708	2254	454
L09826	1	-46,4060026	-23,3664058	1077	0,0929	0,3831	1500	1245	255
L09827	4	-46,4073298	-23,4187234	1833	0,2182	1,5326	2739	2236	503
L09828	4	-46,4373582	-23,3998282	3439	0,1163	1,5326	5350	4024	1326
L09829	2	-46,4437028	-23,3783486	3911	0,0511	0,7663	5380	4483	897
L09832	3	-46,4514827	-23,4142506	2143	0,14	1,1494	3201	2566	635
L09833	6	-46,4201768	-23,4087523	1155	0,5195	2,2989	1705	1297	408
L09834	3	-46,3974480	-23,4069388	2470	0,1215	1,1494	3555	2944	611
L09835	2	-46,4532657	-23,4044830	3545	0,0564	0,7663	4593	3941	652
L09836	1	-46,3915434	-23,4071587	3522	0,0284	0,3831	5143	4192	951
L09838	63	-46,4171536	-23,4044185	4679	1,3464	24,1379	6569	5371	1198
L09840	56	-46,4166354	-23,4057458	4733	1,1832	21,4559	6925	5514	1411
L09841	11	-46,4332401	-23,4018027	4766	0,2308	4,2146	6620	5535	1085
L09842	2	-46,4337453	-23,4021408	773	0,2587	0,7663	1143	907	236
L09844	2	-46,3942002	-23,3987737	3665	0,0546	0,7663	5306	4363	943
L09845	1	-46,3955820	-23,3987536	3675	0,0272	0,3831	5424	4458	966
L09854	1	-46,4426341	-23,4006395	3069	0,0326	0,3831	4213	3533	680
L09858	1	-46,4627520	-23,4438668	1677	0,0596	0,3831	2339	2000	339
L09860	1	-46,4742651	-23,4493456	3049	0,0328	0,3831	4799	3576	1223
L09861	3	-46,4284199	-23,4439420	4306	0,0697	1,1494	6361	5197	1164
L09862	2	-46,4178706	-23,4230444	2208	0,0906	0,7663	3359	2691	668
L09863	1	-46,4279296	-23,4310787	2270	0,0441	0,3831	3738	2809	929
L09865	1	-46,4668005	-23,4627026	2060	0,0485	0,3831	2947	2330	617
L09867	3	-46,4363562	-23,4335696	4242	0,0707	1,1494	6556	5035	1521
L09868	1	-46,4576614	-23,4558165	4036	0,0248	0,3831	5529	4586	943
L09870	1	-46,4386061	-23,4454914	3923	0,0255	0,3831	5764	4733	1031
L09871	2	-46,4406541	-23,4507951	4323	0,0463	0,7663	6232	5179	1053
L09874	1	-46,4275906	-23,4246425	2619	0,0382	0,3831	3842	3152	690
L09875	3	-46,4340671	-23,4266463	6326	0,0474	1,1494	9025	7471	1554
L09884	1	-46,4415794	-23,4192819	275	0,3636	0,3831	411	320	91
L09885	2	-46,4422840	-23,4184680	2598	0,077	0,7663	3836	3140	696
