cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04026	2	-46,5205382	-23,4200168	3569	0,056	1,5038	5258	4148	1110
L04035	2	-46,5225666	-23,4292113	1027	0,1947	1,5038	1410	1186	224
L04038	1	-46,5218442	-23,4280169	5014	0,0199	0,7519	6975	5763	1212
L04227	1	-46,4014214	-23,4418594	3279	0,0305	0,7519	4547	3765	782
L04233	1	-46,3922099	-23,4750902	2611	0,0383	0,7519	3680	3063	617
L04235	1	-46,4124283	-23,4446100	3679	0,0272	0,7519	5464	4330	1134
L04259	3	-46,4044135	-23,4399264	2280	0,1316	2,2556	3572	2733	839
L06605	1	-46,5423233	-23,4725448	3187	0,0314	0,7519	4654	3758	896
L06609	2	-46,5538251	-23,4593526	1641	0,1219	1,5038	2328	1861	467
L06618	2	-46,5471378	-23,4805844	1166	0,1715	1,5038	1808	1365	443
L09786	3	-46,5393572	-23,4082193	1062	0,2825	2,2556	1446	1187	259
L09793	2	-46,5414126	-23,4449188	3241	0,0617	1,5038	4997	3883	1114
L09795	1	-46,5427459	-23,4505121	3324	0,0301	0,7519	5044	3906	1138
L09796	2	-46,5546684	-23,4228617	2959	0,0676	1,5038	4282	3474	808
L09798	2	-46,5603066	-23,4492343	3120	0,0641	1,5038	5013	3800	1213
L09799	11	-46,5550646	-23,4340925	3062	0,3592	8,2707	4384	3628	756
L09801	8	-46,5362158	-23,4040658	2732	0,2928	6,015	3870	3112	758
L09803	10	-46,5561613	-23,4338322	3793	0,2636	7,5188	5928	4573	1355
L09804	1	-46,5483783	-23,4363400	3017	0,0331	0,7519	4500	3528	972
L09805	3	-46,5559629	-23,4447718	2534	0,1184	2,2556	3838	3014	824
L09806	39	-46,5633619	-23,4319629	3371	1,1569	29,3233	4729	3853	876
L09807	1	-46,5489569	-23,4357724	2320	0,0431	0,7519	3349	2693	656
L09809	19	-46,5629586	-23,4343390	2004	0,9481	14,2857	2912	2323	589
L09814	1	-46,5564460	-23,4500298	738	0,1355	0,7519	1149	910	239
L09817	2	-46,5575625	-23,4485828	5138	0,0389	1,5038	7850	5990	1860
L09825	9	-46,3717961	-23,4135789	1881	0,4785	6,7669	2708	2254	454
L09844	1	-46,3942002	-23,3987737	3665	0,0273	0,7519	5306	4363	943
L09858	2	-46,4627520	-23,4438668	1677	0,1193	1,5038	2339	2000	339
