cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04614	3	-46,7989518	-23,7471167	567	0,5291	3,9474	925	692	233
L04616	10	-46,7952218	-23,7436568	2897	0,3452	13,1579	4217	3325	892
L04621	2	-46,8070765	-23,7455270	1557	0,1285	2,6316	2313	1827	486
L04645	8	-46,7888618	-23,7494159	922	0,8677	10,5263	1440	1092	348
L04646	22	-46,7970743	-23,7468583	2191	1,0041	28,9474	3502	2574	928
L04647	8	-46,8012440	-23,7468614	1840	0,4348	10,5263	2864	2137	727
L04648	1	-46,8506813	-23,7124462	822	0,1217	1,3158	1291	981	310
L04654	2	-46,8068164	-23,7567823	3523	0,0568	2,6316	5198	3971	1227
L04656	1	-46,7983579	-23,7194099	1462	0,0684	1,3158	2044	1553	491
L04658	4	-46,8010443	-23,7472418	1264	0,3165	5,2632	1863	1451	412
L04663	1	-46,8156841	-23,6895390	740	0,1351	1,3158	1030	814	216
L04665	2	-46,7933290	-23,7566620	2102	0,0951	2,6316	3104	2382	722
L04676	3	-46,8405838	-23,7160957	2184	0,1374	3,9474	3665	2516	1149
L04680	7	-46,7983561	-23,7470452	1652	0,4237	9,2105	2517	1889	628
L04682	2	-46,8601763	-23,7043763	3248	0,0616	2,6316	4878	3670	1208
