cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04611	1	-46,8119661	-23,7562942	1099	0,091	2,7778	1508	1244	264
L04617	3	-46,8586658	-23,7213920	1491	0,2012	8,3333	2300	1669	631
L04618	3	-46,8228443	-23,6878288	1421	0,2111	8,3333	2102	1605	497
L04619	2	-46,8578633	-23,7321145	1391	0,1438	5,5556	1908	1525	383
L04627	3	-46,8590442	-23,7237698	1873	0,1602	8,3333	2914	2083	831
L04628	2	-46,8587169	-23,6878961	1914	0,1045	5,5556	2974	2220	754
L04635	2	-46,8550044	-23,7009367	1563	0,128	5,5556	2290	1830	460
L04638	2	-46,8016988	-23,6985698	2915	0,0686	5,5556	4477	3319	1158
L04641	1	-46,7937549	-23,7031238	2181	0,0459	2,7778	3094	2464	630
L04642	1	-46,8834207	-23,6854803	332	0,3012	2,7778	532	423	109
L04644	2	-46,8237570	-23,6897118	2052	0,0975	5,5556	2866	2266	600
L04645	1	-46,7888618	-23,7494159	922	0,1085	2,7778	1440	1092	348
L04650	3	-46,8580070	-23,7075995	2635	0,1139	8,3333	3871	2992	879
L04652	2	-46,8630701	-23,7062145	1311	0,1526	5,5556	2031	1440	591
L04653	1	-46,8671839	-23,7191251	1227	0,0815	2,7778	1693	1333	360
L04654	3	-46,8068164	-23,7567823	3523	0,0852	8,3333	5198	3971	1227
L04664	1	-46,9023861	-23,7481482	1870	0,0535	2,7778	2864	2095	769
L04675	1	-46,8215204	-23,7194938	1206	0,0829	2,7778	1770	1355	415
L04679	2	-46,8014960	-23,6905480	2537	0,0788	5,5556	3974	2881	1093
