cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04610	2	-46,8534028	-23,7091061	1505	0,1329	5,1282	2249	1749	500
L04620	2	-46,8547119	-23,7202893	2486	0,0805	5,1282	3712	2826	886
L04625	2	-46,8508547	-23,7154916	1727	0,1158	5,1282	2859	1931	928
L04627	2	-46,8590442	-23,7237698	1873	0,1068	5,1282	2914	2083	831
L04631	1	-46,8419788	-23,7596202	1574	0,0635	2,5641	2423	1828	595
L04632	3	-46,8525640	-23,6908620	1152	0,2604	7,6923	1852	1343	509
L04634	3	-46,8589031	-23,7071864	719	0,4172	7,6923	1160	822	338
L04635	1	-46,8550044	-23,7009367	1563	0,064	2,5641	2290	1830	460
L04640	2	-46,8503585	-23,7143676	1220	0,1639	5,1282	1949	1419	530
L04641	1	-46,7937549	-23,7031238	2181	0,0459	2,5641	3094	2464	630
L04644	1	-46,8237570	-23,6897118	2052	0,0487	2,5641	2866	2266	600
L04647	1	-46,8012440	-23,7468614	1840	0,0543	2,5641	2864	2137	727
L04649	3	-46,8518124	-23,7150458	2412	0,1244	7,6923	3779	2697	1082
L04650	6	-46,8580070	-23,7075995	2635	0,2277	15,3846	3871	2992	879
L04652	2	-46,8630701	-23,7062145	1311	0,1526	5,1282	2031	1440	591
L04654	1	-46,8068164	-23,7567823	3523	0,0284	2,5641	5198	3971	1227
L04658	1	-46,8010443	-23,7472418	1264	0,0791	2,5641	1863	1451	412
L04675	1	-46,8215204	-23,7194938	1206	0,0829	2,5641	1770	1355	415
L04676	1	-46,8405838	-23,7160957	2184	0,0458	2,5641	3665	2516	1149
L04682	2	-46,8601763	-23,7043763	3248	0,0616	5,1282	4878	3670	1208
L04685	1	-46,8566591	-23,7088301	1313	0,0762	2,5641	1870	1462	408
