cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08584	2	-46,9481392	-23,5543819	2905	0,0688	1,6949	4176	3290	886
L08586	1	-47,0274860	-23,5972420	1453	0,0688	0,8475	2150	1634	516
L08588	2	-46,9298289	-23,5498841	845	0,2367	1,6949	1235	938	297
L08589	5	-46,9197900	-23,5392699	3092	0,1617	4,2373	4305	3347	958
L08590	1	-46,9444800	-23,5416269	1121	0,0892	0,8475	1582	1240	342
L08591	2	-46,9541759	-23,5505539	313	0,639	1,6949	430	347	83
L08593	3	-46,9262107	-23,5314577	1787	0,1679	2,5424	2600	1991	609
L08594	4	-46,9823981	-23,5329721	2816	0,142	3,3898	3953	3072	881
L08597	2	-46,9396490	-23,5622653	1620	0,1235	1,6949	2301	1832	469
L08599	4	-46,9087572	-23,5550031	1747	0,229	3,3898	2683	2061	622
L08606	1	-46,9511780	-23,5455070	2332	0,0429	0,8475	3253	2569	684
L08610	1	-46,9848796	-23,5766993	647	0,1546	0,8475	923	719	204
L08612	3	-46,9500908	-23,5479319	2782	0,1078	2,5424	4028	3022	1006
L08613	3	-46,9815069	-23,5344783	1513	0,1983	2,5424	2428	1671	757
L08614	4	-46,9391330	-23,5373299	3746	0,1068	3,3898	5350	4126	1224
L08615	5	-46,9329281	-23,5464894	3537	0,1414	4,2373	5647	3980	1667
L08616	1	-46,9799031	-23,5409774	2079	0,0481	0,8475	2874	2253	621
L08617	2	-46,9810860	-23,5310110	1626	0,123	1,6949	2451	1818	633
L08619	2	-46,9306599	-23,5633290	2911	0,0687	1,6949	4356	3358	998
L08620	3	-46,9367130	-23,5518639	2261	0,1327	2,5424	3438	2509	929
L08621	4	-46,9391689	-23,5510413	1661	0,2408	3,3898	2393	1800	593
L08622	8	-46,9373180	-23,5561139	4846	0,1651	6,7797	6879	5357	1522
L08623	2	-46,9480212	-23,5549934	3278	0,061	1,6949	4601	3607	994
L08624	5	-46,9272520	-23,5479542	3768	0,1327	4,2373	5426	4266	1160
L08625	4	-46,9394721	-23,5427496	3249	0,1231	3,3898	4787	3584	1203
L08626	3	-46,9696936	-23,5303153	970	0,3093	2,5424	1328	1062	266
L08627	4	-46,9210517	-23,5348427	3588	0,1115	3,3898	5459	3925	1534
L08628	2	-46,9390760	-23,5435309	2557	0,0782	1,6949	3669	2821	848
L08629	3	-46,9496690	-23,5613520	3515	0,0853	2,5424	5110	3900	1210
L08630	4	-46,9629421	-23,5530029	2548	0,157	3,3898	3648	2847	801
L08631	8	-46,9110209	-23,5525458	2997	0,2669	6,7797	4276	3392	884
L08632	5	-46,9216217	-23,5592043	4170	0,1199	4,2373	5819	4699	1120
L08634	5	-46,9407146	-23,5517777	4688	0,1067	4,2373	7185	5227	1958
L08636	2	-46,9222219	-23,5362928	2404	0,0832	1,6949	3429	2626	803
L08637	2	-46,9414960	-23,5551100	2580	0,0775	1,6949	3658	2857	801
L08638	1	-46,9261824	-23,5434109	1663	0,0601	0,8475	2318	1842	476
L08639	4	-46,9558022	-23,5444051	1339	0,2987	3,3898	1812	1516	296
L08640	1	-47,0068932	-23,5436288	798	0,1253	0,8475	1141	896	245
