cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09147	188	-46,3689920	-23,4837560	1936	9,7107	0,9883	3223	2302	921
L09148	33	-46,3681569	-23,4873312	573	5,7592	0,1735	1049	728	321
L09149	58	-46,3608435	-23,4795672	826	7,0218	0,3049	1336	1014	322
L09150	294	-46,3441165	-23,4904792	3087	9,5238	1,5455	5365	3816	1549
L09151	180	-46,3551579	-23,4739100	2044	8,8063	0,9462	3220	2389	831
L09152	228	-46,3701164	-23,4900163	3634	6,2741	1,1985	5842	4435	1407
L09153	171	-46,3413970	-23,4678340	2008	8,5159	0,8989	2928	2373	555
L09154	466	-46,3529210	-23,4819400	4555	10,2305	2,4497	7861	5407	2454
L09155	245	-46,3406160	-23,4952500	2631	9,312	1,2879	4358	3277	1081
L09156	286	-46,3572660	-23,4877550	3833	7,4615	1,5034	6075	4608	1467
L09157	96	-46,3654951	-23,4836833	1118	8,5868	0,5047	1917	1353	564
L09158	244	-46,3445017	-23,4670217	2191	11,1365	1,2827	3817	2591	1226
L09159	333	-46,3700557	-23,4811568	4254	7,8279	1,7505	6742	5005	1737
L09160	58	-46,3777203	-23,4790680	920	6,3043	0,3049	1401	1113	288
L09161	403	-46,3520985	-23,5024552	4943	8,1529	2,1185	8074	5947	2127
L09162	171	-46,3625806	-23,4990150	2970	5,7576	0,8989	4900	3723	1177
L09163	264	-46,3427120	-23,5018550	3110	8,4887	1,3878	5018	3870	1148
L09164	226	-46,3456739	-23,4975290	2358	9,5844	1,188	3752	2803	949
L09165	313	-46,3542090	-23,4789029	2780	11,259	1,6454	4773	3253	1520
L09166	167	-46,3507535	-23,4758169	2450	6,8163	0,8779	4075	3031	1044
L09167	54	-46,3439136	-23,4665189	760	7,1053	0,2839	1097	879	218
L09168	128	-46,3552766	-23,4745989	1489	8,5964	0,6729	2394	1737	657
L09169	87	-46,3380845	-23,4885895	749	11,6155	0,4573	1178	932	246
L09170	129	-46,3660400	-23,4833070	1593	8,0979	0,6781	2756	1889	867
L09171	209	-46,3615561	-23,4903211	2253	9,2765	1,0987	3675	2761	914
L09172	75	-46,3513510	-23,4801915	846	8,8652	0,3943	1446	1050	396
L09173	316	-46,3439125	-23,4968267	3836	8,2377	1,6611	6253	4609	1644
L10675	126	-46,3801550	-23,4611620	3071	4,1029	0,6624	4804	3677	1127
L10676	576	-46,3120587	-23,4303515	2254	25,5546	3,0279	3429	2765	664
L10677	252	-46,3508462	-23,4209756	3765	6,6932	1,3247	5518	4467	1051
L10678	488	-46,3295865	-23,4697518	3072	15,8854	2,5653	4502	3582	920
L10679	98	-46,3482342	-23,4408776	744	13,172	0,5152	1198	903	295
L10680	478	-46,3279668	-23,4628373	2759	17,3251	2,5127	4281	3199	1082
L10681	536	-46,3044635	-23,4389012	4176	12,8352	2,8176	6148	4883	1265
L10682	1527	-46,3171399	-23,4397659	4435	34,4307	8,0271	6728	5087	1641
L10683	420	-46,3538519	-23,4547514	3997	10,5079	2,2079	5993	4638	1355
L10684	230	-46,2892417	-23,4733774	3904	5,8914	1,2091	6224	4652	1572
L10685	262	-46,3796493	-23,4397419	2896	9,047	1,3773	4210	3420	790
L10686	267	-46,3577159	-23,4504049	2422	11,0239	1,4036	3828	2856	972
L10687	163	-46,3462948	-23,4863661	2195	7,426	0,8569	3415	2777	638
L10688	198	-46,3469192	-23,4249880	2529	7,8292	1,0408	3799	3074	725
L10689	1484	-46,3236299	-23,4356769	4443	33,4009	7,8011	6415	5114	1301
L10690	746	-46,3008586	-23,4899756	4410	16,9161	3,9216	7227	5543	1684
L10691	498	-46,3027817	-23,4646476	2225	22,382	2,6179	3533	2639	894
L10692	693	-46,3190940	-23,4664163	3864	17,9348	3,643	5755	4508	1247
L10693	231	-46,2784822	-23,4362237	2248	10,2758	1,2143	3395	2699	696
L10694	377	-46,3341386	-23,4592433	2579	14,6181	1,9818	3943	3097	846
L10695	297	-46,3399135	-23,4521607	2127	13,9633	1,5613	3118	2498	620
L10696	645	-46,3014769	-23,4851122	3534	18,2513	3,3906	5632	4343	1289
L10697	111	-46,3200416	-23,4795391	583	19,0395	0,5835	836	670	166
L10698	76	-46,3115010	-23,4304579	334	22,7545	0,3995	463	403	60
L10699	451	-46,3186768	-23,4365166	1306	34,5329	2,3708	1878	1546	332
L10700	174	-46,3468833	-23,4505081	1639	10,6162	0,9147	2393	1926	467
L10701	226	-46,3036059	-23,4752869	1216	18,5855	1,188	1770	1459	311
L10702	176	-46,3805382	-23,4461469	2437	7,222	0,9252	3972	3079	893
L10703	25	-46,3550997	-23,4505884	314	7,9618	0,1314	461	378	83
L10704	317	-46,3403647	-23,4520104	2539	12,4852	1,6664	3621	2921	700
L10705	175	-46,2924618	-23,4665017	1806	9,6899	0,9199	2993	2184	809
L10706	410	-46,3249779	-23,4704560	2369	17,3069	2,1553	3501	2764	737
L10707	149	-46,3539262	-23,4533863	1315	11,3308	0,7833	1898	1554	344
L10708	650	-46,3281179	-23,4632699	4431	14,6694	3,4169	6872	5234	1638
L10709	40	-46,3257053	-23,4650247	264	15,1515	0,2103	380	313	67
L10710	8	-46,3725917	-23,4604257	251	3,1873	0,0421	363	296	67
L10711	21	-46,3344984	-23,4598227	144	14,5833	0,1104	205	178	27
