cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09147	14	-46,3689920	-23,4837560	2013	0,6955	7,0707	3223	2302	921
L09148	1	-46,3681569	-23,4873312	598	0,1672	0,5051	1049	728	321
L09149	12	-46,3608435	-23,4795672	849	1,4134	6,0606	1336	1014	322
L09150	2	-46,3441165	-23,4904792	3269	0,0612	1,0101	5365	3816	1549
L09151	1	-46,3551579	-23,4739100	2124	0,0471	0,5051	3220	2389	831
L09152	17	-46,3701164	-23,4900163	3791	0,4484	8,5859	5842	4435	1407
L09154	4	-46,3529210	-23,4819400	4747	0,0843	2,0202	7861	5407	2454
L09156	10	-46,3572660	-23,4877550	4030	0,2481	5,0505	6075	4608	1467
L09157	12	-46,3654951	-23,4836833	1179	1,0178	6,0606	1917	1353	564
L09158	1	-46,3445017	-23,4670217	2288	0,0437	0,5051	3817	2591	1226
L09159	65	-46,3700557	-23,4811568	4431	1,4669	32,8283	6742	5005	1737
L09161	2	-46,3520985	-23,5024552	5109	0,0391	1,0101	8074	5947	2127
L09164	1	-46,3456739	-23,4975290	2479	0,0403	0,5051	3752	2803	949
L09165	2	-46,3542090	-23,4789029	2865	0,0698	1,0101	4773	3253	1520
L09167	2	-46,3439136	-23,4665189	779	0,2567	1,0101	1097	879	218
L09168	5	-46,3552766	-23,4745989	1539	0,3249	2,5253	2394	1737	657
L09170	12	-46,3660400	-23,4833070	1666	0,7203	6,0606	2756	1889	867
L09171	2	-46,3615561	-23,4903211	2379	0,0841	1,0101	3675	2761	914
L10675	4	-46,3801550	-23,4611620	3231	0,1238	2,0202	4804	3677	1127
L10676	2	-46,3120587	-23,4303515	2342	0,0854	1,0101	3429	2765	664
L10677	2	-46,3508462	-23,4209756	3927	0,0509	1,0101	5518	4467	1051
L10681	1	-46,3044635	-23,4389012	4315	0,0232	0,5051	6148	4883	1265
L10684	11	-46,2892417	-23,4733774	4047	0,2718	5,5556	6224	4652	1572
L10690	6	-46,3008586	-23,4899756	4649	0,1291	3,0303	7227	5543	1684
L10691	2	-46,3027817	-23,4646476	2303	0,0868	1,0101	3533	2639	894
L10696	1	-46,3014769	-23,4851122	3727	0,0268	0,5051	5632	4343	1289
L10705	3	-46,2924618	-23,4665017	1864	0,1609	1,5152	2993	2184	809
L10706	1	-46,3249779	-23,4704560	2467	0,0405	0,5051	3501	2764	737
