cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09147	2	-46,3689920	-23,4837560	2013	0,0994	0,7968	3223	2302	921
L09149	1	-46,3608435	-23,4795672	849	0,1178	0,3984	1336	1014	322
L09150	3	-46,3441165	-23,4904792	3269	0,0918	1,1952	5365	3816	1549
L09151	3	-46,3551579	-23,4739100	2124	0,1412	1,1952	3220	2389	831
L09152	3	-46,3701164	-23,4900163	3791	0,0791	1,1952	5842	4435	1407
L09153	6	-46,3413970	-23,4678340	2123	0,2826	2,3904	2928	2373	555
L09154	7	-46,3529210	-23,4819400	4747	0,1475	2,7888	7861	5407	2454
L09155	2	-46,3406160	-23,4952500	2772	0,0722	0,7968	4358	3277	1081
L09156	4	-46,3572660	-23,4877550	4030	0,0993	1,5936	6075	4608	1467
L09158	13	-46,3445017	-23,4670217	2288	0,5682	5,1793	3817	2591	1226
L09159	4	-46,3700557	-23,4811568	4431	0,0903	1,5936	6742	5005	1737
L09162	1	-46,3625806	-23,4990150	3099	0,0323	0,3984	4900	3723	1177
L09163	1	-46,3427120	-23,5018550	3336	0,03	0,3984	5018	3870	1148
L09164	2	-46,3456739	-23,4975290	2479	0,0807	0,7968	3752	2803	949
L09165	1	-46,3542090	-23,4789029	2865	0,0349	0,3984	4773	3253	1520
L09167	6	-46,3439136	-23,4665189	779	0,7702	2,3904	1097	879	218
L09168	1	-46,3552766	-23,4745989	1539	0,065	0,3984	2394	1737	657
L09169	2	-46,3380845	-23,4885895	777	0,2574	0,7968	1178	932	246
L09170	3	-46,3660400	-23,4833070	1666	0,1801	1,1952	2756	1889	867
L09171	1	-46,3615561	-23,4903211	2379	0,042	0,3984	3675	2761	914
L09173	1	-46,3439125	-23,4968267	3971	0,0252	0,3984	6253	4609	1644
L10675	19	-46,3801550	-23,4611620	3231	0,5881	7,5697	4804	3677	1127
L10676	5	-46,3120587	-23,4303515	2342	0,2135	1,992	3429	2765	664
L10678	16	-46,3295865	-23,4697518	3232	0,495	6,3745	4502	3582	920
L10679	3	-46,3482342	-23,4408776	775	0,3871	1,1952	1198	903	295
L10680	10	-46,3279668	-23,4628373	2826	0,3539	3,9841	4281	3199	1082
L10682	1	-46,3171399	-23,4397659	4577	0,0218	0,3984	6728	5087	1641
L10683	6	-46,3538519	-23,4547514	4198	0,1429	2,3904	5993	4638	1355
L10684	2	-46,2892417	-23,4733774	4047	0,0494	0,7968	6224	4652	1572
L10685	4	-46,3796493	-23,4397419	3062	0,1306	1,5936	4210	3420	790
L10686	7	-46,3577159	-23,4504049	2554	0,2741	2,7888	3828	2856	972
L10687	8	-46,3462948	-23,4863661	2383	0,3357	3,1873	3415	2777	638
L10688	1	-46,3469192	-23,4249880	2702	0,037	0,3984	3799	3074	725
L10689	10	-46,3236299	-23,4356769	4585	0,2181	3,9841	6415	5114	1301
L10690	1	-46,3008586	-23,4899756	4649	0,0215	0,3984	7227	5543	1684
L10692	2	-46,3190940	-23,4664163	4014	0,0498	0,7968	5755	4508	1247
L10694	20	-46,3341386	-23,4592433	2672	0,7485	7,9681	3943	3097	846
L10695	1	-46,3399135	-23,4521607	2243	0,0446	0,3984	3118	2498	620
L10697	1	-46,3200416	-23,4795391	601	0,1664	0,3984	836	670	166
L10698	3	-46,3115010	-23,4304579	342	0,8772	1,1952	463	403	60
L10699	3	-46,3186768	-23,4365166	1352	0,2219	1,1952	1878	1546	332
L10701	2	-46,3036059	-23,4752869	1250	0,16	0,7968	1770	1459	311
L10702	12	-46,3805382	-23,4461469	2634	0,4556	4,7809	3972	3079	893
L10704	1	-46,3403647	-23,4520104	2615	0,0382	0,3984	3621	2921	700
L10705	4	-46,2924618	-23,4665017	1864	0,2146	1,5936	2993	2184	809
L10706	16	-46,3249779	-23,4704560	2467	0,6486	6,3745	3501	2764	737
L10707	5	-46,3539262	-23,4533863	1347	0,3712	1,992	1898	1554	344
L10708	14	-46,3281179	-23,4632699	4633	0,3022	5,5777	6872	5234	1638
L10709	2	-46,3257053	-23,4650247	278	0,7194	0,7968	380	313	67
L10710	3	-46,3725917	-23,4604257	268	1,1194	1,1952	363	296	67
L10711	2	-46,3344984	-23,4598227	151	1,3245	0,7968	205	178	27
