cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09151	3	-46,3551579	-23,4739100	2124	0,1412	3,75	3220	2389	831
L09152	1	-46,3701164	-23,4900163	3791	0,0264	1,25	5842	4435	1407
L09153	17	-46,3413970	-23,4678340	2123	0,8008	21,25	2928	2373	555
L09154	3	-46,3529210	-23,4819400	4747	0,0632	3,75	7861	5407	2454
L09155	1	-46,3406160	-23,4952500	2772	0,0361	1,25	4358	3277	1081
L09156	1	-46,3572660	-23,4877550	4030	0,0248	1,25	6075	4608	1467
L09158	8	-46,3445017	-23,4670217	2288	0,3497	10,0	3817	2591	1226
L09159	3	-46,3700557	-23,4811568	4431	0,0677	3,75	6742	5005	1737
L09161	3	-46,3520985	-23,5024552	5109	0,0587	3,75	8074	5947	2127
L09162	1	-46,3625806	-23,4990150	3099	0,0323	1,25	4900	3723	1177
L09164	1	-46,3456739	-23,4975290	2479	0,0403	1,25	3752	2803	949
L09165	3	-46,3542090	-23,4789029	2865	0,1047	3,75	4773	3253	1520
L09167	3	-46,3439136	-23,4665189	779	0,3851	3,75	1097	879	218
L09168	3	-46,3552766	-23,4745989	1539	0,1949	3,75	2394	1737	657
L09170	1	-46,3660400	-23,4833070	1666	0,06	1,25	2756	1889	867
L09171	1	-46,3615561	-23,4903211	2379	0,042	1,25	3675	2761	914
L09173	2	-46,3439125	-23,4968267	3971	0,0504	2,5	6253	4609	1644
L10675	4	-46,3801550	-23,4611620	3231	0,1238	5,0	4804	3677	1127
L10678	3	-46,3295865	-23,4697518	3232	0,0928	3,75	4502	3582	920
L10680	1	-46,3279668	-23,4628373	2826	0,0354	1,25	4281	3199	1082
L10683	2	-46,3538519	-23,4547514	4198	0,0476	2,5	5993	4638	1355
L10684	3	-46,2892417	-23,4733774	4047	0,0741	3,75	6224	4652	1572
L10685	2	-46,3796493	-23,4397419	3062	0,0653	2,5	4210	3420	790
L10686	1	-46,3577159	-23,4504049	2554	0,0392	1,25	3828	2856	972
L10692	3	-46,3190940	-23,4664163	4014	0,0747	3,75	5755	4508	1247
L10693	3	-46,2784822	-23,4362237	2409	0,1245	3,75	3395	2699	696
L10696	1	-46,3014769	-23,4851122	3727	0,0268	1,25	5632	4343	1289
L10702	1	-46,3805382	-23,4461469	2634	0,038	1,25	3972	3079	893
L10707	1	-46,3539262	-23,4533863	1347	0,0742	1,25	1898	1554	344
