cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09147	2	-46,3689920	-23,4837560	2013	0,0994	0,8439	3223	2302	921
L09148	1	-46,3681569	-23,4873312	598	0,1672	0,4219	1049	728	321
L09149	1	-46,3608435	-23,4795672	849	0,1178	0,4219	1336	1014	322
L09150	5	-46,3441165	-23,4904792	3269	0,153	2,1097	5365	3816	1549
L09151	1	-46,3551579	-23,4739100	2124	0,0471	0,4219	3220	2389	831
L09152	7	-46,3701164	-23,4900163	3791	0,1846	2,9536	5842	4435	1407
L09153	2	-46,3413970	-23,4678340	2123	0,0942	0,8439	2928	2373	555
L09154	7	-46,3529210	-23,4819400	4747	0,1475	2,9536	7861	5407	2454
L09155	3	-46,3406160	-23,4952500	2772	0,1082	1,2658	4358	3277	1081
L09156	4	-46,3572660	-23,4877550	4030	0,0993	1,6878	6075	4608	1467
L09157	4	-46,3654951	-23,4836833	1179	0,3393	1,6878	1917	1353	564
L09158	5	-46,3445017	-23,4670217	2288	0,2185	2,1097	3817	2591	1226
L09159	10	-46,3700557	-23,4811568	4431	0,2257	4,2194	6742	5005	1737
L09160	2	-46,3777203	-23,4790680	1015	0,197	0,8439	1401	1113	288
L09161	7	-46,3520985	-23,5024552	5109	0,137	2,9536	8074	5947	2127
L09162	4	-46,3625806	-23,4990150	3099	0,1291	1,6878	4900	3723	1177
L09163	5	-46,3427120	-23,5018550	3336	0,1499	2,1097	5018	3870	1148
L09164	5	-46,3456739	-23,4975290	2479	0,2017	2,1097	3752	2803	949
L09165	4	-46,3542090	-23,4789029	2865	0,1396	1,6878	4773	3253	1520
L09166	2	-46,3507535	-23,4758169	2553	0,0783	0,8439	4075	3031	1044
L09168	4	-46,3552766	-23,4745989	1539	0,2599	1,6878	2394	1737	657
L09170	4	-46,3660400	-23,4833070	1666	0,2401	1,6878	2756	1889	867
L09171	4	-46,3615561	-23,4903211	2379	0,1681	1,6878	3675	2761	914
L09172	2	-46,3513510	-23,4801915	876	0,2283	0,8439	1446	1050	396
L09173	4	-46,3439125	-23,4968267	3971	0,1007	1,6878	6253	4609	1644
L10675	3	-46,3801550	-23,4611620	3231	0,0929	1,2658	4804	3677	1127
L10676	4	-46,3120587	-23,4303515	2342	0,1708	1,6878	3429	2765	664
L10677	2	-46,3508462	-23,4209756	3927	0,0509	0,8439	5518	4467	1051
L10678	9	-46,3295865	-23,4697518	3232	0,2785	3,7975	4502	3582	920
L10679	1	-46,3482342	-23,4408776	775	0,129	0,4219	1198	903	295
L10680	9	-46,3279668	-23,4628373	2826	0,3185	3,7975	4281	3199	1082
L10681	7	-46,3044635	-23,4389012	4315	0,1622	2,9536	6148	4883	1265
L10682	5	-46,3171399	-23,4397659	4577	0,1092	2,1097	6728	5087	1641
L10683	2	-46,3538519	-23,4547514	4198	0,0476	0,8439	5993	4638	1355
L10684	7	-46,2892417	-23,4733774	4047	0,173	2,9536	6224	4652	1572
L10685	1	-46,3796493	-23,4397419	3062	0,0327	0,4219	4210	3420	790
L10686	1	-46,3577159	-23,4504049	2554	0,0392	0,4219	3828	2856	972
L10687	2	-46,3462948	-23,4863661	2383	0,0839	0,8439	3415	2777	638
L10688	2	-46,3469192	-23,4249880	2702	0,074	0,8439	3799	3074	725
L10689	8	-46,3236299	-23,4356769	4585	0,1745	3,3755	6415	5114	1301
L10690	14	-46,3008586	-23,4899756	4649	0,3011	5,9072	7227	5543	1684
L10691	6	-46,3027817	-23,4646476	2303	0,2605	2,5316	3533	2639	894
L10692	5	-46,3190940	-23,4664163	4014	0,1246	2,1097	5755	4508	1247
L10693	3	-46,2784822	-23,4362237	2409	0,1245	1,2658	3395	2699	696
L10695	3	-46,3399135	-23,4521607	2243	0,1337	1,2658	3118	2498	620
L10696	4	-46,3014769	-23,4851122	3727	0,1073	1,6878	5632	4343	1289
L10697	1	-46,3200416	-23,4795391	601	0,1664	0,4219	836	670	166
L10700	3	-46,3468833	-23,4505081	1667	0,18	1,2658	2393	1926	467
L10701	3	-46,3036059	-23,4752869	1250	0,24	1,2658	1770	1459	311
L10703	1	-46,3550997	-23,4505884	326	0,3067	0,4219	461	378	83
L10704	3	-46,3403647	-23,4520104	2615	0,1147	1,2658	3621	2921	700
L10705	7	-46,2924618	-23,4665017	1864	0,3755	2,9536	2993	2184	809
L10706	7	-46,3249779	-23,4704560	2467	0,2837	2,9536	3501	2764	737
L10708	13	-46,3281179	-23,4632699	4633	0,2806	5,4852	6872	5234	1638
L10709	1	-46,3257053	-23,4650247	278	0,3597	0,4219	380	313	67
L10710	1	-46,3725917	-23,4604257	268	0,3731	0,4219	363	296	67
