cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09151	1	-46,3551579	-23,4739100	2124	0,0471	2,0408	3220	2389	831
L09152	1	-46,3701164	-23,4900163	3791	0,0264	2,0408	5842	4435	1407
L09158	2	-46,3445017	-23,4670217	2288	0,0874	4,0816	3817	2591	1226
L09159	1	-46,3700557	-23,4811568	4431	0,0226	2,0408	6742	5005	1737
L10679	3	-46,3482342	-23,4408776	775	0,3871	6,1224	1198	903	295
L10680	1	-46,3279668	-23,4628373	2826	0,0354	2,0408	4281	3199	1082
L10683	2	-46,3538519	-23,4547514	4198	0,0476	4,0816	5993	4638	1355
L10686	3	-46,3577159	-23,4504049	2554	0,1175	6,1224	3828	2856	972
L10692	1	-46,3190940	-23,4664163	4014	0,0249	2,0408	5755	4508	1247
L10694	1	-46,3341386	-23,4592433	2672	0,0374	2,0408	3943	3097	846
L10695	9	-46,3399135	-23,4521607	2243	0,4012	18,3673	3118	2498	620
L10696	1	-46,3014769	-23,4851122	3727	0,0268	2,0408	5632	4343	1289
L10700	6	-46,3468833	-23,4505081	1667	0,3599	12,2449	2393	1926	467
L10704	17	-46,3403647	-23,4520104	2615	0,6501	34,6939	3621	2921	700
