cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09147	1	-46,3689920	-23,4837560	2013	0,0497	5,8824	3223	2302	921
L09150	2	-46,3441165	-23,4904792	3269	0,0612	11,7647	5365	3816	1549
L09154	2	-46,3529210	-23,4819400	4747	0,0421	11,7647	7861	5407	2454
L09161	4	-46,3520985	-23,5024552	5109	0,0783	23,5294	8074	5947	2127
L09164	3	-46,3456739	-23,4975290	2479	0,121	17,6471	3752	2803	949
L09165	1	-46,3542090	-23,4789029	2865	0,0349	5,8824	4773	3253	1520
L09170	1	-46,3660400	-23,4833070	1666	0,06	5,8824	2756	1889	867
L09171	1	-46,3615561	-23,4903211	2379	0,042	5,8824	3675	2761	914
L09173	1	-46,3439125	-23,4968267	3971	0,0252	5,8824	6253	4609	1644
L10692	1	-46,3190940	-23,4664163	4014	0,0249	5,8824	5755	4508	1247
