cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09147	32	-46,3689920	-23,4837560	2013	1,5897	2,5786	3223	2302	921
L09148	24	-46,3681569	-23,4873312	598	4,0134	1,9339	1049	728	321
L09149	9	-46,3608435	-23,4795672	849	1,0601	0,7252	1336	1014	322
L09150	18	-46,3441165	-23,4904792	3269	0,5506	1,4504	5365	3816	1549
L09151	7	-46,3551579	-23,4739100	2124	0,3296	0,5641	3220	2389	831
L09152	236	-46,3701164	-23,4900163	3791	6,2253	19,0169	5842	4435	1407
L09153	6	-46,3413970	-23,4678340	2123	0,2826	0,4835	2928	2373	555
L09154	29	-46,3529210	-23,4819400	4747	0,6109	2,3368	7861	5407	2454
L09155	11	-46,3406160	-23,4952500	2772	0,3968	0,8864	4358	3277	1081
L09156	36	-46,3572660	-23,4877550	4030	0,8933	2,9009	6075	4608	1467
L09157	16	-46,3654951	-23,4836833	1179	1,3571	1,2893	1917	1353	564
L09158	7	-46,3445017	-23,4670217	2288	0,3059	0,5641	3817	2591	1226
L09159	62	-46,3700557	-23,4811568	4431	1,3992	4,996	6742	5005	1737
L09161	139	-46,3520985	-23,5024552	5109	2,7207	11,2006	8074	5947	2127
L09162	170	-46,3625806	-23,4990150	3099	5,4856	13,6986	4900	3723	1177
L09163	16	-46,3427120	-23,5018550	3336	0,4796	1,2893	5018	3870	1148
L09164	17	-46,3456739	-23,4975290	2479	0,6858	1,3699	3752	2803	949
L09165	22	-46,3542090	-23,4789029	2865	0,7679	1,7728	4773	3253	1520
L09166	76	-46,3507535	-23,4758169	2553	2,9769	6,1241	4075	3031	1044
L09167	1	-46,3439136	-23,4665189	779	0,1284	0,0806	1097	879	218
L09168	9	-46,3552766	-23,4745989	1539	0,5848	0,7252	2394	1737	657
L09169	4	-46,3380845	-23,4885895	777	0,5148	0,3223	1178	932	246
L09170	23	-46,3660400	-23,4833070	1666	1,3806	1,8533	2756	1889	867
L09171	45	-46,3615561	-23,4903211	2379	1,8916	3,6261	3675	2761	914
L09172	4	-46,3513510	-23,4801915	876	0,4566	0,3223	1446	1050	396
L09173	43	-46,3439125	-23,4968267	3971	1,0829	3,4649	6253	4609	1644
L10677	1	-46,3508462	-23,4209756	3927	0,0255	0,0806	5518	4467	1051
L10678	7	-46,3295865	-23,4697518	3232	0,2166	0,5641	4502	3582	920
L10680	18	-46,3279668	-23,4628373	2826	0,6369	1,4504	4281	3199	1082
L10681	17	-46,3044635	-23,4389012	4315	0,394	1,3699	6148	4883	1265
L10682	3	-46,3171399	-23,4397659	4577	0,0655	0,2417	6728	5087	1641
L10683	4	-46,3538519	-23,4547514	4198	0,0953	0,3223	5993	4638	1355
L10684	7	-46,2892417	-23,4733774	4047	0,173	0,5641	6224	4652	1572
L10686	3	-46,3577159	-23,4504049	2554	0,1175	0,2417	3828	2856	972
L10688	2	-46,3469192	-23,4249880	2702	0,074	0,1612	3799	3074	725
L10689	3	-46,3236299	-23,4356769	4585	0,0654	0,2417	6415	5114	1301
L10690	9	-46,3008586	-23,4899756	4649	0,1936	0,7252	7227	5543	1684
L10691	6	-46,3027817	-23,4646476	2303	0,2605	0,4835	3533	2639	894
L10692	21	-46,3190940	-23,4664163	4014	0,5232	1,6922	5755	4508	1247
L10693	6	-46,2784822	-23,4362237	2409	0,2491	0,4835	3395	2699	696
L10694	7	-46,3341386	-23,4592433	2672	0,262	0,5641	3943	3097	846
L10695	6	-46,3399135	-23,4521607	2243	0,2675	0,4835	3118	2498	620
L10696	6	-46,3014769	-23,4851122	3727	0,161	0,4835	5632	4343	1289
L10697	4	-46,3200416	-23,4795391	601	0,6656	0,3223	836	670	166
L10699	2	-46,3186768	-23,4365166	1352	0,1479	0,1612	1878	1546	332
L10700	3	-46,3468833	-23,4505081	1667	0,18	0,2417	2393	1926	467
L10701	2	-46,3036059	-23,4752869	1250	0,16	0,1612	1770	1459	311
L10703	3	-46,3550997	-23,4505884	326	0,9202	0,2417	461	378	83
L10704	2	-46,3403647	-23,4520104	2615	0,0765	0,1612	3621	2921	700
L10705	8	-46,2924618	-23,4665017	1864	0,4292	0,6446	2993	2184	809
L10706	4	-46,3249779	-23,4704560	2467	0,1621	0,3223	3501	2764	737
L10708	22	-46,3281179	-23,4632699	4633	0,4749	1,7728	6872	5234	1638
L10709	1	-46,3257053	-23,4650247	278	0,3597	0,0806	380	313	67
L10710	1	-46,3725917	-23,4604257	268	0,3731	0,0806	363	296	67
L10711	1	-46,3344984	-23,4598227	151	0,6623	0,0806	205	178	27
