cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09147	14	-46,3689920	-23,4837560	2013	0,6955	1,3579	3223	2302	921
L09148	4	-46,3681569	-23,4873312	598	0,6689	0,388	1049	728	321
L09149	5	-46,3608435	-23,4795672	849	0,5889	0,485	1336	1014	322
L09150	29	-46,3441165	-23,4904792	3269	0,8871	2,8128	5365	3816	1549
L09151	22	-46,3551579	-23,4739100	2124	1,0358	2,1339	3220	2389	831
L09152	40	-46,3701164	-23,4900163	3791	1,0551	3,8797	5842	4435	1407
L09153	13	-46,3413970	-23,4678340	2123	0,6123	1,2609	2928	2373	555
L09154	31	-46,3529210	-23,4819400	4747	0,653	3,0068	7861	5407	2454
L09155	17	-46,3406160	-23,4952500	2772	0,6133	1,6489	4358	3277	1081
L09156	44	-46,3572660	-23,4877550	4030	1,0918	4,2677	6075	4608	1467
L09157	10	-46,3654951	-23,4836833	1179	0,8482	0,9699	1917	1353	564
L09158	11	-46,3445017	-23,4670217	2288	0,4808	1,0669	3817	2591	1226
L09159	34	-46,3700557	-23,4811568	4431	0,7673	3,2978	6742	5005	1737
L09161	145	-46,3520985	-23,5024552	5109	2,8381	14,064	8074	5947	2127
L09162	94	-46,3625806	-23,4990150	3099	3,0332	9,1174	4900	3723	1177
L09163	17	-46,3427120	-23,5018550	3336	0,5096	1,6489	5018	3870	1148
L09164	29	-46,3456739	-23,4975290	2479	1,1698	2,8128	3752	2803	949
L09165	24	-46,3542090	-23,4789029	2865	0,8377	2,3278	4773	3253	1520
L09166	91	-46,3507535	-23,4758169	2553	3,5644	8,8264	4075	3031	1044
L09167	6	-46,3439136	-23,4665189	779	0,7702	0,582	1097	879	218
L09168	17	-46,3552766	-23,4745989	1539	1,1046	1,6489	2394	1737	657
L09169	3	-46,3380845	-23,4885895	777	0,3861	0,291	1178	932	246
L09170	16	-46,3660400	-23,4833070	1666	0,9604	1,5519	2756	1889	867
L09171	22	-46,3615561	-23,4903211	2379	0,9248	2,1339	3675	2761	914
L09172	11	-46,3513510	-23,4801915	876	1,2557	1,0669	1446	1050	396
L09173	42	-46,3439125	-23,4968267	3971	1,0577	4,0737	6253	4609	1644
L10675	3	-46,3801550	-23,4611620	3231	0,0929	0,291	4804	3677	1127
L10676	1	-46,3120587	-23,4303515	2342	0,0427	0,097	3429	2765	664
L10678	11	-46,3295865	-23,4697518	3232	0,3403	1,0669	4502	3582	920
L10680	17	-46,3279668	-23,4628373	2826	0,6016	1,6489	4281	3199	1082
L10681	10	-46,3044635	-23,4389012	4315	0,2317	0,9699	6148	4883	1265
L10682	14	-46,3171399	-23,4397659	4577	0,3059	1,3579	6728	5087	1641
L10683	4	-46,3538519	-23,4547514	4198	0,0953	0,388	5993	4638	1355
L10684	11	-46,2892417	-23,4733774	4047	0,2718	1,0669	6224	4652	1572
L10685	3	-46,3796493	-23,4397419	3062	0,098	0,291	4210	3420	790
L10687	2	-46,3462948	-23,4863661	2383	0,0839	0,194	3415	2777	638
L10688	1	-46,3469192	-23,4249880	2702	0,037	0,097	3799	3074	725
L10689	10	-46,3236299	-23,4356769	4585	0,2181	0,9699	6415	5114	1301
L10690	7	-46,3008586	-23,4899756	4649	0,1506	0,679	7227	5543	1684
L10691	3	-46,3027817	-23,4646476	2303	0,1303	0,291	3533	2639	894
L10692	30	-46,3190940	-23,4664163	4014	0,7474	2,9098	5755	4508	1247
L10693	7	-46,2784822	-23,4362237	2409	0,2906	0,679	3395	2699	696
L10694	17	-46,3341386	-23,4592433	2672	0,6362	1,6489	3943	3097	846
L10695	3	-46,3399135	-23,4521607	2243	0,1337	0,291	3118	2498	620
L10696	10	-46,3014769	-23,4851122	3727	0,2683	0,9699	5632	4343	1289
L10697	3	-46,3200416	-23,4795391	601	0,4992	0,291	836	670	166
L10699	4	-46,3186768	-23,4365166	1352	0,2959	0,388	1878	1546	332
L10700	6	-46,3468833	-23,4505081	1667	0,3599	0,582	2393	1926	467
L10701	1	-46,3036059	-23,4752869	1250	0,08	0,097	1770	1459	311
L10703	2	-46,3550997	-23,4505884	326	0,6135	0,194	461	378	83
L10704	2	-46,3403647	-23,4520104	2615	0,0765	0,194	3621	2921	700
L10705	4	-46,2924618	-23,4665017	1864	0,2146	0,388	2993	2184	809
L10706	11	-46,3249779	-23,4704560	2467	0,4459	1,0669	3501	2764	737
L10707	4	-46,3539262	-23,4533863	1347	0,297	0,388	1898	1554	344
L10708	33	-46,3281179	-23,4632699	4633	0,7123	3,2008	6872	5234	1638
L10709	6	-46,3257053	-23,4650247	278	2,1583	0,582	380	313	67
