cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09147	11	-46,3689920	-23,4837560	2013	0,5464	3,0899	3223	2302	921
L09148	2	-46,3681569	-23,4873312	598	0,3344	0,5618	1049	728	321
L09149	5	-46,3608435	-23,4795672	849	0,5889	1,4045	1336	1014	322
L09150	9	-46,3441165	-23,4904792	3269	0,2753	2,5281	5365	3816	1549
L09151	19	-46,3551579	-23,4739100	2124	0,8945	5,3371	3220	2389	831
L09152	8	-46,3701164	-23,4900163	3791	0,211	2,2472	5842	4435	1407
L09153	1	-46,3413970	-23,4678340	2123	0,0471	0,2809	2928	2373	555
L09154	16	-46,3529210	-23,4819400	4747	0,3371	4,4944	7861	5407	2454
L09155	5	-46,3406160	-23,4952500	2772	0,1804	1,4045	4358	3277	1081
L09156	7	-46,3572660	-23,4877550	4030	0,1737	1,9663	6075	4608	1467
L09157	1	-46,3654951	-23,4836833	1179	0,0848	0,2809	1917	1353	564
L09158	3	-46,3445017	-23,4670217	2288	0,1311	0,8427	3817	2591	1226
L09159	29	-46,3700557	-23,4811568	4431	0,6545	8,1461	6742	5005	1737
L09161	7	-46,3520985	-23,5024552	5109	0,137	1,9663	8074	5947	2127
L09162	18	-46,3625806	-23,4990150	3099	0,5808	5,0562	4900	3723	1177
L09163	5	-46,3427120	-23,5018550	3336	0,1499	1,4045	5018	3870	1148
L09164	11	-46,3456739	-23,4975290	2479	0,4437	3,0899	3752	2803	949
L09165	11	-46,3542090	-23,4789029	2865	0,3839	3,0899	4773	3253	1520
L09166	8	-46,3507535	-23,4758169	2553	0,3134	2,2472	4075	3031	1044
L09167	1	-46,3439136	-23,4665189	779	0,1284	0,2809	1097	879	218
L09168	21	-46,3552766	-23,4745989	1539	1,3645	5,8989	2394	1737	657
L09169	1	-46,3380845	-23,4885895	777	0,1287	0,2809	1178	932	246
L09170	8	-46,3660400	-23,4833070	1666	0,4802	2,2472	2756	1889	867
L09171	1	-46,3615561	-23,4903211	2379	0,042	0,2809	3675	2761	914
L09172	2	-46,3513510	-23,4801915	876	0,2283	0,5618	1446	1050	396
L09173	9	-46,3439125	-23,4968267	3971	0,2266	2,5281	6253	4609	1644
L10675	1	-46,3801550	-23,4611620	3231	0,031	0,2809	4804	3677	1127
L10676	1	-46,3120587	-23,4303515	2342	0,0427	0,2809	3429	2765	664
L10678	2	-46,3295865	-23,4697518	3232	0,0619	0,5618	4502	3582	920
L10679	1	-46,3482342	-23,4408776	775	0,129	0,2809	1198	903	295
L10680	7	-46,3279668	-23,4628373	2826	0,2477	1,9663	4281	3199	1082
L10681	5	-46,3044635	-23,4389012	4315	0,1159	1,4045	6148	4883	1265
L10682	2	-46,3171399	-23,4397659	4577	0,0437	0,5618	6728	5087	1641
L10683	8	-46,3538519	-23,4547514	4198	0,1906	2,2472	5993	4638	1355
L10684	2	-46,2892417	-23,4733774	4047	0,0494	0,5618	6224	4652	1572
L10686	4	-46,3577159	-23,4504049	2554	0,1566	1,1236	3828	2856	972
L10688	2	-46,3469192	-23,4249880	2702	0,074	0,5618	3799	3074	725
L10689	5	-46,3236299	-23,4356769	4585	0,1091	1,4045	6415	5114	1301
L10690	6	-46,3008586	-23,4899756	4649	0,1291	1,6854	7227	5543	1684
L10691	32	-46,3027817	-23,4646476	2303	1,3895	8,9888	3533	2639	894
L10692	6	-46,3190940	-23,4664163	4014	0,1495	1,6854	5755	4508	1247
L10693	6	-46,2784822	-23,4362237	2409	0,2491	1,6854	3395	2699	696
L10694	2	-46,3341386	-23,4592433	2672	0,0749	0,5618	3943	3097	846
L10695	3	-46,3399135	-23,4521607	2243	0,1337	0,8427	3118	2498	620
L10696	3	-46,3014769	-23,4851122	3727	0,0805	0,8427	5632	4343	1289
L10700	5	-46,3468833	-23,4505081	1667	0,2999	1,4045	2393	1926	467
L10701	9	-46,3036059	-23,4752869	1250	0,72	2,5281	1770	1459	311
L10703	2	-46,3550997	-23,4505884	326	0,6135	0,5618	461	378	83
L10704	10	-46,3403647	-23,4520104	2615	0,3824	2,809	3621	2921	700
L10705	8	-46,2924618	-23,4665017	1864	0,4292	2,2472	2993	2184	809
L10707	1	-46,3539262	-23,4533863	1347	0,0742	0,2809	1898	1554	344
L10708	3	-46,3281179	-23,4632699	4633	0,0648	0,8427	6872	5234	1638
L10711	1	-46,3344984	-23,4598227	151	0,6623	0,2809	205	178	27
