cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09147	24	-46,3689920	-23,4837560	2013	1,1923	15,5844	3223	2302	921
L09148	4	-46,3681569	-23,4873312	598	0,6689	2,5974	1049	728	321
L09149	7	-46,3608435	-23,4795672	849	0,8245	4,5455	1336	1014	322
L09151	2	-46,3551579	-23,4739100	2124	0,0942	1,2987	3220	2389	831
L09152	5	-46,3701164	-23,4900163	3791	0,1319	3,2468	5842	4435	1407
L09154	6	-46,3529210	-23,4819400	4747	0,1264	3,8961	7861	5407	2454
L09155	1	-46,3406160	-23,4952500	2772	0,0361	0,6494	4358	3277	1081
L09156	12	-46,3572660	-23,4877550	4030	0,2978	7,7922	6075	4608	1467
L09157	5	-46,3654951	-23,4836833	1179	0,4241	3,2468	1917	1353	564
L09158	4	-46,3445017	-23,4670217	2288	0,1748	2,5974	3817	2591	1226
L09159	26	-46,3700557	-23,4811568	4431	0,5868	16,8831	6742	5005	1737
L09160	1	-46,3777203	-23,4790680	1015	0,0985	0,6494	1401	1113	288
L09161	4	-46,3520985	-23,5024552	5109	0,0783	2,5974	8074	5947	2127
L09164	1	-46,3456739	-23,4975290	2479	0,0403	0,6494	3752	2803	949
L09165	6	-46,3542090	-23,4789029	2865	0,2094	3,8961	4773	3253	1520
L09166	3	-46,3507535	-23,4758169	2553	0,1175	1,9481	4075	3031	1044
L09167	1	-46,3439136	-23,4665189	779	0,1284	0,6494	1097	879	218
L09168	2	-46,3552766	-23,4745989	1539	0,13	1,2987	2394	1737	657
L09170	4	-46,3660400	-23,4833070	1666	0,2401	2,5974	2756	1889	867
L09171	1	-46,3615561	-23,4903211	2379	0,042	0,6494	3675	2761	914
L09172	1	-46,3513510	-23,4801915	876	0,1142	0,6494	1446	1050	396
L09173	2	-46,3439125	-23,4968267	3971	0,0504	1,2987	6253	4609	1644
L10677	1	-46,3508462	-23,4209756	3927	0,0255	0,6494	5518	4467	1051
L10681	3	-46,3044635	-23,4389012	4315	0,0695	1,9481	6148	4883	1265
L10682	1	-46,3171399	-23,4397659	4577	0,0218	0,6494	6728	5087	1641
L10683	9	-46,3538519	-23,4547514	4198	0,2144	5,8442	5993	4638	1355
L10684	5	-46,2892417	-23,4733774	4047	0,1235	3,2468	6224	4652	1572
L10686	1	-46,3577159	-23,4504049	2554	0,0392	0,6494	3828	2856	972
L10688	1	-46,3469192	-23,4249880	2702	0,037	0,6494	3799	3074	725
L10691	2	-46,3027817	-23,4646476	2303	0,0868	1,2987	3533	2639	894
L10692	1	-46,3190940	-23,4664163	4014	0,0249	0,6494	5755	4508	1247
L10694	1	-46,3341386	-23,4592433	2672	0,0374	0,6494	3943	3097	846
L10695	1	-46,3399135	-23,4521607	2243	0,0446	0,6494	3118	2498	620
L10700	1	-46,3468833	-23,4505081	1667	0,06	0,6494	2393	1926	467
L10701	3	-46,3036059	-23,4752869	1250	0,24	1,9481	1770	1459	311
L10704	1	-46,3403647	-23,4520104	2615	0,0382	0,6494	3621	2921	700
L10707	1	-46,3539262	-23,4533863	1347	0,0742	0,6494	1898	1554	344
