cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09147	2	-46,3689920	-23,4837560	2013	0,0994	1,4388	3223	2302	921
L09148	1	-46,3681569	-23,4873312	598	0,1672	0,7194	1049	728	321
L09149	1	-46,3608435	-23,4795672	849	0,1178	0,7194	1336	1014	322
L09150	3	-46,3441165	-23,4904792	3269	0,0918	2,1583	5365	3816	1549
L09151	1	-46,3551579	-23,4739100	2124	0,0471	0,7194	3220	2389	831
L09152	2	-46,3701164	-23,4900163	3791	0,0528	1,4388	5842	4435	1407
L09153	1	-46,3413970	-23,4678340	2123	0,0471	0,7194	2928	2373	555
L09154	2	-46,3529210	-23,4819400	4747	0,0421	1,4388	7861	5407	2454
L09155	1	-46,3406160	-23,4952500	2772	0,0361	0,7194	4358	3277	1081
L09156	2	-46,3572660	-23,4877550	4030	0,0496	1,4388	6075	4608	1467
L09159	3	-46,3700557	-23,4811568	4431	0,0677	2,1583	6742	5005	1737
L09161	5	-46,3520985	-23,5024552	5109	0,0979	3,5971	8074	5947	2127
L09162	4	-46,3625806	-23,4990150	3099	0,1291	2,8777	4900	3723	1177
L09164	1	-46,3456739	-23,4975290	2479	0,0403	0,7194	3752	2803	949
L09165	2	-46,3542090	-23,4789029	2865	0,0698	1,4388	4773	3253	1520
L09166	1	-46,3507535	-23,4758169	2553	0,0392	0,7194	4075	3031	1044
L09167	2	-46,3439136	-23,4665189	779	0,2567	1,4388	1097	879	218
L09168	1	-46,3552766	-23,4745989	1539	0,065	0,7194	2394	1737	657
L09169	1	-46,3380845	-23,4885895	777	0,1287	0,7194	1178	932	246
L09170	2	-46,3660400	-23,4833070	1666	0,12	1,4388	2756	1889	867
L09171	1	-46,3615561	-23,4903211	2379	0,042	0,7194	3675	2761	914
L09172	1	-46,3513510	-23,4801915	876	0,1142	0,7194	1446	1050	396
L09173	3	-46,3439125	-23,4968267	3971	0,0755	2,1583	6253	4609	1644
L10675	60	-46,3801550	-23,4611620	3231	1,857	43,1655	4804	3677	1127
L10676	1	-46,3120587	-23,4303515	2342	0,0427	0,7194	3429	2765	664
L10677	1	-46,3508462	-23,4209756	3927	0,0255	0,7194	5518	4467	1051
L10678	1	-46,3295865	-23,4697518	3232	0,0309	0,7194	4502	3582	920
L10679	1	-46,3482342	-23,4408776	775	0,129	0,7194	1198	903	295
L10680	1	-46,3279668	-23,4628373	2826	0,0354	0,7194	4281	3199	1082
L10684	1	-46,2892417	-23,4733774	4047	0,0247	0,7194	6224	4652	1572
L10685	1	-46,3796493	-23,4397419	3062	0,0327	0,7194	4210	3420	790
L10686	1	-46,3577159	-23,4504049	2554	0,0392	0,7194	3828	2856	972
L10687	2	-46,3462948	-23,4863661	2383	0,0839	1,4388	3415	2777	638
L10689	2	-46,3236299	-23,4356769	4585	0,0436	1,4388	6415	5114	1301
L10690	5	-46,3008586	-23,4899756	4649	0,1076	3,5971	7227	5543	1684
L10694	1	-46,3341386	-23,4592433	2672	0,0374	0,7194	3943	3097	846
L10695	2	-46,3399135	-23,4521607	2243	0,0892	1,4388	3118	2498	620
L10697	1	-46,3200416	-23,4795391	601	0,1664	0,7194	836	670	166
L10700	1	-46,3468833	-23,4505081	1667	0,06	0,7194	2393	1926	467
L10704	2	-46,3403647	-23,4520104	2615	0,0765	1,4388	3621	2921	700
L10706	3	-46,3249779	-23,4704560	2467	0,1216	2,1583	3501	2764	737
L10707	1	-46,3539262	-23,4533863	1347	0,0742	0,7194	1898	1554	344
L10708	3	-46,3281179	-23,4632699	4633	0,0648	2,1583	6872	5234	1638
L10710	5	-46,3725917	-23,4604257	268	1,8657	3,5971	363	296	67
