cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09149	1	-46,3608435	-23,4795672	849	0,1178	1,5152	1336	1014	322
L09150	1	-46,3441165	-23,4904792	3269	0,0306	1,5152	5365	3816	1549
L09152	1	-46,3701164	-23,4900163	3791	0,0264	1,5152	5842	4435	1407
L09154	6	-46,3529210	-23,4819400	4747	0,1264	9,0909	7861	5407	2454
L09156	6	-46,3572660	-23,4877550	4030	0,1489	9,0909	6075	4608	1467
L09157	1	-46,3654951	-23,4836833	1179	0,0848	1,5152	1917	1353	564
L09158	1	-46,3445017	-23,4670217	2288	0,0437	1,5152	3817	2591	1226
L09159	4	-46,3700557	-23,4811568	4431	0,0903	6,0606	6742	5005	1737
L09161	2	-46,3520985	-23,5024552	5109	0,0391	3,0303	8074	5947	2127
L09162	12	-46,3625806	-23,4990150	3099	0,3872	18,1818	4900	3723	1177
L09163	1	-46,3427120	-23,5018550	3336	0,03	1,5152	5018	3870	1148
L09164	6	-46,3456739	-23,4975290	2479	0,242	9,0909	3752	2803	949
L09165	1	-46,3542090	-23,4789029	2865	0,0349	1,5152	4773	3253	1520
L09166	1	-46,3507535	-23,4758169	2553	0,0392	1,5152	4075	3031	1044
L09169	1	-46,3380845	-23,4885895	777	0,1287	1,5152	1178	932	246
L09171	2	-46,3615561	-23,4903211	2379	0,0841	3,0303	3675	2761	914
L09173	3	-46,3439125	-23,4968267	3971	0,0755	4,5455	6253	4609	1644
L10675	1	-46,3801550	-23,4611620	3231	0,031	1,5152	4804	3677	1127
L10678	1	-46,3295865	-23,4697518	3232	0,0309	1,5152	4502	3582	920
L10680	1	-46,3279668	-23,4628373	2826	0,0354	1,5152	4281	3199	1082
L10681	1	-46,3044635	-23,4389012	4315	0,0232	1,5152	6148	4883	1265
L10682	1	-46,3171399	-23,4397659	4577	0,0218	1,5152	6728	5087	1641
L10683	2	-46,3538519	-23,4547514	4198	0,0476	3,0303	5993	4638	1355
L10687	1	-46,3462948	-23,4863661	2383	0,042	1,5152	3415	2777	638
L10688	1	-46,3469192	-23,4249880	2702	0,037	1,5152	3799	3074	725
L10690	2	-46,3008586	-23,4899756	4649	0,043	3,0303	7227	5543	1684
L10691	1	-46,3027817	-23,4646476	2303	0,0434	1,5152	3533	2639	894
L10696	1	-46,3014769	-23,4851122	3727	0,0268	1,5152	5632	4343	1289
L10706	1	-46,3249779	-23,4704560	2467	0,0405	1,5152	3501	2764	737
L10708	2	-46,3281179	-23,4632699	4633	0,0432	3,0303	6872	5234	1638
