cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09148	1	-46,3681569	-23,4873312	598	0,1672	0,8333	1049	728	321
L09150	1	-46,3441165	-23,4904792	3269	0,0306	0,8333	5365	3816	1549
L09151	1	-46,3551579	-23,4739100	2124	0,0471	0,8333	3220	2389	831
L09152	1	-46,3701164	-23,4900163	3791	0,0264	0,8333	5842	4435	1407
L09153	4	-46,3413970	-23,4678340	2123	0,1884	3,3333	2928	2373	555
L09154	1	-46,3529210	-23,4819400	4747	0,0211	0,8333	7861	5407	2454
L09156	1	-46,3572660	-23,4877550	4030	0,0248	0,8333	6075	4608	1467
L09158	1	-46,3445017	-23,4670217	2288	0,0437	0,8333	3817	2591	1226
L09159	3	-46,3700557	-23,4811568	4431	0,0677	2,5	6742	5005	1737
L09161	3	-46,3520985	-23,5024552	5109	0,0587	2,5	8074	5947	2127
L09162	1	-46,3625806	-23,4990150	3099	0,0323	0,8333	4900	3723	1177
L09164	3	-46,3456739	-23,4975290	2479	0,121	2,5	3752	2803	949
L09165	1	-46,3542090	-23,4789029	2865	0,0349	0,8333	4773	3253	1520
L09170	1	-46,3660400	-23,4833070	1666	0,06	0,8333	2756	1889	867
L09173	1	-46,3439125	-23,4968267	3971	0,0252	0,8333	6253	4609	1644
L10675	1	-46,3801550	-23,4611620	3231	0,031	0,8333	4804	3677	1127
L10676	2	-46,3120587	-23,4303515	2342	0,0854	1,6667	3429	2765	664
L10677	2	-46,3508462	-23,4209756	3927	0,0509	1,6667	5518	4467	1051
L10680	3	-46,3279668	-23,4628373	2826	0,1062	2,5	4281	3199	1082
L10681	16	-46,3044635	-23,4389012	4315	0,3708	13,3333	6148	4883	1265
L10682	1	-46,3171399	-23,4397659	4577	0,0218	0,8333	6728	5087	1641
L10683	1	-46,3538519	-23,4547514	4198	0,0238	0,8333	5993	4638	1355
L10684	1	-46,2892417	-23,4733774	4047	0,0247	0,8333	6224	4652	1572
L10686	1	-46,3577159	-23,4504049	2554	0,0392	0,8333	3828	2856	972
L10690	2	-46,3008586	-23,4899756	4649	0,043	1,6667	7227	5543	1684
L10691	1	-46,3027817	-23,4646476	2303	0,0434	0,8333	3533	2639	894
L10693	54	-46,2784822	-23,4362237	2409	2,2416	45,0	3395	2699	696
L10695	3	-46,3399135	-23,4521607	2243	0,1337	2,5	3118	2498	620
L10696	2	-46,3014769	-23,4851122	3727	0,0537	1,6667	5632	4343	1289
L10700	3	-46,3468833	-23,4505081	1667	0,18	2,5	2393	1926	467
L10705	1	-46,2924618	-23,4665017	1864	0,0536	0,8333	2993	2184	809
L10706	1	-46,3249779	-23,4704560	2467	0,0405	0,8333	3501	2764	737
L10707	1	-46,3539262	-23,4533863	1347	0,0742	0,8333	1898	1554	344
