cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07252	1	-46,9182358	-23,5308712	2463	0,0406	5,5556	3613	2785	828
L07253	2	-46,9008564	-23,5498915	2087	0,0958	11,1111	3065	2378	687
L07255	5	-46,9013489	-23,5395346	5157	0,097	27,7778	7716	5711	2005
L07256	2	-46,9104933	-23,5381249	4149	0,0482	11,1111	6219	4569	1650
L07262	1	-46,9002606	-23,5309605	2094	0,0478	5,5556	3286	2420	866
L07266	3	-46,8991339	-23,5389519	2606	0,1151	16,6667	3792	2932	860
L07267	1	-46,8981381	-23,5427233	1472	0,0679	5,5556	2255	1718	537
L07268	1	-46,9090909	-23,5410429	3690	0,0271	5,5556	5609	4149	1460
L07270	1	-46,9116469	-23,5411879	1369	0,073	5,5556	1921	1524	397
L07271	1	-46,9072444	-23,5352024	1432	0,0698	5,5556	2046	1590	456
