cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07251	14	-46,8924548	-23,5452376	1763	0,7941	1,6204	2839	2098	741
L07252	9	-46,9182358	-23,5308712	2463	0,3654	1,0417	3613	2785	828
L07253	24	-46,9008564	-23,5498915	2087	1,15	2,7778	3065	2378	687
L07254	36	-46,9142235	-23,5435396	2896	1,2431	4,1667	4211	3269	942
L07255	230	-46,9013489	-23,5395346	5157	4,46	26,6204	7716	5711	2005
L07256	36	-46,9104933	-23,5381249	4149	0,8677	4,1667	6219	4569	1650
L07257	51	-46,8961948	-23,5432696	2855	1,7863	5,9028	4263	3263	1000
L07258	24	-46,9094320	-23,5335789	2312	1,0381	2,7778	3242	2587	655
L07260	31	-46,9123654	-23,5438510	3962	0,7824	3,588	5759	4435	1324
L07261	67	-46,9057224	-23,5495379	3796	1,765	7,7546	5786	4388	1398
L07262	45	-46,9002606	-23,5309605	2094	2,149	5,2083	3286	2420	866
L07263	66	-46,9013361	-23,5280428	3321	1,9874	7,6389	5604	3857	1747
L07264	24	-46,9039835	-23,5531014	1976	1,2146	2,7778	3486	2448	1038
L07266	96	-46,8991339	-23,5389519	2606	3,6838	11,1111	3792	2932	860
L07267	21	-46,8981381	-23,5427233	1472	1,4266	2,4306	2255	1718	537
L07268	42	-46,9090909	-23,5410429	3690	1,1382	4,8611	5609	4149	1460
L07269	18	-46,9081517	-23,5269073	1171	1,5371	2,0833	1748	1351	397
L07270	10	-46,9116469	-23,5411879	1369	0,7305	1,1574	1921	1524	397
L07271	14	-46,9072444	-23,5352024	1432	0,9777	1,6204	2046	1590	456
L07272	6	-46,9134832	-23,5338709	864	0,6944	0,6944	1162	969	193
