cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07251	11	-46,8924548	-23,5452376	1763	0,6239	1,7742	2839	2098	741
L07252	38	-46,9182358	-23,5308712	2463	1,5428	6,129	3613	2785	828
L07253	20	-46,9008564	-23,5498915	2087	0,9583	3,2258	3065	2378	687
L07254	203	-46,9142235	-23,5435396	2896	7,0097	32,7419	4211	3269	942
L07255	30	-46,9013489	-23,5395346	5157	0,5817	4,8387	7716	5711	2005
L07256	75	-46,9104933	-23,5381249	4149	1,8077	12,0968	6219	4569	1650
L07257	24	-46,8961948	-23,5432696	2855	0,8406	3,871	4263	3263	1000
L07258	10	-46,9094320	-23,5335789	2312	0,4325	1,6129	3242	2587	655
L07259	3	-46,9222639	-23,5217619	1021	0,2938	0,4839	1357	1108	249
L07260	38	-46,9123654	-23,5438510	3962	0,9591	6,129	5759	4435	1324
L07261	20	-46,9057224	-23,5495379	3796	0,5269	3,2258	5786	4388	1398
L07262	8	-46,9002606	-23,5309605	2094	0,382	1,2903	3286	2420	866
L07263	21	-46,9013361	-23,5280428	3321	0,6323	3,3871	5604	3857	1747
L07264	3	-46,9039835	-23,5531014	1976	0,1518	0,4839	3486	2448	1038
L07265	3	-46,8992919	-23,5287410	569	0,5272	0,4839	874	668	206
L07266	10	-46,8991339	-23,5389519	2606	0,3837	1,6129	3792	2932	860
L07267	12	-46,8981381	-23,5427233	1472	0,8152	1,9355	2255	1718	537
L07268	32	-46,9090909	-23,5410429	3690	0,8672	5,1613	5609	4149	1460
L07269	20	-46,9081517	-23,5269073	1171	1,7079	3,2258	1748	1351	397
L07270	30	-46,9116469	-23,5411879	1369	2,1914	4,8387	1921	1524	397
L07271	6	-46,9072444	-23,5352024	1432	0,419	0,9677	2046	1590	456
L07272	3	-46,9134832	-23,5338709	864	0,3472	0,4839	1162	969	193
