cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07251	7	-46,8924548	-23,5452376	1763	0,3971	0,8631	2839	2098	741
L07252	5	-46,9182358	-23,5308712	2463	0,203	0,6165	3613	2785	828
L07253	3	-46,9008564	-23,5498915	2087	0,1437	0,3699	3065	2378	687
L07254	44	-46,9142235	-23,5435396	2896	1,5193	5,4254	4211	3269	942
L07255	44	-46,9013489	-23,5395346	5157	0,8532	5,4254	7716	5711	2005
L07256	123	-46,9104933	-23,5381249	4149	2,9646	15,1665	6219	4569	1650
L07257	3	-46,8961948	-23,5432696	2855	0,1051	0,3699	4263	3263	1000
L07258	9	-46,9094320	-23,5335789	2312	0,3893	1,1097	3242	2587	655
L07259	1	-46,9222639	-23,5217619	1021	0,0979	0,1233	1357	1108	249
L07260	57	-46,9123654	-23,5438510	3962	1,4387	7,0284	5759	4435	1324
L07261	25	-46,9057224	-23,5495379	3796	0,6586	3,0826	5786	4388	1398
L07262	13	-46,9002606	-23,5309605	2094	0,6208	1,603	3286	2420	866
L07263	23	-46,9013361	-23,5280428	3321	0,6926	2,836	5604	3857	1747
L07264	6	-46,9039835	-23,5531014	1976	0,3036	0,7398	3486	2448	1038
L07265	1	-46,8992919	-23,5287410	569	0,1757	0,1233	874	668	206
L07266	17	-46,8991339	-23,5389519	2606	0,6523	2,0962	3792	2932	860
L07267	2	-46,8981381	-23,5427233	1472	0,1359	0,2466	2255	1718	537
L07268	328	-46,9090909	-23,5410429	3690	8,8889	40,4439	5609	4149	1460
L07270	83	-46,9116469	-23,5411879	1369	6,0628	10,2343	1921	1524	397
L07271	13	-46,9072444	-23,5352024	1432	0,9078	1,603	2046	1590	456
L07272	4	-46,9134832	-23,5338709	864	0,463	0,4932	1162	969	193
