cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07255	17	-46,9013489	-23,5395346	5157	0,3296	47,2222	7716	5711	2005
L07256	1	-46,9104933	-23,5381249	4149	0,0241	2,7778	6219	4569	1650
L07257	1	-46,8961948	-23,5432696	2855	0,035	2,7778	4263	3263	1000
L07260	3	-46,9123654	-23,5438510	3962	0,0757	8,3333	5759	4435	1324
L07263	1	-46,9013361	-23,5280428	3321	0,0301	2,7778	5604	3857	1747
L07266	7	-46,8991339	-23,5389519	2606	0,2686	19,4444	3792	2932	860
L07267	1	-46,8981381	-23,5427233	1472	0,0679	2,7778	2255	1718	537
L07268	1	-46,9090909	-23,5410429	3690	0,0271	2,7778	5609	4149	1460
L07269	1	-46,9081517	-23,5269073	1171	0,0854	2,7778	1748	1351	397
L07271	3	-46,9072444	-23,5352024	1432	0,2095	8,3333	2046	1590	456
