cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04623	1	-47,1457094	-23,9855935	1683	0,0594	2,5641	2306	1785	521
L04637	1	-47,0672077	-23,9302514	641	0,156	2,5641	962	682	280
L04651	2	-47,0823554	-23,9173560	1572	0,1272	5,1282	2102	1647	455
L04666	2	-47,0702120	-23,9384280	1014	0,1972	5,1282	1396	1101	295
L04668	2	-47,0718525	-23,9302384	2889	0,0692	5,1282	4023	3041	982
L04669	3	-47,0609325	-23,9398564	1204	0,2492	7,6923	1647	1272	375
L04673	10	-47,0091043	-23,9297344	1098	0,9107	25,641	1482	1167	315
L04677	10	-47,0656011	-23,9240093	2223	0,4498	25,641	3024	2363	661
L04681	3	-47,0390913	-23,9390083	852	0,3521	7,6923	1126	914	212
L04683	1	-47,1213974	-23,8622332	230	0,4348	2,5641	286	240	46
L04684	4	-47,1446593	-23,9863604	1338	0,299	10,2564	1748	1443	305
