cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03938	3	-46,6460688	-23,2889527	990	0,303	2,3622	1456	1138	318
L05335	1	-46,5915298	-23,3244220	1375	0,0727	0,7874	2138	1510	628
L05338	6	-46,5722173	-23,3107831	2214	0,271	4,7244	3250	2472	778
L05339	1	-46,5877846	-23,3266902	1945	0,0514	0,7874	2877	2184	693
L05340	15	-46,5906345	-23,2716104	1357	1,1054	11,811	1974	1534	440
L05343	2	-46,5755852	-23,3382444	893	0,224	1,5748	1263	999	264
L05344	1	-46,5659638	-23,3035285	1694	0,059	0,7874	2643	1920	723
L05345	20	-46,5877068	-23,2631408	2125	0,9412	15,748	3210	2416	794
L05346	4	-46,5888397	-23,3189368	2548	0,157	3,1496	4091	2811	1280
L05347	2	-46,5882908	-23,3141009	2321	0,0862	1,5748	3492	2574	918
L05348	2	-46,5833274	-23,3281805	886	0,2257	1,5748	1282	996	286
L05349	1	-46,5763771	-23,3175491	1580	0,0633	0,7874	2388	1806	582
L05355	2	-46,5921029	-23,3246363	649	0,3082	1,5748	920	723	197
L05356	1	-46,5883950	-23,3197369	1089	0,0918	0,7874	1761	1233	528
L05358	1	-46,5928417	-23,3238783	1922	0,052	0,7874	2852	2125	727
L05359	29	-46,5945168	-23,2608733	1854	1,5642	22,8346	2892	2128	764
L05360	4	-46,6305845	-23,3220305	1015	0,3941	3,1496	1594	1129	465
L05362	2	-46,5887265	-23,2478900	1130	0,177	1,5748	1718	1326	392
L05364	13	-46,5941562	-23,2594900	1405	0,9253	10,2362	2117	1591	526
L05365	17	-46,5886868	-23,2657826	1456	1,1676	13,3858	2140	1620	520
