cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04968	2	-46,4574851	-23,6742405	1172	0,1706	2,8986	1785	1375	410
L04981	1	-46,4553031	-23,6818891	3044	0,0329	1,4493	4587	3431	1156
L04986	1	-46,4564260	-23,6687580	1674	0,0597	1,4493	2847	1925	922
L04987	2	-46,4622729	-23,6841270	4017	0,0498	2,8986	5959	4557	1402
L07951	4	-46,4252907	-23,6774988	3259	0,1227	5,7971	4933	3740	1193
L07964	1	-46,4697191	-23,6605170	3382	0,0296	1,4493	5277	3891	1386
L08739	1	-46,4487777	-23,6615716	2433	0,0411	1,4493	3636	2747	889
L08742	3	-46,4293810	-23,6585478	3704	0,081	4,3478	5609	4226	1383
L08744	3	-46,4127000	-23,6820830	1503	0,1996	4,3478	2157	1743	414
L08745	3	-46,4464627	-23,6570993	3192	0,094	4,3478	4906	3628	1278
L08746	7	-46,4419931	-23,6513988	1965	0,3562	10,1449	2953	2203	750
L08747	6	-46,4383301	-23,6513658	3290	0,1824	8,6957	4917	3803	1114
L08748	1	-46,4427864	-23,6495818	3874	0,0258	1,4493	5442	4319	1123
L08749	1	-46,4315241	-23,6634682	3749	0,0267	1,4493	5699	4313	1386
L08750	2	-46,4150183	-23,6757834	3449	0,058	2,8986	5046	3924	1122
L08753	6	-46,4388584	-23,6504592	3581	0,1676	8,6957	5309	4063	1246
L08754	4	-46,4400344	-23,6584764	3355	0,1192	5,7971	4910	3798	1112
L08757	1	-46,4236609	-23,6705830	4371	0,0229	1,4493	6485	4862	1623
L08759	8	-46,4326520	-23,6478318	4280	0,1869	11,5942	6145	4825	1320
L08761	1	-46,4118947	-23,6823737	1093	0,0915	1,4493	1563	1272	291
L08762	5	-46,4341396	-23,6468528	2901	0,1724	7,2464	4043	3291	752
L08764	5	-46,4383782	-23,6530148	1136	0,4401	7,2464	1574	1266	308
L08766	1	-46,4412049	-23,6515609	1435	0,0697	1,4493	2148	1653	495
