cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04971	2	-46,4583197	-23,6949894	1598	0,1252	12,5	2226	1841	385
L04974	1	-46,4513595	-23,7002391	3208	0,0312	6,25	4809	3672	1137
L04978	1	-46,4730680	-23,6686799	2439	0,041	6,25	3846	2911	935
L04982	1	-46,4658220	-23,6696613	2663	0,0376	6,25	4236	3153	1083
L07944	2	-46,4326657	-23,6791565	2145	0,0932	12,5	3110	2442	668
L07949	2	-46,4337880	-23,6734459	3263	0,0613	12,5	4641	3702	939
L07950	1	-46,4914550	-23,6542635	545	0,1835	6,25	978	686	292
L08739	1	-46,4487777	-23,6615716	2433	0,0411	6,25	3636	2747	889
L08745	4	-46,4464627	-23,6570993	3192	0,1253	25,0	4906	3628	1278
L08754	1	-46,4400344	-23,6584764	3355	0,0298	6,25	4910	3798	1112
