cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04969	13	-46,4600566	-23,6873031	2907	0,4472	16,25	4421	3312	1109
L04970	2	-46,4477655	-23,6812088	3135	0,0638	2,5	4611	3603	1008
L04971	10	-46,4583197	-23,6949894	1598	0,6258	12,5	2226	1841	385
L04974	10	-46,4513595	-23,7002391	3208	0,3117	12,5	4809	3672	1137
L04975	1	-46,4502833	-23,6883457	2765	0,0362	1,25	4313	3150	1163
L04977	1	-46,4629009	-23,6745649	1733	0,0577	1,25	2761	1968	793
L04984	25	-46,4570504	-23,7010895	2788	0,8967	31,25	4166	3228	938
L04987	2	-46,4622729	-23,6841270	4017	0,0498	2,5	5959	4557	1402
L04988	1	-46,4644432	-23,6881220	830	0,1205	1,25	1303	985	318
L04991	4	-46,4614294	-23,6802922	1186	0,3373	5,0	1771	1374	397
L07960	2	-46,4827594	-23,6255567	1824	0,1096	2,5	3614	2417	1197
L07962	3	-46,4778274	-23,6326659	2115	0,1418	3,75	3822	2774	1048
L08742	1	-46,4293810	-23,6585478	3704	0,027	1,25	5609	4226	1383
L08749	2	-46,4315241	-23,6634682	3749	0,0533	2,5	5699	4313	1386
L08754	1	-46,4400344	-23,6584764	3355	0,0298	1,25	4910	3798	1112
L08770	2	-46,4323840	-23,6590010	1010	0,198	2,5	1519	1186	333
