cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04968	3	-46,4574851	-23,6742405	1172	0,256	0,7853	1785	1375	410
L04969	7	-46,4600566	-23,6873031	2907	0,2408	1,8325	4421	3312	1109
L04970	19	-46,4477655	-23,6812088	3135	0,6061	4,9738	4611	3603	1008
L04972	4	-46,4532906	-23,6893084	1981	0,2019	1,0471	2924	2252	672
L04973	11	-46,4522160	-23,6784560	3125	0,352	2,8796	4879	3540	1339
L04974	1	-46,4513595	-23,7002391	3208	0,0312	0,2618	4809	3672	1137
L04975	8	-46,4502833	-23,6883457	2765	0,2893	2,0942	4313	3150	1163
L04976	17	-46,4414222	-23,6847287	2767	0,6144	4,4503	4019	3106	913
L04978	1	-46,4730680	-23,6686799	2439	0,041	0,2618	3846	2911	935
L04979	3	-46,4766607	-23,6697433	3522	0,0852	0,7853	5763	4202	1561
L04980	18	-46,4439840	-23,6895789	4351	0,4137	4,712	6359	4876	1483
L04981	5	-46,4553031	-23,6818891	3044	0,1643	1,3089	4587	3431	1156
L04982	3	-46,4658220	-23,6696613	2663	0,1127	0,7853	4236	3153	1083
L04983	1	-46,4834643	-23,6986859	1064	0,094	0,2618	1575	1203	372
L04984	2	-46,4570504	-23,7010895	2788	0,0717	0,5236	4166	3228	938
L04985	5	-46,4458379	-23,6939070	1354	0,3693	1,3089	1963	1597	366
L04986	4	-46,4564260	-23,6687580	1674	0,2389	1,0471	2847	1925	922
L04987	1	-46,4622729	-23,6841270	4017	0,0249	0,2618	5959	4557	1402
L04992	7	-46,4408824	-23,6848710	1198	0,5843	1,8325	1708	1356	352
L04993	1	-46,4507263	-23,6783287	353	0,2833	0,2618	526	422	104
L04994	3	-46,4601248	-23,6636053	1493	0,2009	0,7853	2314	1731	583
L07944	7	-46,4326657	-23,6791565	2145	0,3263	1,8325	3110	2442	668
L07945	1	-46,4533845	-23,6697133	1354	0,0739	0,2618	1994	1560	434
L07946	1	-46,4543130	-23,6692839	1833	0,0546	0,2618	2689	2076	613
L07947	1	-46,4599652	-23,6619152	2943	0,034	0,2618	4596	3368	1228
L07948	2	-46,4579869	-23,6614480	2978	0,0672	0,5236	4526	3387	1139
L07949	20	-46,4337880	-23,6734459	3263	0,6129	5,2356	4641	3702	939
L07950	1	-46,4914550	-23,6542635	545	0,1835	0,2618	978	686	292
L07951	8	-46,4252907	-23,6774988	3259	0,2455	2,0942	4933	3740	1193
L07952	5	-46,4352982	-23,6685238	2622	0,1907	1,3089	4004	2973	1031
L07954	11	-46,4414359	-23,6672899	3408	0,3228	2,8796	5192	3991	1201
L07955	9	-46,4432080	-23,6780360	2953	0,3048	2,356	4261	3331	930
L07957	2	-46,4532737	-23,6581964	2676	0,0747	0,5236	3925	3006	919
L07958	6	-46,4383159	-23,6849970	2137	0,2808	1,5707	3188	2472	716
L07959	2	-46,4538761	-23,6469908	3554	0,0563	0,5236	5167	4033	1134
L07961	6	-46,4351660	-23,6823810	1958	0,3064	1,5707	2866	2269	597
L07962	1	-46,4778274	-23,6326659	2115	0,0473	0,2618	3822	2774	1048
L07963	5	-46,4385544	-23,6768498	4296	0,1164	1,3089	6823	4971	1852
L07965	4	-46,4572269	-23,6621240	2275	0,1758	1,0471	3516	2638	878
L07966	2	-46,4496405	-23,6701576	3478	0,0575	0,5236	5442	3957	1485
L07968	3	-46,4535810	-23,6509657	2551	0,1176	0,7853	3765	2936	829
L08740	4	-46,4105952	-23,6690312	2542	0,1574	1,0471	3615	2925	690
L08741	8	-46,4243413	-23,6577928	3331	0,2402	2,0942	4825	3739	1086
L08742	13	-46,4293810	-23,6585478	3704	0,351	3,4031	5609	4226	1383
L08743	8	-46,4243428	-23,6578794	3480	0,2299	2,0942	5089	3904	1185
L08744	1	-46,4127000	-23,6820830	1503	0,0665	0,2618	2157	1743	414
L08745	4	-46,4464627	-23,6570993	3192	0,1253	1,0471	4906	3628	1278
L08746	1	-46,4419931	-23,6513988	1965	0,0509	0,2618	2953	2203	750
L08747	3	-46,4383301	-23,6513658	3290	0,0912	0,7853	4917	3803	1114
L08749	28	-46,4315241	-23,6634682	3749	0,7469	7,3298	5699	4313	1386
L08750	4	-46,4150183	-23,6757834	3449	0,116	1,0471	5046	3924	1122
L08751	10	-46,4238909	-23,6647312	3455	0,2894	2,6178	4976	3982	994
L08752	3	-46,4216183	-23,6705553	2219	0,1352	0,7853	3120	2454	666
L08753	3	-46,4388584	-23,6504592	3581	0,0838	0,7853	5309	4063	1246
L08754	3	-46,4400344	-23,6584764	3355	0,0894	0,7853	4910	3798	1112
L08755	14	-46,4342040	-23,6567620	1933	0,7243	3,6649	2767	2208	559
L08757	12	-46,4236609	-23,6705830	4371	0,2745	3,1414	6485	4862	1623
L08758	2	-46,4226828	-23,6720132	3121	0,0641	0,5236	4480	3538	942
L08759	8	-46,4326520	-23,6478318	4280	0,1869	2,0942	6145	4825	1320
L08760	8	-46,4280158	-23,6753764	3464	0,2309	2,0942	5097	4022	1075
L08761	3	-46,4118947	-23,6823737	1093	0,2745	0,7853	1563	1272	291
L08762	3	-46,4341396	-23,6468528	2901	0,1034	0,7853	4043	3291	752
L08765	4	-46,4253633	-23,6581240	1317	0,3037	1,0471	1871	1501	370
L08766	2	-46,4412049	-23,6515609	1435	0,1394	0,5236	2148	1653	495
L08767	3	-46,4190132	-23,6496273	1335	0,2247	0,7853	1853	1517	336
L08768	2	-46,4149832	-23,6657142	1215	0,1646	0,5236	1675	1392	283
L08770	7	-46,4323840	-23,6590010	1010	0,6931	1,8325	1519	1186	333
