cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04967	1	-46,4796674	-23,6979772	53	1,8868	0,0935	72	59	13
L04968	7	-46,4574851	-23,6742405	1172	0,5973	0,6542	1785	1375	410
L04969	11	-46,4600566	-23,6873031	2907	0,3784	1,028	4421	3312	1109
L04970	9	-46,4477655	-23,6812088	3135	0,2871	0,8411	4611	3603	1008
L04971	8	-46,4583197	-23,6949894	1598	0,5006	0,7477	2226	1841	385
L04972	15	-46,4532906	-23,6893084	1981	0,7572	1,4019	2924	2252	672
L04973	8	-46,4522160	-23,6784560	3125	0,256	0,7477	4879	3540	1339
L04974	6	-46,4513595	-23,7002391	3208	0,187	0,5607	4809	3672	1137
L04975	3	-46,4502833	-23,6883457	2765	0,1085	0,2804	4313	3150	1163
L04976	5	-46,4414222	-23,6847287	2767	0,1807	0,4673	4019	3106	913
L04977	10	-46,4629009	-23,6745649	1733	0,577	0,9346	2761	1968	793
L04978	29	-46,4730680	-23,6686799	2439	1,189	2,7103	3846	2911	935
L04979	33	-46,4766607	-23,6697433	3522	0,937	3,0841	5763	4202	1561
L04980	5	-46,4439840	-23,6895789	4351	0,1149	0,4673	6359	4876	1483
L04981	17	-46,4553031	-23,6818891	3044	0,5585	1,5888	4587	3431	1156
L04982	25	-46,4658220	-23,6696613	2663	0,9388	2,3364	4236	3153	1083
L04984	4	-46,4570504	-23,7010895	2788	0,1435	0,3738	4166	3228	938
L04985	1	-46,4458379	-23,6939070	1354	0,0739	0,0935	1963	1597	366
L04986	14	-46,4564260	-23,6687580	1674	0,8363	1,3084	2847	1925	922
L04987	13	-46,4622729	-23,6841270	4017	0,3236	1,215	5959	4557	1402
L04988	4	-46,4644432	-23,6881220	830	0,4819	0,3738	1303	985	318
L04989	3	-46,4532290	-23,6902920	495	0,6061	0,2804	759	593	166
L04990	13	-46,4729787	-23,6695050	1466	0,8868	1,215	2353	1833	520
L04991	6	-46,4614294	-23,6802922	1186	0,5059	0,5607	1771	1374	397
L04992	6	-46,4408824	-23,6848710	1198	0,5008	0,5607	1708	1356	352
L04994	3	-46,4601248	-23,6636053	1493	0,2009	0,2804	2314	1731	583
L07944	3	-46,4326657	-23,6791565	2145	0,1399	0,2804	3110	2442	668
L07945	13	-46,4533845	-23,6697133	1354	0,9601	1,215	1994	1560	434
L07946	6	-46,4543130	-23,6692839	1833	0,3273	0,5607	2689	2076	613
L07947	5	-46,4599652	-23,6619152	2943	0,1699	0,4673	4596	3368	1228
