cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04976	1	-46,4414222	-23,6847287	2767	0,0361	5,0	4019	3106	913
L04982	1	-46,4658220	-23,6696613	2663	0,0376	5,0	4236	3153	1083
L04994	1	-46,4601248	-23,6636053	1493	0,067	5,0	2314	1731	583
L07947	1	-46,4599652	-23,6619152	2943	0,034	5,0	4596	3368	1228
L07950	2	-46,4914550	-23,6542635	545	0,367	10,0	978	686	292
L07953	2	-46,4634102	-23,6563537	2593	0,0771	10,0	3891	2943	948
L07956	1	-46,4649894	-23,6565613	2809	0,0356	5,0	4299	3160	1139
L07959	1	-46,4538761	-23,6469908	3554	0,0281	5,0	5167	4033	1134
L07964	9	-46,4697191	-23,6605170	3382	0,2661	45,0	5277	3891	1386
L07968	1	-46,4535810	-23,6509657	2551	0,0392	5,0	3765	2936	829
