cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04968	5	-46,4574851	-23,6742405	1172	0,4266	1,7606	1785	1375	410
L04969	15	-46,4600566	-23,6873031	2907	0,516	5,2817	4421	3312	1109
L04970	1	-46,4477655	-23,6812088	3135	0,0319	0,3521	4611	3603	1008
L04971	4	-46,4583197	-23,6949894	1598	0,2503	1,4085	2226	1841	385
L04972	5	-46,4532906	-23,6893084	1981	0,2524	1,7606	2924	2252	672
L04973	3	-46,4522160	-23,6784560	3125	0,096	1,0563	4879	3540	1339
L04974	6	-46,4513595	-23,7002391	3208	0,187	2,1127	4809	3672	1137
L04975	1	-46,4502833	-23,6883457	2765	0,0362	0,3521	4313	3150	1163
L04977	54	-46,4629009	-23,6745649	1733	3,116	19,0141	2761	1968	793
L04978	2	-46,4730680	-23,6686799	2439	0,082	0,7042	3846	2911	935
L04979	4	-46,4766607	-23,6697433	3522	0,1136	1,4085	5763	4202	1561
L04981	17	-46,4553031	-23,6818891	3044	0,5585	5,9859	4587	3431	1156
L04982	35	-46,4658220	-23,6696613	2663	1,3143	12,3239	4236	3153	1083
L04983	1	-46,4834643	-23,6986859	1064	0,094	0,3521	1575	1203	372
L04984	7	-46,4570504	-23,7010895	2788	0,2511	2,4648	4166	3228	938
L04986	13	-46,4564260	-23,6687580	1674	0,7766	4,5775	2847	1925	922
L04987	48	-46,4622729	-23,6841270	4017	1,1949	16,9014	5959	4557	1402
L04988	5	-46,4644432	-23,6881220	830	0,6024	1,7606	1303	985	318
L04989	1	-46,4532290	-23,6902920	495	0,202	0,3521	759	593	166
L04990	2	-46,4729787	-23,6695050	1466	0,1364	0,7042	2353	1833	520
L04991	18	-46,4614294	-23,6802922	1186	1,5177	6,338	1771	1374	397
L07944	5	-46,4326657	-23,6791565	2145	0,2331	1,7606	3110	2442	668
L07945	2	-46,4533845	-23,6697133	1354	0,1477	0,7042	1994	1560	434
L07946	4	-46,4543130	-23,6692839	1833	0,2182	1,4085	2689	2076	613
L07947	1	-46,4599652	-23,6619152	2943	0,034	0,3521	4596	3368	1228
L07948	2	-46,4579869	-23,6614480	2978	0,0672	0,7042	4526	3387	1139
L07949	1	-46,4337880	-23,6734459	3263	0,0306	0,3521	4641	3702	939
L07951	1	-46,4252907	-23,6774988	3259	0,0307	0,3521	4933	3740	1193
L07952	1	-46,4352982	-23,6685238	2622	0,0381	0,3521	4004	2973	1031
L07953	2	-46,4634102	-23,6563537	2593	0,0771	0,7042	3891	2943	948
L07956	2	-46,4649894	-23,6565613	2809	0,0712	0,7042	4299	3160	1139
L07957	2	-46,4532737	-23,6581964	2676	0,0747	0,7042	3925	3006	919
L07963	2	-46,4385544	-23,6768498	4296	0,0466	0,7042	6823	4971	1852
L07966	3	-46,4496405	-23,6701576	3478	0,0863	1,0563	5442	3957	1485
L08739	1	-46,4487777	-23,6615716	2433	0,0411	0,3521	3636	2747	889
L08744	1	-46,4127000	-23,6820830	1503	0,0665	0,3521	2157	1743	414
L08745	1	-46,4464627	-23,6570993	3192	0,0313	0,3521	4906	3628	1278
L08749	1	-46,4315241	-23,6634682	3749	0,0267	0,3521	5699	4313	1386
L08751	2	-46,4238909	-23,6647312	3455	0,0579	0,7042	4976	3982	994
L08754	1	-46,4400344	-23,6584764	3355	0,0298	0,3521	4910	3798	1112
L08759	1	-46,4326520	-23,6478318	4280	0,0234	0,3521	6145	4825	1320
L08769	1	-46,4448738	-23,6503312	1551	0,0645	0,3521	2172	1738	434
