cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01985	3	-46,2134957	-23,5315855	1990	0,1508	0,5941	3292	2269	1023
L01986	7	-46,2084156	-23,5413746	4068	0,1721	1,3861	6730	4697	2033
L01989	1	-46,1730191	-23,5248590	2206	0,0453	0,198	3377	2453	924
L01990	3	-46,1842738	-23,5459020	1949	0,1539	0,5941	2975	2270	705
L01991	1	-46,1853207	-23,5234969	1416	0,0706	0,198	2477	1597	880
L01992	6	-46,1856490	-23,5243939	4471	0,1342	1,1881	7537	5090	2447
L01993	8	-46,2029781	-23,5335337	4629	0,1728	1,5842	7844	5307	2537
L01994	1	-46,1713311	-23,5224846	4041	0,0247	0,198	6748	4512	2236
L01995	4	-46,1882219	-23,5368569	3796	0,1054	0,7921	6404	4370	2034
L01996	6	-46,1946730	-23,5488514	2697	0,2225	1,1881	4094	3159	935
L01997	2	-46,1623888	-23,5299538	803	0,2491	0,396	1281	946	335
L01999	5	-46,1737909	-23,5362493	2084	0,2399	0,9901	3560	2428	1132
L02000	2	-46,2026770	-23,5310151	2024	0,0988	0,396	3006	2256	750
L02002	1	-46,1743260	-23,5376110	1032	0,0969	0,198	1525	1170	355
L02004	2	-46,1891169	-23,5370360	1509	0,1325	0,396	2312	1728	584
L02005	2	-46,1802256	-23,5306348	1683	0,1188	0,396	2843	1949	894
L02007	6	-46,1873670	-23,5323390	2582	0,2324	1,1881	4256	2958	1298
L02008	1	-46,2049807	-23,5438808	700	0,1429	0,198	1135	849	286
L02009	3	-46,1982444	-23,5480283	1195	0,251	0,5941	1718	1372	346
L02010	1	-46,1774530	-23,5387770	879	0,1138	0,198	1318	1018	300
L02011	5	-46,1891176	-23,5299042	1307	0,3826	0,9901	2014	1508	506
L06851	33	-46,2193217	-23,5648981	1780	1,8539	6,5347	2974	2110	864
L06852	2	-46,2590979	-23,5471710	2271	0,0881	0,396	3808	2660	1148
L06853	8	-46,2090248	-23,5741504	335	2,3881	1,5842	535	384	151
L06854	7	-46,2171382	-23,5418470	4077	0,1717	1,3861	6327	4832	1495
L06855	2	-46,2439199	-23,5836146	192	1,0417	0,396	372	223	149
L06856	7	-46,2468620	-23,5510270	1583	0,4422	1,3861	2619	1867	752
L06857	2	-46,2371100	-23,5439550	348	0,5747	0,396	582	430	152
L06860	40	-46,2161759	-23,5808935	2369	1,6885	7,9208	3947	2830	1117
L06861	2	-46,1658596	-23,6070673	690	0,2899	0,396	1230	816	414
L06864	10	-46,2134200	-23,5573729	2635	0,3795	1,9802	4226	3074	1152
L06865	1	-46,1807627	-23,5543029	1791	0,0558	0,198	2747	2054	693
L06866	23	-46,2228617	-23,5422120	5518	0,4168	4,5545	9292	6478	2814
L06867	10	-46,2187017	-23,5537725	2573	0,3887	1,9802	4107	3062	1045
L06868	1	-46,1954883	-23,5147961	1973	0,0507	0,198	3249	2222	1027
L06869	2	-46,1869355	-23,6713360	1914	0,1045	0,396	3154	2260	894
L06871	6	-46,2337351	-23,5425270	2627	0,2284	1,1881	4208	3022	1186
L06872	5	-46,2028419	-23,5543180	2831	0,1766	0,9901	4610	3355	1255
L06874	12	-46,2213739	-23,5551863	3122	0,3844	2,3762	4997	3696	1301
L06875	1	-46,2564339	-23,5487501	3077	0,0325	0,198	4993	3577	1416
L06876	4	-46,2284045	-23,5500568	2413	0,1658	0,7921	3861	2862	999
L06877	3	-46,2617930	-23,5488429	2147	0,1397	0,5941	3414	2510	904
L06878	4	-46,2089161	-23,5485101	3853	0,1038	0,7921	6146	4430	1716
L06879	18	-46,2310239	-23,5865399	3259	0,5523	3,5644	5261	3725	1536
L06880	2	-46,2571889	-23,5489202	1887	0,106	0,396	3034	2162	872
L06881	3	-46,1804098	-23,5614630	934	0,3212	0,5941	1288	1047	241
L06882	8	-46,2464158	-23,5470346	3054	0,262	1,5842	4946	3611	1335
L06883	1	-46,2419031	-23,6968684	1018	0,0982	0,198	1620	1193	427
L06886	5	-46,2191360	-23,5572379	464	1,0776	0,9901	751	531	220
L06887	4	-46,1847905	-23,5480892	731	0,5472	0,7921	1112	809	303
L06889	3	-46,1211850	-23,6385560	897	0,3344	0,5941	1374	1020	354
L06890	5	-46,2111657	-23,5541249	1629	0,3069	0,9901	2603	1941	662
L06891	2	-46,2038548	-23,5235974	894	0,2237	0,396	1425	1030	395
L06894	1	-46,2601304	-23,5491810	1765	0,0567	0,198	2672	2071	601
L06898	8	-46,2032729	-23,5544319	2211	0,3618	1,5842	3519	2566	953
L06899	7	-46,2335765	-23,5424164	2463	0,2842	1,3861	3864	2934	930
L06900	2	-46,2338260	-23,5406466	1234	0,1621	0,396	1959	1466	493
L06902	1	-46,2169516	-23,5397601	789	0,1267	0,198	1189	930	259
L06904	2	-46,2175191	-23,5400034	587	0,3407	0,396	992	699	293
L07516	6	-46,2797430	-23,4651790	83	7,2289	1,1881	141	104	37
L07517	19	-46,1367810	-23,4840010	2028	0,9369	3,7624	3198	2432	766
L07518	14	-46,2439280	-23,4273905	63	22,2222	2,7723	128	92	36
L07519	2	-46,1448614	-23,5117891	1314	0,1522	0,396	2347	1560	787
L07522	2	-46,2140414	-23,5041734	801	0,2497	0,396	1271	961	310
L07525	2	-46,1452290	-23,5063779	2145	0,0932	0,396	3507	2549	958
L07531	5	-46,0842351	-23,4805631	1658	0,3016	0,9901	2464	1882	582
L07532	3	-46,1520972	-23,5008683	2148	0,1397	0,5941	3423	2532	891
L07533	31	-46,1315515	-23,4747163	2862	1,0832	6,1386	4600	3347	1253
L07536	2	-46,1569397	-23,5037712	2583	0,0774	0,396	4158	2994	1164
L07537	6	-46,1432076	-23,5153889	2452	0,2447	1,1881	3935	2877	1058
L07538	2	-46,2005239	-23,5092060	1340	0,1493	0,396	2106	1530	576
L07539	2	-46,1814329	-23,4993047	2759	0,0725	0,396	4300	3220	1080
L07541	1	-46,1455968	-23,5213127	1212	0,0825	0,198	1779	1409	370
L07548	5	-46,2077795	-23,5122450	2130	0,2347	0,9901	3451	2472	979
L07551	53	-46,2801260	-23,4647610	1375	3,8545	10,495	2559	1787	772
L07553	16	-46,2810834	-23,4795117	670	2,3881	3,1683	1165	846	319
L07555	1	-46,1545058	-23,5015478	1648	0,0607	0,198	2543	1949	594
L07556	2	-46,1563280	-23,5037399	1596	0,1253	0,396	2570	1854	716
L07557	3	-46,1454960	-23,5129990	2018	0,1487	0,5941	3160	2385	775
L07558	1	-46,2860500	-23,4850010	1196	0,0836	0,198	1824	1437	387
