cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01986	2	-46,2084156	-23,5413746	4068	0,0492	6,8966	6730	4697	2033
L01990	1	-46,1842738	-23,5459020	1949	0,0513	3,4483	2975	2270	705
L01994	4	-46,1713311	-23,5224846	4041	0,099	13,7931	6748	4512	2236
L01995	1	-46,1882219	-23,5368569	3796	0,0263	3,4483	6404	4370	2034
L01996	1	-46,1946730	-23,5488514	2697	0,0371	3,4483	4094	3159	935
L01999	3	-46,1737909	-23,5362493	2084	0,144	10,3448	3560	2428	1132
L02002	1	-46,1743260	-23,5376110	1032	0,0969	3,4483	1525	1170	355
L02007	1	-46,1873670	-23,5323390	2582	0,0387	3,4483	4256	2958	1298
L06871	1	-46,2337351	-23,5425270	2627	0,0381	3,4483	4208	3022	1186
L06872	1	-46,2028419	-23,5543180	2831	0,0353	3,4483	4610	3355	1255
L06873	2	-45,9678399	-23,5322623	1902	0,1052	6,8966	2988	2135	853
L06881	1	-46,1804098	-23,5614630	934	0,1071	3,4483	1288	1047	241
L06892	3	-46,1661447	-23,5417243	1582	0,1896	10,3448	2272	1800	472
L07525	1	-46,1452290	-23,5063779	2145	0,0466	3,4483	3507	2549	958
L07532	1	-46,1520972	-23,5008683	2148	0,0466	3,4483	3423	2532	891
L07537	2	-46,1432076	-23,5153889	2452	0,0816	6,8966	3935	2877	1058
L07539	2	-46,1814329	-23,4993047	2759	0,0725	6,8966	4300	3220	1080
L07541	1	-46,1455968	-23,5213127	1212	0,0825	3,4483	1779	1409	370
