cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01985	1	-46,2134957	-23,5315855	1990	0,0503	0,4098	3292	2269	1023
L01986	10	-46,2084156	-23,5413746	4068	0,2458	4,0984	6730	4697	2033
L01987	1	-46,2017578	-23,5273784	2497	0,04	0,4098	4015	2753	1262
L01989	1	-46,1730191	-23,5248590	2206	0,0453	0,4098	3377	2453	924
L01990	4	-46,1842738	-23,5459020	1949	0,2052	1,6393	2975	2270	705
L01992	3	-46,1856490	-23,5243939	4471	0,0671	1,2295	7537	5090	2447
L01993	2	-46,2029781	-23,5335337	4629	0,0432	0,8197	7844	5307	2537
L01994	2	-46,1713311	-23,5224846	4041	0,0495	0,8197	6748	4512	2236
L01995	2	-46,1882219	-23,5368569	3796	0,0527	0,8197	6404	4370	2034
L01996	4	-46,1946730	-23,5488514	2697	0,1483	1,6393	4094	3159	935
L01999	1	-46,1737909	-23,5362493	2084	0,048	0,4098	3560	2428	1132
L02000	1	-46,2026770	-23,5310151	2024	0,0494	0,4098	3006	2256	750
L02001	1	-46,1925010	-23,5232620	1649	0,0606	0,4098	2625	1857	768
L02004	2	-46,1891169	-23,5370360	1509	0,1325	0,8197	2312	1728	584
L02007	1	-46,1873670	-23,5323390	2582	0,0387	0,4098	4256	2958	1298
L02008	2	-46,2049807	-23,5438808	700	0,2857	0,8197	1135	849	286
L02012	2	-46,1827169	-23,5168343	3637	0,055	0,8197	5905	4058	1847
L06851	8	-46,2193217	-23,5648981	1780	0,4494	3,2787	2974	2110	864
L06852	1	-46,2590979	-23,5471710	2271	0,044	0,4098	3808	2660	1148
L06854	11	-46,2171382	-23,5418470	4077	0,2698	4,5082	6327	4832	1495
L06860	3	-46,2161759	-23,5808935	2369	0,1266	1,2295	3947	2830	1117
L06863	3	-46,1962830	-23,5146710	3148	0,0953	1,2295	5388	3678	1710
L06864	3	-46,2134200	-23,5573729	2635	0,1139	1,2295	4226	3074	1152
L06866	19	-46,2228617	-23,5422120	5518	0,3443	7,7869	9292	6478	2814
L06867	27	-46,2187017	-23,5537725	2573	1,0494	11,0656	4107	3062	1045
L06870	1	-46,2499240	-23,5498220	3749	0,0267	0,4098	6094	4458	1636
L06871	9	-46,2337351	-23,5425270	2627	0,3426	3,6885	4208	3022	1186
L06872	1	-46,2028419	-23,5543180	2831	0,0353	0,4098	4610	3355	1255
L06874	27	-46,2213739	-23,5551863	3122	0,8648	11,0656	4997	3696	1301
L06876	24	-46,2284045	-23,5500568	2413	0,9946	9,8361	3861	2862	999
L06877	1	-46,2617930	-23,5488429	2147	0,0466	0,4098	3414	2510	904
L06878	6	-46,2089161	-23,5485101	3853	0,1557	2,459	6146	4430	1716
L06879	2	-46,2310239	-23,5865399	3259	0,0614	0,8197	5261	3725	1536
L06880	3	-46,2571889	-23,5489202	1887	0,159	1,2295	3034	2162	872
L06882	2	-46,2464158	-23,5470346	3054	0,0655	0,8197	4946	3611	1335
L06883	1	-46,2419031	-23,6968684	1018	0,0982	0,4098	1620	1193	427
L06885	1	-46,2089100	-23,5618400	274	0,365	0,4098	399	316	83
L06888	1	-46,2086807	-23,5523170	98	1,0204	0,4098	139	116	23
L06890	2	-46,2111657	-23,5541249	1629	0,1228	0,8197	2603	1941	662
L06892	1	-46,1661447	-23,5417243	1582	0,0632	0,4098	2272	1800	472
L06894	2	-46,2601304	-23,5491810	1765	0,1133	0,8197	2672	2071	601
L06898	2	-46,2032729	-23,5544319	2211	0,0905	0,8197	3519	2566	953
L06899	8	-46,2335765	-23,5424164	2463	0,3248	3,2787	3864	2934	930
L06902	5	-46,2169516	-23,5397601	789	0,6337	2,0492	1189	930	259
L06904	2	-46,2175191	-23,5400034	587	0,3407	0,8197	992	699	293
L06905	1	-46,1873394	-23,5143147	1029	0,0972	0,4098	1582	1201	381
L07517	4	-46,1367810	-23,4840010	2028	0,1972	1,6393	3198	2432	766
L07522	3	-46,2140414	-23,5041734	801	0,3745	1,2295	1271	961	310
L07525	3	-46,1452290	-23,5063779	2145	0,1399	1,2295	3507	2549	958
L07533	1	-46,1315515	-23,4747163	2862	0,0349	0,4098	4600	3347	1253
L07534	1	-46,1777964	-23,3817270	726	0,1377	0,4098	1175	843	332
L07536	2	-46,1569397	-23,5037712	2583	0,0774	0,8197	4158	2994	1164
L07537	1	-46,1432076	-23,5153889	2452	0,0408	0,4098	3935	2877	1058
L07538	2	-46,2005239	-23,5092060	1340	0,1493	0,8197	2106	1530	576
L07539	1	-46,1814329	-23,4993047	2759	0,0362	0,4098	4300	3220	1080
L07541	1	-46,1455968	-23,5213127	1212	0,0825	0,4098	1779	1409	370
L07551	1	-46,2801260	-23,4647610	1375	0,0727	0,4098	2559	1787	772
L07554	1	-46,1830720	-23,4967629	2136	0,0468	0,4098	3370	2490	880
L07556	4	-46,1563280	-23,5037399	1596	0,2506	1,6393	2570	1854	716
L07557	1	-46,1454960	-23,5129990	2018	0,0496	0,4098	3160	2385	775
L07559	1	-46,2073980	-23,4144040	727	0,1376	0,4098	1362	901	461
