cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01985	6	-46,2134957	-23,5315855	1990	0,3015	0,8427	3292	2269	1023
L01986	19	-46,2084156	-23,5413746	4068	0,4671	2,6685	6730	4697	2033
L01987	14	-46,2017578	-23,5273784	2497	0,5607	1,9663	4015	2753	1262
L01989	12	-46,1730191	-23,5248590	2206	0,544	1,6854	3377	2453	924
L01990	4	-46,1842738	-23,5459020	1949	0,2052	0,5618	2975	2270	705
L01991	13	-46,1853207	-23,5234969	1416	0,9181	1,8258	2477	1597	880
L01992	16	-46,1856490	-23,5243939	4471	0,3579	2,2472	7537	5090	2447
L01993	22	-46,2029781	-23,5335337	4629	0,4753	3,0899	7844	5307	2537
L01994	40	-46,1713311	-23,5224846	4041	0,9899	5,618	6748	4512	2236
L01995	15	-46,1882219	-23,5368569	3796	0,3952	2,1067	6404	4370	2034
L01996	17	-46,1946730	-23,5488514	2697	0,6303	2,3876	4094	3159	935
L01997	3	-46,1623888	-23,5299538	803	0,3736	0,4213	1281	946	335
L01998	2	-46,1825519	-23,5401787	2892	0,0692	0,2809	4713	3335	1378
L01999	2	-46,1737909	-23,5362493	2084	0,096	0,2809	3560	2428	1132
L02000	8	-46,2026770	-23,5310151	2024	0,3953	1,1236	3006	2256	750
L02001	6	-46,1925010	-23,5232620	1649	0,3639	0,8427	2625	1857	768
L02002	1	-46,1743260	-23,5376110	1032	0,0969	0,1404	1525	1170	355
L02003	4	-46,1984723	-23,5450909	296	1,3514	0,5618	425	344	81
L02004	5	-46,1891169	-23,5370360	1509	0,3313	0,7022	2312	1728	584
L02005	7	-46,1802256	-23,5306348	1683	0,4159	0,9831	2843	1949	894
L02006	6	-46,1939701	-23,5388714	919	0,6529	0,8427	1412	1075	337
L02007	9	-46,1873670	-23,5323390	2582	0,3486	1,264	4256	2958	1298
L02008	1	-46,2049807	-23,5438808	700	0,1429	0,1404	1135	849	286
L02009	4	-46,1982444	-23,5480283	1195	0,3347	0,5618	1718	1372	346
L02010	1	-46,1774530	-23,5387770	879	0,1138	0,1404	1318	1018	300
L02011	8	-46,1891176	-23,5299042	1307	0,6121	1,1236	2014	1508	506
L02012	67	-46,1827169	-23,5168343	3637	1,8422	9,4101	5905	4058	1847
L06851	2	-46,2193217	-23,5648981	1780	0,1124	0,2809	2974	2110	864
L06852	1	-46,2590979	-23,5471710	2271	0,044	0,1404	3808	2660	1148
L06854	24	-46,2171382	-23,5418470	4077	0,5887	3,3708	6327	4832	1495
L06856	1	-46,2468620	-23,5510270	1583	0,0632	0,1404	2619	1867	752
L06859	3	-46,1852660	-23,6730330	1893	0,1585	0,4213	2959	2155	804
L06860	4	-46,2161759	-23,5808935	2369	0,1688	0,5618	3947	2830	1117
L06862	8	-46,2005205	-23,5218948	2724	0,2937	1,1236	4340	3099	1241
L06863	29	-46,1962830	-23,5146710	3148	0,9212	4,073	5388	3678	1710
L06864	7	-46,2134200	-23,5573729	2635	0,2657	0,9831	4226	3074	1152
L06865	5	-46,1807627	-23,5543029	1791	0,2792	0,7022	2747	2054	693
L06866	8	-46,2228617	-23,5422120	5518	0,145	1,1236	9292	6478	2814
L06867	7	-46,2187017	-23,5537725	2573	0,2721	0,9831	4107	3062	1045
L06868	7	-46,1954883	-23,5147961	1973	0,3548	0,9831	3249	2222	1027
L06869	7	-46,1869355	-23,6713360	1914	0,3657	0,9831	3154	2260	894
L06871	5	-46,2337351	-23,5425270	2627	0,1903	0,7022	4208	3022	1186
L06872	16	-46,2028419	-23,5543180	2831	0,5652	2,2472	4610	3355	1255
L06874	7	-46,2213739	-23,5551863	3122	0,2242	0,9831	4997	3696	1301
L06875	1	-46,2564339	-23,5487501	3077	0,0325	0,1404	4993	3577	1416
L06876	6	-46,2284045	-23,5500568	2413	0,2487	0,8427	3861	2862	999
L06877	1	-46,2617930	-23,5488429	2147	0,0466	0,1404	3414	2510	904
L06878	36	-46,2089161	-23,5485101	3853	0,9343	5,0562	6146	4430	1716
L06879	4	-46,2310239	-23,5865399	3259	0,1227	0,5618	5261	3725	1536
L06880	2	-46,2571889	-23,5489202	1887	0,106	0,2809	3034	2162	872
