cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01985	4	-46,2134957	-23,5315855	1990	0,201	0,7561	3292	2269	1023
L01986	13	-46,2084156	-23,5413746	4068	0,3196	2,4575	6730	4697	2033
L01987	14	-46,2017578	-23,5273784	2497	0,5607	2,6465	4015	2753	1262
L01988	3	-46,2051594	-23,5272318	234	1,2821	0,5671	350	274	76
L01989	13	-46,1730191	-23,5248590	2206	0,5893	2,4575	3377	2453	924
L01990	6	-46,1842738	-23,5459020	1949	0,3079	1,1342	2975	2270	705
L01991	4	-46,1853207	-23,5234969	1416	0,2825	0,7561	2477	1597	880
L01992	15	-46,1856490	-23,5243939	4471	0,3355	2,8355	7537	5090	2447
L01993	32	-46,2029781	-23,5335337	4629	0,6913	6,0491	7844	5307	2537
L01994	28	-46,1713311	-23,5224846	4041	0,6929	5,293	6748	4512	2236
L01995	10	-46,1882219	-23,5368569	3796	0,2634	1,8904	6404	4370	2034
L01996	5	-46,1946730	-23,5488514	2697	0,1854	0,9452	4094	3159	935
L01998	7	-46,1825519	-23,5401787	2892	0,242	1,3233	4713	3335	1378
L01999	4	-46,1737909	-23,5362493	2084	0,1919	0,7561	3560	2428	1132
L02000	8	-46,2026770	-23,5310151	2024	0,3953	1,5123	3006	2256	750
L02001	1	-46,1925010	-23,5232620	1649	0,0606	0,189	2625	1857	768
L02002	2	-46,1743260	-23,5376110	1032	0,1938	0,3781	1525	1170	355
L02003	1	-46,1984723	-23,5450909	296	0,3378	0,189	425	344	81
L02004	2	-46,1891169	-23,5370360	1509	0,1325	0,3781	2312	1728	584
L02005	4	-46,1802256	-23,5306348	1683	0,2377	0,7561	2843	1949	894
L02006	1	-46,1939701	-23,5388714	919	0,1088	0,189	1412	1075	337
L02007	14	-46,1873670	-23,5323390	2582	0,5422	2,6465	4256	2958	1298
L02008	4	-46,2049807	-23,5438808	700	0,5714	0,7561	1135	849	286
L02010	2	-46,1774530	-23,5387770	879	0,2275	0,3781	1318	1018	300
L02011	5	-46,1891176	-23,5299042	1307	0,3826	0,9452	2014	1508	506
L02012	36	-46,1827169	-23,5168343	3637	0,9898	6,8053	5905	4058	1847
L06851	2	-46,2193217	-23,5648981	1780	0,1124	0,3781	2974	2110	864
L06852	2	-46,2590979	-23,5471710	2271	0,0881	0,3781	3808	2660	1148
L06854	7	-46,2171382	-23,5418470	4077	0,1717	1,3233	6327	4832	1495
L06856	2	-46,2468620	-23,5510270	1583	0,1263	0,3781	2619	1867	752
L06858	3	-46,2411604	-23,6493249	976	0,3074	0,5671	1636	1156	480
L06859	1	-46,1852660	-23,6730330	1893	0,0528	0,189	2959	2155	804
L06860	2	-46,2161759	-23,5808935	2369	0,0844	0,3781	3947	2830	1117
L06862	30	-46,2005205	-23,5218948	2724	1,1013	5,6711	4340	3099	1241
L06863	13	-46,1962830	-23,5146710	3148	0,413	2,4575	5388	3678	1710
L06864	7	-46,2134200	-23,5573729	2635	0,2657	1,3233	4226	3074	1152
L06866	13	-46,2228617	-23,5422120	5518	0,2356	2,4575	9292	6478	2814
L06867	7	-46,2187017	-23,5537725	2573	0,2721	1,3233	4107	3062	1045
L06868	9	-46,1954883	-23,5147961	1973	0,4562	1,7013	3249	2222	1027
L06869	2	-46,1869355	-23,6713360	1914	0,1045	0,3781	3154	2260	894
L06870	3	-46,2499240	-23,5498220	3749	0,08	0,5671	6094	4458	1636
L06871	6	-46,2337351	-23,5425270	2627	0,2284	1,1342	4208	3022	1186
