cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01985	4	-46,2134957	-23,5315855	1990	0,201	1,4184	3292	2269	1023
L01986	11	-46,2084156	-23,5413746	4068	0,2704	3,9007	6730	4697	2033
L01987	2	-46,2017578	-23,5273784	2497	0,0801	0,7092	4015	2753	1262
L01989	2	-46,1730191	-23,5248590	2206	0,0907	0,7092	3377	2453	924
L01990	2	-46,1842738	-23,5459020	1949	0,1026	0,7092	2975	2270	705
L01991	2	-46,1853207	-23,5234969	1416	0,1412	0,7092	2477	1597	880
L01992	5	-46,1856490	-23,5243939	4471	0,1118	1,773	7537	5090	2447
L01993	15	-46,2029781	-23,5335337	4629	0,324	5,3191	7844	5307	2537
L01994	3	-46,1713311	-23,5224846	4041	0,0742	1,0638	6748	4512	2236
L01995	1	-46,1882219	-23,5368569	3796	0,0263	0,3546	6404	4370	2034
L01996	7	-46,1946730	-23,5488514	2697	0,2595	2,4823	4094	3159	935
L01997	2	-46,1623888	-23,5299538	803	0,2491	0,7092	1281	946	335
L01998	5	-46,1825519	-23,5401787	2892	0,1729	1,773	4713	3335	1378
L02000	3	-46,2026770	-23,5310151	2024	0,1482	1,0638	3006	2256	750
L02001	9	-46,1925010	-23,5232620	1649	0,5458	3,1915	2625	1857	768
L02002	2	-46,1743260	-23,5376110	1032	0,1938	0,7092	1525	1170	355
L02003	1	-46,1984723	-23,5450909	296	0,3378	0,3546	425	344	81
L02004	2	-46,1891169	-23,5370360	1509	0,1325	0,7092	2312	1728	584
L02006	1	-46,1939701	-23,5388714	919	0,1088	0,3546	1412	1075	337
L02007	4	-46,1873670	-23,5323390	2582	0,1549	1,4184	4256	2958	1298
L02009	4	-46,1982444	-23,5480283	1195	0,3347	1,4184	1718	1372	346
L02010	3	-46,1774530	-23,5387770	879	0,3413	1,0638	1318	1018	300
L02011	3	-46,1891176	-23,5299042	1307	0,2295	1,0638	2014	1508	506
L02012	12	-46,1827169	-23,5168343	3637	0,3299	4,2553	5905	4058	1847
L06851	3	-46,2193217	-23,5648981	1780	0,1685	1,0638	2974	2110	864
L06852	2	-46,2590979	-23,5471710	2271	0,0881	0,7092	3808	2660	1148
L06853	1	-46,2090248	-23,5741504	335	0,2985	0,3546	535	384	151
L06854	8	-46,2171382	-23,5418470	4077	0,1962	2,8369	6327	4832	1495
L06859	1	-46,1852660	-23,6730330	1893	0,0528	0,3546	2959	2155	804
L06862	44	-46,2005205	-23,5218948	2724	1,6153	15,6028	4340	3099	1241
L06863	7	-46,1962830	-23,5146710	3148	0,2224	2,4823	5388	3678	1710
L06864	4	-46,2134200	-23,5573729	2635	0,1518	1,4184	4226	3074	1152
L06865	1	-46,1807627	-23,5543029	1791	0,0558	0,3546	2747	2054	693
L06866	2	-46,2228617	-23,5422120	5518	0,0362	0,7092	9292	6478	2814
L06867	4	-46,2187017	-23,5537725	2573	0,1555	1,4184	4107	3062	1045
L06868	10	-46,1954883	-23,5147961	1973	0,5068	3,5461	3249	2222	1027
L06869	4	-46,1869355	-23,6713360	1914	0,209	1,4184	3154	2260	894
L06870	1	-46,2499240	-23,5498220	3749	0,0267	0,3546	6094	4458	1636
L06871	1	-46,2337351	-23,5425270	2627	0,0381	0,3546	4208	3022	1186
L06874	4	-46,2213739	-23,5551863	3122	0,1281	1,4184	4997	3696	1301
