cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	1	-46,7892932	-23,5625432	2469	0,0405	0,4065	3980	2980	1000
L04882	5	-46,7622355	-23,5407896	6968	0,0718	2,0325	12245	8193	4052
L04892	1	-46,7859235	-23,5409986	2804	0,0357	0,4065	4642	3272	1370
L06553	4	-46,7539385	-23,5200652	2994	0,1336	1,626	5085	3706	1379
L06554	12	-46,7658296	-23,5088622	2748	0,4367	4,878	4561	3301	1260
L06555	1	-46,7658329	-23,5121198	1569	0,0637	0,4065	2667	1924	743
L06556	18	-46,7704264	-23,4988969	4393	0,4097	7,3171	7141	5178	1963
L06558	20	-46,7642982	-23,5079997	4194	0,4769	8,1301	7137	5022	2115
L06561	9	-46,7669489	-23,4991193	2073	0,4342	3,6585	3361	2508	853
L06562	3	-46,7576204	-23,5177314	3456	0,0868	1,2195	5988	4164	1824
L06563	15	-46,7693024	-23,5083289	4136	0,3627	6,0976	6724	4877	1847
L06564	1	-46,7839760	-23,5153403	3428	0,0292	0,4065	5256	3981	1275
L06565	126	-46,7626679	-23,5013616	3815	3,3028	51,2195	5982	4520	1462
L06566	1	-46,7796161	-23,5152503	4300	0,0233	0,4065	6748	4939	1809
L06567	1	-46,7760817	-23,4874637	762	0,1312	0,4065	1142	879	263
L06568	1	-46,7675537	-23,5157132	3118	0,0321	0,4065	5134	3660	1474
L06569	3	-46,7678202	-23,5030127	146	2,0548	1,2195	214	163	51
L06570	3	-46,7680894	-23,4974164	1584	0,1894	1,2195	2619	1951	668
L06576	1	-46,7930553	-23,5359633	2635	0,038	0,4065	4766	3064	1702
L06577	1	-46,7928300	-23,5455236	3855	0,0259	0,4065	6576	4519	2057
L06578	1	-46,8050626	-23,5249271	2586	0,0387	0,4065	4649	3140	1509
L07441	1	-46,8025359	-23,5663449	4033	0,0248	0,4065	6892	4856	2036
L07443	1	-46,7940196	-23,5554093	2652	0,0377	0,4065	4449	3212	1237
L07456	1	-46,8142480	-23,5849302	2689	0,0372	0,4065	4238	3197	1041
L07834	3	-46,7878300	-23,5101801	4845	0,0619	1,2195	7468	5673	1795
L07838	2	-46,7862870	-23,4967528	4339	0,0461	0,813	7137	5077	2060
L07843	3	-46,7876769	-23,5006730	3674	0,0817	1,2195	6325	4386	1939
L07846	2	-46,7905729	-23,5134541	3873	0,0516	0,813	6091	4508	1583
L07850	1	-46,7904382	-23,4990201	3604	0,0277	0,4065	5697	4305	1392
L07853	1	-46,8028593	-23,5003978	2574	0,0389	0,4065	3878	2968	910
L07856	1	-46,7854306	-23,4977596	1632	0,0613	0,4065	2436	1898	538
L07868	1	-46,7775150	-23,5690329	3517	0,0284	0,4065	5943	4105	1838
L07871	1	-46,7765432	-23,5589265	3239	0,0309	0,4065	5118	3778	1340
