cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	2	-46,7892932	-23,5625432	2469	0,081	1,8868	3980	2980	1000
L04886	2	-46,7895335	-23,5468438	2582	0,0775	1,8868	4289	2958	1331
L04889	1	-46,7839709	-23,5497050	3504	0,0285	0,9434	5847	4096	1751
L04893	1	-46,7881419	-23,5569339	2713	0,0369	0,9434	4514	3206	1308
L04894	1	-46,7828380	-23,5422279	677	0,1477	0,9434	1169	764	405
L06554	1	-46,7658296	-23,5088622	2748	0,0364	0,9434	4561	3301	1260
L06571	1	-46,8093049	-23,5413420	1024	0,0977	0,9434	1622	1240	382
L06572	12	-46,8111106	-23,5339293	2376	0,5051	11,3208	3877	2809	1068
L06573	1	-46,8012880	-23,5434880	3573	0,028	0,9434	6134	4184	1950
L06574	3	-46,7947410	-23,5279590	3306	0,0907	2,8302	5696	4003	1693
L06575	19	-46,8072777	-23,5372033	4450	0,427	17,9245	7422	5403	2019
L06576	1	-46,7930553	-23,5359633	2635	0,038	0,9434	4766	3064	1702
L06577	1	-46,7928300	-23,5455236	3855	0,0259	0,9434	6576	4519	2057
L06578	6	-46,8050626	-23,5249271	2586	0,232	5,6604	4649	3140	1509
L06579	5	-46,8051389	-23,5396170	1810	0,2762	4,717	2905	2193	712
L06580	1	-46,8029684	-23,5393826	2261	0,0442	0,9434	3504	2670	834
L06581	3	-46,8093862	-23,5238239	2043	0,1468	2,8302	3432	2437	995
L06584	3	-46,8001696	-23,5314568	4154	0,0722	2,8302	7178	4916	2262
L06585	2	-46,7963450	-23,5492691	1998	0,1001	1,8868	3103	2350	753
L06586	3	-46,7973540	-23,5310870	1532	0,1958	2,8302	2464	1836	628
L06587	4	-46,8114200	-23,5253090	1047	0,382	3,7736	1738	1306	432
L06588	3	-46,7908090	-23,5375427	4445	0,0675	2,8302	7782	5226	2556
L07432	4	-46,8000137	-23,5574530	3744	0,1068	3,7736	6710	4617	2093
L07434	3	-46,8046895	-23,5635769	3466	0,0866	2,8302	5784	4032	1752
L07437	2	-46,8098001	-23,5479703	4556	0,0439	1,8868	7463	5384	2079
L07439	4	-46,8094021	-23,5477993	4549	0,0879	3,7736	7867	5319	2548
L07447	2	-46,8135551	-23,5433840	2325	0,086	1,8868	3657	2769	888
L07448	1	-46,8095111	-23,5664779	3142	0,0318	0,9434	5082	3816	1266
L07449	1	-46,8091078	-23,5742689	3555	0,0281	0,9434	5532	4202	1330
L07452	1	-46,8167708	-23,5510924	2027	0,0493	0,9434	3154	2462	692
L07453	3	-46,8025739	-23,5795935	5067	0,0592	2,8302	7504	5891	1613
L07849	1	-46,7861467	-23,5074938	2324	0,043	0,9434	3344	2656	688
L07850	1	-46,7904382	-23,4990201	3604	0,0277	0,9434	5697	4305	1392
L07861	1	-46,7949097	-23,5717671	94	1,0638	0,9434	180	122	58
L07863	1	-46,7820433	-23,5601685	2999	0,0333	0,9434	5047	3550	1497
L07865	2	-46,7961581	-23,5710313	4054	0,0493	1,8868	6732	4816	1916
L07869	2	-46,7946320	-23,5758979	3066	0,0652	1,8868	4950	3732	1218
L07876	1	-46,7974297	-23,5787302	2011	0,0497	0,9434	3189	2432	757
