cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	1	-46,7892932	-23,5625432	2469	0,0405	0,3311	3980	2980	1000
L04882	3	-46,7622355	-23,5407896	6968	0,0431	0,9934	12245	8193	4052
L04884	2	-46,7768615	-23,5345527	2704	0,074	0,6623	5017	3196	1821
L04886	1	-46,7895335	-23,5468438	2582	0,0387	0,3311	4289	2958	1331
L04889	1	-46,7839709	-23,5497050	3504	0,0285	0,3311	5847	4096	1751
L04891	1	-46,7852595	-23,5539242	3236	0,0309	0,3311	5266	3868	1398
L04892	1	-46,7859235	-23,5409986	2804	0,0357	0,3311	4642	3272	1370
L04893	2	-46,7881419	-23,5569339	2713	0,0737	0,6623	4514	3206	1308
L04896	1	-46,7721490	-23,5258249	1758	0,0569	0,3311	2865	2061	804
L06550	1	-46,7796148	-23,5151948	1688	0,0592	0,3311	2844	2008	836
L06556	1	-46,7704264	-23,4988969	4393	0,0228	0,3311	7141	5178	1963
L06557	2	-46,7811232	-23,5182373	3682	0,0543	0,6623	6245	4323	1922
L06558	1	-46,7642982	-23,5079997	4194	0,0238	0,3311	7137	5022	2115
L06566	1	-46,7796161	-23,5152503	4300	0,0233	0,3311	6748	4939	1809
L06571	1	-46,8093049	-23,5413420	1024	0,0977	0,3311	1622	1240	382
L06572	2	-46,8111106	-23,5339293	2376	0,0842	0,6623	3877	2809	1068
L06573	48	-46,8012880	-23,5434880	3573	1,3434	15,894	6134	4184	1950
L06574	7	-46,7947410	-23,5279590	3306	0,2117	2,3179	5696	4003	1693
L06575	5	-46,8072777	-23,5372033	4450	0,1124	1,6556	7422	5403	2019
L06576	11	-46,7930553	-23,5359633	2635	0,4175	3,6424	4766	3064	1702
L06577	15	-46,7928300	-23,5455236	3855	0,3891	4,9669	6576	4519	2057
L06578	5	-46,8050626	-23,5249271	2586	0,1933	1,6556	4649	3140	1509
L06579	3	-46,8051389	-23,5396170	1810	0,1657	0,9934	2905	2193	712
L06580	21	-46,8029684	-23,5393826	2261	0,9288	6,9536	3504	2670	834
L06581	1	-46,8093862	-23,5238239	2043	0,0489	0,3311	3432	2437	995
L06582	9	-46,8034785	-23,5476532	1341	0,6711	2,9801	2100	1625	475
L06583	14	-46,7956280	-23,5419549	2295	0,61	4,6358	3822	2680	1142
L06584	14	-46,8001696	-23,5314568	4154	0,337	4,6358	7178	4916	2262
L06585	14	-46,7963450	-23,5492691	1998	0,7007	4,6358	3103	2350	753
L06587	1	-46,8114200	-23,5253090	1047	0,0955	0,3311	1738	1306	432
L06588	27	-46,7908090	-23,5375427	4445	0,6074	8,9404	7782	5226	2556
L06589	4	-46,7888751	-23,5377480	678	0,59	1,3245	1132	839	293
L07431	3	-46,8092805	-23,5456077	1482	0,2024	0,9934	2426	1747	679
L07432	3	-46,8000137	-23,5574530	3744	0,0801	0,9934	6710	4617	2093
L07434	2	-46,8046895	-23,5635769	3466	0,0577	0,6623	5784	4032	1752
L07435	3	-46,8135816	-23,5618315	2034	0,1475	0,9934	3380	2461	919
L07437	1	-46,8098001	-23,5479703	4556	0,0219	0,3311	7463	5384	2079
L07439	7	-46,8094021	-23,5477993	4549	0,1539	2,3179	7867	5319	2548
L07440	4	-46,7989466	-23,5580852	3631	0,1102	1,3245	6493	4311	2182
L07441	2	-46,8025359	-23,5663449	4033	0,0496	0,6623	6892	4856	2036
L07444	8	-46,8115760	-23,5569126	3694	0,2166	2,649	6331	4349	1982
L07446	4	-46,8088929	-23,5558779	3840	0,1042	1,3245	6249	4594	1655
L07447	5	-46,8135551	-23,5433840	2325	0,2151	1,6556	3657	2769	888
L07449	1	-46,8091078	-23,5742689	3555	0,0281	0,3311	5532	4202	1330
L07450	7	-46,8135180	-23,5604126	2995	0,2337	2,3179	5195	3710	1485
L07451	1	-46,7954755	-23,5600688	2085	0,048	0,3311	3712	2450	1262
L07454	1	-46,8077875	-23,5510056	236	0,4237	0,3311	394	280	114
L07457	3	-46,7988490	-23,5557136	2400	0,125	0,9934	4110	2844	1266
L07834	3	-46,7878300	-23,5101801	4845	0,0619	0,9934	7468	5673	1795
L07836	1	-46,7878300	-23,5101801	4065	0,0246	0,3311	6277	4645	1632
L07841	2	-46,7948640	-23,5032982	4104	0,0487	0,6623	6963	4856	2107
L07842	1	-46,8047641	-23,4972846	4158	0,0241	0,3311	6856	4887	1969
L07846	1	-46,7905729	-23,5134541	3873	0,0258	0,3311	6091	4508	1583
L07848	1	-46,7989836	-23,4948638	3640	0,0275	0,3311	5479	4274	1205
L07849	2	-46,7861467	-23,5074938	2324	0,0861	0,6623	3344	2656	688
L07854	2	-46,8083282	-23,4992123	3252	0,0615	0,6623	5182	3809	1373
L07855	1	-46,8006874	-23,5164197	2388	0,0419	0,3311	3633	2744	889
L07862	2	-46,7911598	-23,5737050	1927	0,1038	0,6623	3210	2351	859
L07863	2	-46,7820433	-23,5601685	2999	0,0667	0,6623	5047	3550	1497
L07865	3	-46,7961581	-23,5710313	4054	0,074	0,9934	6732	4816	1916
L07866	1	-46,7598272	-23,5497723	2756	0,0363	0,3311	4697	3183	1514
L07867	1	-46,7718083	-23,5424754	3256	0,0307	0,3311	5702	3834	1868
L07868	1	-46,7775150	-23,5690329	3517	0,0284	0,3311	5943	4105	1838
L07872	1	-46,7943390	-23,5707970	3084	0,0324	0,3311	5148	3623	1525
L07877	1	-46,7668646	-23,5424120	3878	0,0258	0,3311	6707	4662	2045
