cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	1	-46,7892932	-23,5625432	2469	0,0405	0,9434	3980	2980	1000
L04885	1	-46,7826750	-23,5381983	1260	0,0794	0,9434	2314	1440	874
L04887	3	-46,7865759	-23,5588349	2116	0,1418	2,8302	3402	2432	970
L04888	1	-46,7837257	-23,5381392	2948	0,0339	0,9434	5115	3417	1698
L04889	1	-46,7839709	-23,5497050	3504	0,0285	0,9434	5847	4096	1751
L04890	2	-46,7857062	-23,5441159	2078	0,0962	1,8868	3496	2466	1030
L04891	1	-46,7852595	-23,5539242	3236	0,0309	0,9434	5266	3868	1398
L04892	3	-46,7859235	-23,5409986	2804	0,107	2,8302	4642	3272	1370
L04893	2	-46,7881419	-23,5569339	2713	0,0737	1,8868	4514	3206	1308
L04894	1	-46,7828380	-23,5422279	677	0,1477	0,9434	1169	764	405
L04896	2	-46,7721490	-23,5258249	1758	0,1138	1,8868	2865	2061	804
L04897	1	-46,7778650	-23,5250979	1974	0,0507	0,9434	3439	2316	1123
L06557	2	-46,7811232	-23,5182373	3682	0,0543	1,8868	6245	4323	1922
L06561	1	-46,7669489	-23,4991193	2073	0,0482	0,9434	3361	2508	853
L06562	1	-46,7576204	-23,5177314	3456	0,0289	0,9434	5988	4164	1824
L06563	1	-46,7693024	-23,5083289	4136	0,0242	0,9434	6724	4877	1847
L06565	1	-46,7626679	-23,5013616	3815	0,0262	0,9434	5982	4520	1462
L06566	3	-46,7796161	-23,5152503	4300	0,0698	2,8302	6748	4939	1809
L06568	1	-46,7675537	-23,5157132	3118	0,0321	0,9434	5134	3660	1474
L06570	1	-46,7680894	-23,4974164	1584	0,0631	0,9434	2619	1951	668
L06571	3	-46,8093049	-23,5413420	1024	0,293	2,8302	1622	1240	382
L06572	5	-46,8111106	-23,5339293	2376	0,2104	4,717	3877	2809	1068
L06574	3	-46,7947410	-23,5279590	3306	0,0907	2,8302	5696	4003	1693
L06575	5	-46,8072777	-23,5372033	4450	0,1124	4,717	7422	5403	2019
L06577	4	-46,7928300	-23,5455236	3855	0,1038	3,7736	6576	4519	2057
L06578	1	-46,8050626	-23,5249271	2586	0,0387	0,9434	4649	3140	1509
L06579	1	-46,8051389	-23,5396170	1810	0,0552	0,9434	2905	2193	712
L06583	1	-46,7956280	-23,5419549	2295	0,0436	0,9434	3822	2680	1142
L06584	3	-46,8001696	-23,5314568	4154	0,0722	2,8302	7178	4916	2262
L06585	2	-46,7963450	-23,5492691	1998	0,1001	1,8868	3103	2350	753
L06586	2	-46,7973540	-23,5310870	1532	0,1305	1,8868	2464	1836	628
L06587	1	-46,8114200	-23,5253090	1047	0,0955	0,9434	1738	1306	432
L07431	1	-46,8092805	-23,5456077	1482	0,0675	0,9434	2426	1747	679
L07432	1	-46,8000137	-23,5574530	3744	0,0267	0,9434	6710	4617	2093
L07434	2	-46,8046895	-23,5635769	3466	0,0577	1,8868	5784	4032	1752
L07435	4	-46,8135816	-23,5618315	2034	0,1967	3,7736	3380	2461	919
L07436	2	-46,8142376	-23,5662204	3601	0,0555	1,8868	5822	4351	1471
L07438	1	-46,8129426	-23,5836958	1196	0,0836	0,9434	2209	1464	745
L07439	1	-46,8094021	-23,5477993	4549	0,022	0,9434	7867	5319	2548
L07443	1	-46,7940196	-23,5554093	2652	0,0377	0,9434	4449	3212	1237
L07444	2	-46,8115760	-23,5569126	3694	0,0541	1,8868	6331	4349	1982
L07447	1	-46,8135551	-23,5433840	2325	0,043	0,9434	3657	2769	888
L07451	1	-46,7954755	-23,5600688	2085	0,048	0,9434	3712	2450	1262
L07837	1	-46,8064489	-23,5051642	4194	0,0238	0,9434	6586	4946	1640
L07838	1	-46,7862870	-23,4967528	4339	0,023	0,9434	7137	5077	2060
L07839	1	-46,7921985	-23,5195042	3354	0,0298	0,9434	5945	3971	1974
L07841	1	-46,7948640	-23,5032982	4104	0,0244	0,9434	6963	4856	2107
L07849	1	-46,7861467	-23,5074938	2324	0,043	0,9434	3344	2656	688
L07852	2	-46,7901692	-23,4894744	4862	0,0411	1,8868	7255	5664	1591
L07853	1	-46,8028593	-23,5003978	2574	0,0389	0,9434	3878	2968	910
L07855	2	-46,8006874	-23,5164197	2388	0,0838	1,8868	3633	2744	889
L07862	2	-46,7911598	-23,5737050	1927	0,1038	1,8868	3210	2351	859
L07863	1	-46,7820433	-23,5601685	2999	0,0333	0,9434	5047	3550	1497
L07864	1	-46,7882770	-23,5671015	3609	0,0277	0,9434	5785	4274	1511
L07865	1	-46,7961581	-23,5710313	4054	0,0247	0,9434	6732	4816	1916
L07866	1	-46,7598272	-23,5497723	2756	0,0363	0,9434	4697	3183	1514
L07867	2	-46,7718083	-23,5424754	3256	0,0614	1,8868	5702	3834	1868
L07868	2	-46,7775150	-23,5690329	3517	0,0569	1,8868	5943	4105	1838
L07870	4	-46,7680678	-23,5499418	2762	0,1448	3,7736	4668	3273	1395
L07871	3	-46,7765432	-23,5589265	3239	0,0926	2,8302	5118	3778	1340
L07877	1	-46,7668646	-23,5424120	3878	0,0258	0,9434	6707	4662	2045
