cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L06554	1	-46,7658296	-23,5088622	2748	0,0364	1,7241	4561	3301	1260
L06556	1	-46,7704264	-23,4988969	4393	0,0228	1,7241	7141	5178	1963
L06559	3	-46,7704809	-23,5182739	2558	0,1173	5,1724	4360	3068	1292
L06563	2	-46,7693024	-23,5083289	4136	0,0484	3,4483	6724	4877	1847
L06568	1	-46,7675537	-23,5157132	3118	0,0321	1,7241	5134	3660	1474
L06570	1	-46,7680894	-23,4974164	1584	0,0631	1,7241	2619	1951	668
L07439	2	-46,8094021	-23,5477993	4549	0,044	3,4483	7867	5319	2548
L07441	1	-46,8025359	-23,5663449	4033	0,0248	1,7241	6892	4856	2036
L07836	4	-46,7878300	-23,5101801	4065	0,0984	6,8966	6277	4645	1632
L07837	1	-46,8064489	-23,5051642	4194	0,0238	1,7241	6586	4946	1640
L07840	23	-46,7986325	-23,4938631	4355	0,5281	39,6552	6709	4997	1712
L07841	1	-46,7948640	-23,5032982	4104	0,0244	1,7241	6963	4856	2107
L07844	1	-46,8001115	-23,5019602	1223	0,0818	1,7241	2075	1476	599
L07845	1	-46,7878300	-23,5101801	2603	0,0384	1,7241	4010	2972	1038
L07847	3	-46,7922239	-23,4929084	1905	0,1575	5,1724	3092	2230	862
L07848	3	-46,7989836	-23,4948638	3640	0,0824	5,1724	5479	4274	1205
L07852	3	-46,7901692	-23,4894744	4862	0,0617	5,1724	7255	5664	1591
L07854	1	-46,8083282	-23,4992123	3252	0,0308	1,7241	5182	3809	1373
L07856	1	-46,7854306	-23,4977596	1632	0,0613	1,7241	2436	1898	538
L07857	4	-46,8046246	-23,4964528	2443	0,1637	6,8966	3797	2853	944
