cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	4	-46,7892932	-23,5625432	2469	0,162	1,3378	3980	2980	1000
L04884	2	-46,7768615	-23,5345527	2704	0,074	0,6689	5017	3196	1821
L04889	1	-46,7839709	-23,5497050	3504	0,0285	0,3344	5847	4096	1751
L04890	2	-46,7857062	-23,5441159	2078	0,0962	0,6689	3496	2466	1030
L04892	1	-46,7859235	-23,5409986	2804	0,0357	0,3344	4642	3272	1370
L06551	11	-46,7771000	-23,5075800	3869	0,2843	3,6789	6029	4477	1552
L06553	1	-46,7539385	-23,5200652	2994	0,0334	0,3344	5085	3706	1379
L06554	2	-46,7658296	-23,5088622	2748	0,0728	0,6689	4561	3301	1260
L06555	6	-46,7658329	-23,5121198	1569	0,3824	2,0067	2667	1924	743
L06557	2	-46,7811232	-23,5182373	3682	0,0543	0,6689	6245	4323	1922
L06558	1	-46,7642982	-23,5079997	4194	0,0238	0,3344	7137	5022	2115
L06559	1	-46,7704809	-23,5182739	2558	0,0391	0,3344	4360	3068	1292
L06561	1	-46,7669489	-23,4991193	2073	0,0482	0,3344	3361	2508	853
L06562	5	-46,7576204	-23,5177314	3456	0,1447	1,6722	5988	4164	1824
L06563	3	-46,7693024	-23,5083289	4136	0,0725	1,0033	6724	4877	1847
L06564	3	-46,7839760	-23,5153403	3428	0,0875	1,0033	5256	3981	1275
L06565	1	-46,7626679	-23,5013616	3815	0,0262	0,3344	5982	4520	1462
L06566	3	-46,7796161	-23,5152503	4300	0,0698	1,0033	6748	4939	1809
L06568	2	-46,7675537	-23,5157132	3118	0,0641	0,6689	5134	3660	1474
L06571	1	-46,8093049	-23,5413420	1024	0,0977	0,3344	1622	1240	382
L06573	1	-46,8012880	-23,5434880	3573	0,028	0,3344	6134	4184	1950
L06575	1	-46,8072777	-23,5372033	4450	0,0225	0,3344	7422	5403	2019
L06577	1	-46,7928300	-23,5455236	3855	0,0259	0,3344	6576	4519	2057
L06578	1	-46,8050626	-23,5249271	2586	0,0387	0,3344	4649	3140	1509
L06579	3	-46,8051389	-23,5396170	1810	0,1657	1,0033	2905	2193	712
L06584	1	-46,8001696	-23,5314568	4154	0,0241	0,3344	7178	4916	2262
L06588	1	-46,7908090	-23,5375427	4445	0,0225	0,3344	7782	5226	2556
L07432	1	-46,8000137	-23,5574530	3744	0,0267	0,3344	6710	4617	2093
L07436	1	-46,8142376	-23,5662204	3601	0,0278	0,3344	5822	4351	1471
L07440	1	-46,7989466	-23,5580852	3631	0,0275	0,3344	6493	4311	2182
L07441	1	-46,8025359	-23,5663449	4033	0,0248	0,3344	6892	4856	2036
L07451	1	-46,7954755	-23,5600688	2085	0,048	0,3344	3712	2450	1262
L07452	1	-46,8167708	-23,5510924	2027	0,0493	0,3344	3154	2462	692
L07453	1	-46,8025739	-23,5795935	5067	0,0197	0,3344	7504	5891	1613
L07457	1	-46,7988490	-23,5557136	2400	0,0417	0,3344	4110	2844	1266
L07835	10	-46,7999039	-23,5019036	540	1,8519	3,3445	853	612	241
L07836	2	-46,7878300	-23,5101801	4065	0,0492	0,6689	6277	4645	1632
L07837	14	-46,8064489	-23,5051642	4194	0,3338	4,6823	6586	4946	1640
L07839	1	-46,7921985	-23,5195042	3354	0,0298	0,3344	5945	3971	1974
L07840	5	-46,7986325	-23,4938631	4355	0,1148	1,6722	6709	4997	1712
L07841	21	-46,7948640	-23,5032982	4104	0,5117	7,0234	6963	4856	2107
L07842	18	-46,8047641	-23,4972846	4158	0,4329	6,0201	6856	4887	1969
L07843	9	-46,7876769	-23,5006730	3674	0,245	3,01	6325	4386	1939
L07844	22	-46,8001115	-23,5019602	1223	1,7989	7,3579	2075	1476	599
L07845	4	-46,7878300	-23,5101801	2603	0,1537	1,3378	4010	2972	1038
L07846	7	-46,7905729	-23,5134541	3873	0,1807	2,3411	6091	4508	1583
L07847	2	-46,7922239	-23,4929084	1905	0,105	0,6689	3092	2230	862
L07848	8	-46,7989836	-23,4948638	3640	0,2198	2,6756	5479	4274	1205
L07850	1	-46,7904382	-23,4990201	3604	0,0277	0,3344	5697	4305	1392
L07851	7	-46,7909369	-23,5050777	2125	0,3294	2,3411	3364	2539	825
L07852	7	-46,7901692	-23,4894744	4862	0,144	2,3411	7255	5664	1591
L07853	68	-46,8028593	-23,5003978	2574	2,6418	22,7425	3878	2968	910
L07854	6	-46,8083282	-23,4992123	3252	0,1845	2,0067	5182	3809	1373
L07856	1	-46,7854306	-23,4977596	1632	0,0613	0,3344	2436	1898	538
L07857	7	-46,8046246	-23,4964528	2443	0,2865	2,3411	3797	2853	944
L07863	1	-46,7820433	-23,5601685	2999	0,0333	0,3344	5047	3550	1497
L07865	2	-46,7961581	-23,5710313	4054	0,0493	0,6689	6732	4816	1916
L07866	1	-46,7598272	-23,5497723	2756	0,0363	0,3344	4697	3183	1514
L07869	3	-46,7946320	-23,5758979	3066	0,0978	1,0033	4950	3732	1218
L07872	1	-46,7943390	-23,5707970	3084	0,0324	0,3344	5148	3623	1525
L07876	1	-46,7974297	-23,5787302	2011	0,0497	0,3344	3189	2432	757
