cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04882	2	-46,7622355	-23,5407896	6968	0,0287	1,6949	12245	8193	4052
L04884	1	-46,7768615	-23,5345527	2704	0,037	0,8475	5017	3196	1821
L04886	1	-46,7895335	-23,5468438	2582	0,0387	0,8475	4289	2958	1331
L04889	2	-46,7839709	-23,5497050	3504	0,0571	1,6949	5847	4096	1751
L04896	1	-46,7721490	-23,5258249	1758	0,0569	0,8475	2865	2061	804
L06563	1	-46,7693024	-23,5083289	4136	0,0242	0,8475	6724	4877	1847
L06572	1	-46,8111106	-23,5339293	2376	0,0421	0,8475	3877	2809	1068
L06573	3	-46,8012880	-23,5434880	3573	0,084	2,5424	6134	4184	1950
L06574	10	-46,7947410	-23,5279590	3306	0,3025	8,4746	5696	4003	1693
L06575	1	-46,8072777	-23,5372033	4450	0,0225	0,8475	7422	5403	2019
L06576	2	-46,7930553	-23,5359633	2635	0,0759	1,6949	4766	3064	1702
L06578	1	-46,8050626	-23,5249271	2586	0,0387	0,8475	4649	3140	1509
L06579	2	-46,8051389	-23,5396170	1810	0,1105	1,6949	2905	2193	712
L06580	1	-46,8029684	-23,5393826	2261	0,0442	0,8475	3504	2670	834
L06581	2	-46,8093862	-23,5238239	2043	0,0979	1,6949	3432	2437	995
L06583	1	-46,7956280	-23,5419549	2295	0,0436	0,8475	3822	2680	1142
L06584	34	-46,8001696	-23,5314568	4154	0,8185	28,8136	7178	4916	2262
L06586	2	-46,7973540	-23,5310870	1532	0,1305	1,6949	2464	1836	628
L06587	2	-46,8114200	-23,5253090	1047	0,191	1,6949	1738	1306	432
L06588	3	-46,7908090	-23,5375427	4445	0,0675	2,5424	7782	5226	2556
L07431	2	-46,8092805	-23,5456077	1482	0,135	1,6949	2426	1747	679
L07432	3	-46,8000137	-23,5574530	3744	0,0801	2,5424	6710	4617	2093
L07437	3	-46,8098001	-23,5479703	4556	0,0658	2,5424	7463	5384	2079
L07443	2	-46,7940196	-23,5554093	2652	0,0754	1,6949	4449	3212	1237
L07444	5	-46,8115760	-23,5569126	3694	0,1354	4,2373	6331	4349	1982
L07445	1	-46,8056808	-23,5689788	2565	0,039	0,8475	4332	3114	1218
L07446	1	-46,8088929	-23,5558779	3840	0,026	0,8475	6249	4594	1655
L07452	6	-46,8167708	-23,5510924	2027	0,296	5,0847	3154	2462	692
L07454	1	-46,8077875	-23,5510056	236	0,4237	0,8475	394	280	114
L07839	7	-46,7921985	-23,5195042	3354	0,2087	5,9322	5945	3971	1974
L07841	5	-46,7948640	-23,5032982	4104	0,1218	4,2373	6963	4856	2107
L07842	1	-46,8047641	-23,4972846	4158	0,0241	0,8475	6856	4887	1969
L07846	2	-46,7905729	-23,5134541	3873	0,0516	1,6949	6091	4508	1583
L07851	2	-46,7909369	-23,5050777	2125	0,0941	1,6949	3364	2539	825
L07852	1	-46,7901692	-23,4894744	4862	0,0206	0,8475	7255	5664	1591
L07853	2	-46,8028593	-23,5003978	2574	0,0777	1,6949	3878	2968	910
L07877	1	-46,7668646	-23,5424120	3878	0,0258	0,8475	6707	4662	2045
